good_sentence;bad_sentence;good_cue;bad_cue;critical_region;phenomenon
Dün maçı izledik ve sonucu tartıştık.;Dün maçı izle ve sonucu tartıştık.;izledik;izle;tartıştık;suspended_affixation
Böylece ruhsatsız olduğu tespit edilen işletme mühürlendi ve kapatıldı.;Böylece ruhsatsız olduğu tespit edilen işletme mühürlen ve kapatıldı.;mühürlendi;mühürlen;kapatıldı;suspended_affixation
Ben kek pişirdim ve üstünü süsledim.;Ben kek pişir ve üstünü süsledim.;pişirdim;pişir;süsledim;suspended_affixation
Kontrol raporu hazırladım ve müdüre sundum.;Kontrol raporu hazırla ve müdüre sundum.;hazırladım;hazırla;sundum;suspended_affixation
Yürüyüşe çıktı ve manzarayı izledi.;Yürüyüşe çık ve manzarayı izledi.;çıktı;çık;izledi;suspended_affixation
Eski mobilyaları monte ettik ve yerine yerleştirdik.;Eski mobilyaları monte et ve yerine yerleştirdik.;ettik;et;yerleştirdik;suspended_affixation
Biraz yürüyüş yaptık ve güzelce terledik.;Biraz yürüyüş yap ve güzelce terledik.;yaptık;yap;terledik;suspended_affixation
Bu festivale yüksek katılım sağlandı ve yoğun ilgi gösterildi.;Bu festivale yüksek katılım sağlan ve yoğun ilgi gösterildi.;sağlandı;sağlan;gösterildi;suspended_affixation
Şimdi kapıyı açtım ve misafirleri karşıladım.;Şimdi kapıyı aç ve misafirleri karşıladım.;açtım;aç;karşıladım;suspended_affixation
Dün konsere gittim ve çok eğlendim.;Dün konsere git ve çok eğlendim.;gittim;git;eğlendim;suspended_affixation
Ardından kek pişirdim ve üstünü süsledim.;Ardından kek pişir ve üstünü süsledim.;pişirdim;pişir;süsledim;suspended_affixation
Bugün köpeği gezdirdim ve sonra eve getirdim.;Bugün köpeği gezdir ve sonra eve getirdim.;gezdirdim;gezdir;getirdim;suspended_affixation
Bazı çiçekleri suladım ve toprağını değiştirdim.;Bazı çiçekleri sula ve toprağını değiştirdim.;suladım;sula;değiştirdim;suspended_affixation
Bana gelen mesajları kontrol etti ve cevapladı.;Bana gelen mesajları kontrol et ve cevapladı.;etti;et;cevapladı;suspended_affixation
Cumartesi sabah ufaklığı bakkala gönderdim ve taze ekmek aldırdım.;Cumartesi sabah ufaklığı bakkala gönder ve taze ekmek aldırdım.;gönderdim;gönder;aldırdım;suspended_affixation
Yine uçağa bindiler ve memlekete gittiler.;Yine uçağa bin ve memlekete gittiler.;bindiler;bin;gittiler;suspended_affixation
Önce sınav kağıtlarını okudum ve notlandırdım.;Önce sınav kağıtlarını oku ve notlandırdım.;okudum;oku;notlandırdım;suspended_affixation
Eski ders notlarını temize çektim ve gruba attım.;Eski ders notlarını temize çek ve gruba attım.;çektim;çek;attım;suspended_affixation
Önce bitkileri suladım ve dallarını budadım.;Önce bitkileri sula ve dallarını budadım.;suladım;sula;budadım;suspended_affixation
Önce kıyafetleri katladım ve bavula yerleştirdim.;Önce kıyafetleri katla ve bavula yerleştirdim.;katladım;katla;yerleştirdim;suspended_affixation
Önce yeni takvimi astım ve önemli tarihleri işaretledim.;Önce yeni takvimi as ve önemli tarihleri işaretledim.;astım;as;işaretledim;suspended_affixation
Ben kedimi sevdim ve mamasını verdim.;Ben kedimi sev ve mamasını verdim.;sevdim;sev;verdim;suspended_affixation
Akşam arkadaşlarımla buluştuk ve sinemaya gittik.;Akşam arkadaşlarımla buluş ve sinemaya gittik.;buluştuk;buluş;gittik;suspended_affixation
Hemen arabayı yıkadım ve cilaladım.;Hemen arabayı yıka ve cilaladım.;yıkadım;yıka;cilaladım;suspended_affixation
Ek raporu hazırladım ve müdüre sundum.;Ek raporu hazırla ve müdüre sundum.;hazırladım;hazırla;sundum;suspended_affixation
2 yemek sipariş ettim ve gelmesini bekledim.;2 yemek sipariş et ve gelmesini bekledim.;ettim;et;bekledim;suspended_affixation
Sonra telefonumu şarj ettim ve mesajları kontrol ettim.;Sonra telefonumu şarj et ve mesajları kontrol ettim.;ettim;et;ettim;suspended_affixation
Ben yemeği ısıttım ve yedim.;Ben yemeği ısıt ve yedim.;ısıttım;ısıt;yedim;suspended_affixation
Çok güzel bir kahve yaptım ve içtim.;Çok güzel bir kahve yap ve içtim.;yaptım;yap;içtim;suspended_affixation
Almanca çalıştım ve arkadaşlarımla pratik yaptım.;Almanca çalış ve arkadaşlarımla pratik yaptım.;çalıştım;çalış;yaptım;suspended_affixation
Küçük kediyi veterinere götürdüler ve aşı yaptırdılar.;Küçük kediyi veterinere götür ve aşı yaptırdılar.;götürdüler;götür;yaptırdılar;suspended_affixation
Yani çok çalıştım ve sınavı geçtim.;Yani çok çalış ve sınavı geçtim.;çalıştım;çalış;geçtim;suspended_affixation
Ben spor yaptım ve duş aldım.;Ben spor yap ve duş aldım.;yaptım;yap;aldım;suspended_affixation
Bugün konsere gittim ve çok eğlendim.;Bugün konsere git ve çok eğlendim.;gittim;git;eğlendim;suspended_affixation
Ardından kıyafetleri yıkadım ve kuruttum.;Ardından kıyafetleri yıka ve kuruttum.;yıkadım;yıka;kuruttum;suspended_affixation
İngilizce almanca çalıştım ve arkadaşlarımla pratik yaptım.;İngilizce almanca çalış ve arkadaşlarımla pratik yaptım.;çalıştım;çalış;yaptım;suspended_affixation
Biz maçı izledik ve sonucu tartıştık.;Biz maçı izle ve sonucu tartıştık.;izledik;izle;tartıştık;suspended_affixation
Bugün kedimi veterinere götürdüm ve aşı yaptırdım.;Bugün kedimi veterinere götür ve aşı yaptırdım.;götürdüm;götür;yaptırdım;suspended_affixation
Sonra kahvemi içtim ve gazeteyi okudum.;Sonra kahvemi iç ve gazeteyi okudum.;içtim;iç;okudum;suspended_affixation
Bugün menüye yeni bir tarif koyuldu ve çok beğenildi.;Bugün menüye yeni bir tarif koyul ve çok beğenildi.;koyuldu;koyul;beğenildi;suspended_affixation
Ben köpeği gezdirdim ve sonra eve getirdim.;Ben köpeği gezdir ve sonra eve getirdim.;gezdirdim;gezdir;getirdim;suspended_affixation
Eski kıyafetleri katladım ve çekmeceye koydum.;Eski kıyafetleri katla ve çekmeceye koydum.;katladım;katla;koydum;suspended_affixation
Bir hafta sonu pikniğe gittik ve mangal yaktık.;Bir hafta sonu pikniğe git ve mangal yaktık.;gittik;git;yaktık;suspended_affixation
Bir akşam kızlarla partiye gittik ve çok eğlendik.;Bir akşam kızlarla partiye git ve çok eğlendik.;gittik;git;eğlendik;suspended_affixation
Ardından yürüyüşe çıktı ve manzarayı izledi.;Ardından yürüyüşe çık ve manzarayı izledi.;çıktı;çık;izledi;suspended_affixation
Bebek kazağı ördü ve sevgilisine hediye etti.;Bebek kazağı ör ve sevgilisine hediye etti.;ördü;ör;etti;suspended_affixation
Gece trafikte sıkıştım ve geç kaldım.;Gece trafikte sıkış ve geç kaldım.;sıkıştım;sıkış;kaldım;suspended_affixation
Önce maçı izledik ve sonucu tartıştık.;Önce maçı izle ve sonucu tartıştık.;izledik;izle;tartıştık;suspended_affixation
Ben konsere gittim ve şarkılara eşlik ettim.;Ben konsere git ve şarkılara eşlik ettim.;gittim;git;ettim;suspended_affixation
Ben kıyafetleri yıkadım ve kuruttum.;Ben kıyafetleri yıka ve kuruttum.;yıkadım;yıka;kuruttum;suspended_affixation
Hemen kuşuma yem verdim ve suyunu tazeledim.;Hemen kuşuma yem ver ve suyunu tazeledim.;verdim;ver;tazeledim;suspended_affixation
Ve kedimi veterinere götürdüm ve muayene ettirdim.;Ve kedimi veterinere götür ve muayene ettirdim.;götürdüm;götür;ettirdim;suspended_affixation
Sonra aşure yaptık ve komşulara dağıttık.;Sonra aşure yap ve komşulara dağıttık.;yaptık;yap;dağıttık;suspended_affixation
Öncelikle mobilyaları monte ettik ve yerine yerleştirdik.;Öncelikle mobilyaları monte et ve yerine yerleştirdik.;ettik;et;yerleştirdik;suspended_affixation
Kaza yaptım ve hastaneye gittim.;Kaza yap ve hastaneye gittim.;yaptım;yap;gittim;suspended_affixation
Ardından yemeği ısıttım ve yedim.;Ardından yemeği ısıt ve yedim.;ısıttım;ısıt;yedim;suspended_affixation
Bu çiçekleri suladım ve toprağını değiştirdim.;Bu çiçekleri sula ve toprağını değiştirdim.;suladım;sula;değiştirdim;suspended_affixation
O bebeği sevdim ve kucağıma aldım.;O bebeği sev ve kucağıma aldım.;sevdim;sev;aldım;suspended_affixation
Sonra arabayı yıkadım ve içini temizledim.;Sonra arabayı yıka ve içini temizledim.;yıkadım;yıka;temizledim;suspended_affixation
Akşam yemek yedim ve su içtim.;Akşam yemek ye ve su içtim.;yedim;ye;içtim;suspended_affixation
Kütüphaneye gitti ve kitap aldı.;Kütüphaneye git ve kitap aldı.;gitti;git;aldı;suspended_affixation
Şimdi kedimi veterinere götürdüm ve muayene ettirdim.;Şimdi kedimi veterinere götür ve muayene ettirdim.;götürdüm;götür;ettirdim;suspended_affixation
Uçağa bindiler ve memlekete gittiler.;Uçağa bin ve memlekete gittiler.;bindiler;bin;gittiler;suspended_affixation
Konser bileti aldım ve arkadaşıma haber verdim.;Konser bileti al ve arkadaşıma haber verdim.;aldım;al;verdim;suspended_affixation
Kadın yürüyüşe çıktı ve manzarayı izledi.;Kadın yürüyüşe çık ve manzarayı izledi.;çıktı;çık;izledi;suspended_affixation
Daha sabah ufaklığı bakkala gönderdim ve taze ekmek aldırdım.;Daha sabah ufaklığı bakkala gönder ve taze ekmek aldırdım.;gönderdim;gönder;aldırdım;suspended_affixation
Öncelikle köpeği gezdirdim ve sonra eve getirdim.;Öncelikle köpeği gezdir ve sonra eve getirdim.;gezdirdim;gezdir;getirdim;suspended_affixation
Ben konsere bilet aldım ve arkadaşımla gittim.;Ben konsere bilet al ve arkadaşımla gittim.;aldım;al;gittim;suspended_affixation
Bu çocuklara masal okudum ve uyuttum.;Bu çocuklara masal oku ve uyuttum.;okudum;oku;uyuttum;suspended_affixation
Herkes kütüphaneye gitti ve kitap aldı.;Herkes kütüphaneye git ve kitap aldı.;gitti;git;aldı;suspended_affixation
Yine annemle pazara çıktık ve meyve aldık.;Yine annemle pazara çık ve meyve aldık.;çıktık;çık;aldık;suspended_affixation
Biz aşure yaptık ve komşulara dağıttık.;Biz aşure yap ve komşulara dağıttık.;yaptık;yap;dağıttık;suspended_affixation
Ardından bulaşıkları yıkadım ve makineye yerleştirdim.;Ardından bulaşıkları yıka ve makineye yerleştirdim.;yıkadım;yıka;yerleştirdim;suspended_affixation
Cumartesi akşam kızlarla partiye gittik ve çok eğlendik.;Cumartesi akşam kızlarla partiye git ve çok eğlendik.;gittik;git;eğlendik;suspended_affixation
Adam kıyafetleri ütüledi ve oğluna verdi.;Adam kıyafetleri ütüle ve oğluna verdi.;ütüledi;ütüle;verdi;suspended_affixation
Akşam kütüphaneden kitap aldım ve okudum.;Akşam kütüphaneden kitap al ve okudum.;aldım;al;okudum;suspended_affixation
Yine stüdyoda şarkıyı kaydettiler ve sosyal medyada paylaştılar.;Yine stüdyoda şarkıyı kaydet ve sosyal medyada paylaştılar.;kaydettiler;kaydet;paylaştılar;suspended_affixation
Bir projeyi tamamladın ve sunumu hazırladın.;Bir projeyi tamamla ve sunumu hazırladın.;tamamladın;tamamla;hazırladın;suspended_affixation
Hemen yüzme havuzuna girdim ve yüzdüm.;Hemen yüzme havuzuna gir ve yüzdüm.;girdim;gir;yüzdüm;suspended_affixation
Ardından kurabiyeleri pişirdim ve soğumaya bıraktım.;Ardından kurabiyeleri pişir ve soğumaya bıraktım.;pişirdim;pişir;bıraktım;suspended_affixation
Köpeği gezdirdim ve sonra eve getirdim.;Köpeği gezdir ve sonra eve getirdim.;gezdirdim;gezdir;getirdim;suspended_affixation
Öncelikle sınav kağıtlarını okudum ve notlandırdım.;Öncelikle sınav kağıtlarını oku ve notlandırdım.;okudum;oku;notlandırdım;suspended_affixation
Artık konser biletlerini ayırttım ve arkadaşlarıma haber verdim.;Artık konser biletlerini ayırt ve arkadaşlarıma haber verdim.;ayırttım;ayırt;verdim;suspended_affixation
Ardından kapıyı açtım ve misafirleri karşıladım.;Ardından kapıyı aç ve misafirleri karşıladım.;açtım;aç;karşıladım;suspended_affixation
Kurabiyeleri pişirdim ve soğumaya bıraktım.;Kurabiyeleri pişir ve soğumaya bıraktım.;pişirdim;pişir;bıraktım;suspended_affixation
Hemen aşure yaptık ve komşulara dağıttık.;Hemen aşure yap ve komşulara dağıttık.;yaptık;yap;dağıttık;suspended_affixation
Biraz spor yaptım ve duş aldım.;Biraz spor yap ve duş aldım.;yaptım;yap;aldım;suspended_affixation
Ardından yeni bir işe başladı ve hemen uyum sağladı.;Ardından yeni bir işe başla ve hemen uyum sağladı.;başladı;başla;sağladı;suspended_affixation
Yine aşure yaptık ve komşulara dağıttık.;Yine aşure yap ve komşulara dağıttık.;yaptık;yap;dağıttık;suspended_affixation
Hemen bisiklete bindik ve parkta tur attık.;Hemen bisiklete bin ve parkta tur attık.;bindik;bin;attık;suspended_affixation
Bu kazağı ördü ve sevgilisine hediye etti.;Bu kazağı ör ve sevgilisine hediye etti.;ördü;ör;etti;suspended_affixation
Bir yemek yedim ve su içtim.;Bir yemek ye ve su içtim.;yedim;ye;içtim;suspended_affixation
Sonra yemek sipariş ettim ve kapıda ödedim.;Sonra yemek sipariş et ve kapıda ödedim.;ettim;et;ödettim;suspended_affixation
Ödevlerimi bitirdim ve oyun oynamaya başladım.;Ödevlerimi bitir ve oyun oynamaya başladım.;bitirdim;bitir;başladım;suspended_affixation
Kız kıyafetleri ütüledi ve oğluna verdi.;Kız kıyafetleri ütüle ve oğluna verdi.;ütüledi;ütüle;verdi;suspended_affixation
Ben bulaşıkları yıkadım ve makineye yerleştirdim.;Ben bulaşıkları yıka ve makineye yerleştirdim.;yıkadım;yıka;yerleştirdim;suspended_affixation
Mehmet yarışa katıldı ve iyi bir derece aldı.;Mehmet yarışa katıl ve iyi bir derece aldı.;katıldı;katıl;aldı;suspended_affixation
Diğer ders notlarını temize çektim ve gruba attım.;Diğer ders notlarını temize çek ve gruba attım.;çektim;çek;attım;suspended_affixation
Bir konsere gittim ve şarkılara eşlik ettim.;Bir konsere git ve şarkılara eşlik ettim.;gittim;git;ettim;suspended_affixation
Dün spor yaptım ve duş aldım.;Dün spor yap ve duş aldım.;yaptım;yap;aldım;suspended_affixation
Ve kaza yaptım ve hastaneye gittim.;Ve kaza yap ve hastaneye gittim.;yaptım;yap;gittim;suspended_affixation
Çantamı hazırladım ve yola çıktım.;Çantamı hazırla ve yola çıktım.;hazırladım;hazırla;çıktım;suspended_affixation
Bir konsere gittim ve çok eğlendim.;Bir konsere git ve çok eğlendim.;gittim;git;eğlendim;suspended_affixation
Öncelikle çok çalıştım ve sınavı geçtim.;Öncelikle çok çalış ve sınavı geçtim.;çalıştım;çalış;geçtim;suspended_affixation
Çok güzel bir kahve yaptım ve içtim.;Çok güzel bir kahve yap ve içtim.;yaptım;yap;içtim;suspended_affixation
Ayşe öznur ablasının nişan töreni için giyindi ve süslendi.;Ayşe öznur ablasının nişan töreni için giyin ve süslendi.;giyindi;giyin;süslendi;suspended_affixation
Diğer raftaki kitaplara göz attım ve beğendiğimi aldım.;Diğer raftaki kitaplara göz at ve beğendiğimi aldım.;attım;at;aldım;suspended_affixation
Ardından köpeğimi taradım ve tüylerini topladım.;Ardından köpeğimi tara ve tüylerini topladım.;taradım;tara;topladım;suspended_affixation
Çok almanca çalıştım ve arkadaşlarımla pratik yaptım.;Çok almanca çalış ve arkadaşlarımla pratik yaptım.;çalıştım;çalış;yaptım;suspended_affixation
Tüm bahçeyi temizledim ve çiçek ektim.;Tüm bahçeyi temizle ve çiçek ektim.;temizledim;temizle;ektim;suspended_affixation
Ve dün pazara uğradım ve bir sürü sebze aldım.;Ve dün pazara uğra ve bir sürü sebze aldım.;uğradım;uğra;aldım;suspended_affixation
Kişi gelen mesajları kontrol etti ve cevapladı.;Kişi gelen mesajları kontrol et ve cevapladı.;etti;et;cevapladı;suspended_affixation
Öznur ablasının nişan töreni için giyindi ve süslendi.;Öznur ablasının nişan töreni için giyin ve süslendi.;giyindi;giyin;süslendi;suspended_affixation
Ardından mobilyaları monte ettik ve yerine yerleştirdik.;Ardından mobilyaları monte et ve yerine yerleştirdik.;ettik;et;yerleştirdik;suspended_affixation
Yürüyüş yaptık ve güzelce terledik.;Yürüyüş yap ve güzelce terledik.;yaptık;yap;terledik;suspended_affixation
İlk akşam kızlarla partiye gittik ve çok eğlendik.;İlk akşam kızlarla partiye git ve çok eğlendik.;gittik;git;eğlendik;suspended_affixation
Hemen yemeği ısıttım ve yedim.;Hemen yemeği ısıt ve yedim.;ısıttım;ısıt;yedim;suspended_affixation
3 şarkı söyledim ve dans ettim.;3 şarkı söyle ve dans ettim.;söyledim;söyle;ettim;suspended_affixation
Kütüphaneden kitap aldım ve okudum.;Kütüphaneden kitap al ve okudum.;aldım;al;okudum;suspended_affixation
Bütün kurabiyeleri pişirdim ve soğumaya bıraktım.;Bütün kurabiyeleri pişir ve soğumaya bıraktım.;pişirdim;pişir;bıraktım;suspended_affixation
Tüm kıyafetleri ütüledim ve dolaba astım.;Tüm kıyafetleri ütüle ve dolaba astım.;ütüledim;ütüle;astım;suspended_affixation
Önce telefonumu şarj ettim ve mesajları kontrol ettim.;Önce telefonumu şarj et ve mesajları kontrol ettim.;ettim;et;ettim;suspended_affixation
Hemen sınav kağıtlarını okudum ve notlandırdım.;Hemen sınav kağıtlarını oku ve notlandırdım.;okudum;oku;notlandırdım;suspended_affixation
Şimdi arabanın lastiklerini değiştirdim ve balans ayarı yaptırdım.;Şimdi arabanın lastiklerini değiştir ve balans ayarı yaptırdım.;değiştirdim;değiştir;yaptırdım;suspended_affixation
Pazar sabah erken kalktım ve koşuya çıktım.;Pazar sabah erken kalk ve koşuya çıktım.;kalktım;kalk;çıktım;suspended_affixation
Ben konser biletlerini ayırttım ve arkadaşlarıma haber verdim.;Ben konser biletlerini ayırt ve arkadaşlarıma haber verdim.;ayırttım;ayırt;verdim;suspended_affixation
Bu kıyafetleri ütüledim ve dolaba astım.;Bu kıyafetleri ütüle ve dolaba astım.;ütüledim;ütüle;astım;suspended_affixation
Önce kek pişirdim ve üstünü süsledim.;Önce kek pişir ve üstünü süsledim.;pişirdim;pişir;süsledim;suspended_affixation
Uzun yürüyüş yaptık ve güzelce terledik.;Uzun yürüyüş yap ve güzelce terledik.;yaptık;yap;terledik;suspended_affixation
5 kurabiye pişirdim ve komşulara dağıttım.;5 kurabiye pişir ve komşulara dağıttım.;pişirdim;pişir;dağıttım;suspended_affixation
Bütün kıyafetleri katladım ve bavula yerleştirdim.;Bütün kıyafetleri katla ve bavula yerleştirdim.;katladım;katla;yerleştirdim;suspended_affixation
Sonra arabayı yıkadım ve cilaladım.;Sonra arabayı yıka ve cilaladım.;yıkadım;yıka;cilaladım;suspended_affixation
İki kardeşimle kavga ettik ve sonra barıştık.;İki kardeşimle kavga et ve sonra barıştık.;ettik;et;barıştık;suspended_affixation
Sabah sabah ufaklığı bakkala gönderdim ve taze ekmek aldırdım.;Sabah sabah ufaklığı bakkala gönder ve taze ekmek aldırdım.;gönderdim;gönder;aldırdım;suspended_affixation
Ben kıyafetleri katladım ve bavula yerleştirdim.;Ben kıyafetleri katla ve bavula yerleştirdim.;katladım;katla;yerleştirdim;suspended_affixation
Artık çantamı hazırladım ve yola çıktım.;Artık çantamı hazırla ve yola çıktım.;hazırladım;hazırla;çıktım;suspended_affixation
Türkçe almanca çalıştım ve arkadaşlarımla pratik yaptım.;Türkçe almanca çalış ve arkadaşlarımla pratik yaptım.;çalıştım;çalış;yaptım;suspended_affixation
Önce arabanın lastiklerini değiştirdim ve balans ayarı yaptırdım.;Önce arabanın lastiklerini değiştir ve balans ayarı yaptırdım.;değiştirdim;değiştir;yaptırdım;suspended_affixation
Tüm bulaşıkları yıkadım ve makineye yerleştirdim.;Tüm bulaşıkları yıka ve makineye yerleştirdim.;yıkadım;yıka;yerleştirdim;suspended_affixation
Öncelikle yeni takvimi astım ve önemli tarihleri işaretledim.;Öncelikle yeni takvimi as ve önemli tarihleri işaretledim.;astım;as;işaretledim;suspended_affixation
Ben dün pazara uğradım ve bir sürü sebze aldım.;Ben dün pazara uğra ve bir sürü sebze aldım.;uğradım;uğra;aldım;suspended_affixation
Sonra öznur ablasının nişan töreni için giyindi ve süslendi.;Sonra öznur ablasının nişan töreni için giyin ve süslendi.;giyindi;giyin;süslendi;suspended_affixation
Tüm ders notlarını temize çektim ve gruba attım.;Tüm ders notlarını temize çek ve gruba attım.;çektim;çek;attım;suspended_affixation
Kızı öznur ablasının nişan töreni için giyindi ve süslendi.;Kızı öznur ablasının nişan töreni için giyin ve süslendi.;giyindi;giyin;süslendi;suspended_affixation
Bugün spor yaptım ve duş aldım.;Bugün spor yap ve duş aldım.;yaptım;yap;aldım;suspended_affixation
Bugün güzel bir kahve yaptım ve içtim.;Bugün güzel bir kahve yap ve içtim.;yaptım;yap;içtim;suspended_affixation
Sonra çiçekleri suladım ve toprağını değiştirdim.;Sonra çiçekleri sula ve toprağını değiştirdim.;suladım;sula;değiştirdim;suspended_affixation
10 kurabiye pişirdim ve komşulara dağıttım.;10 kurabiye pişir ve komşulara dağıttım.;pişirdim;pişir;dağıttım;suspended_affixation
Anne öznur ablasının nişan töreni için giyindi ve süslendi.;Anne öznur ablasının nişan töreni için giyin ve süslendi.;giyindi;giyin;süslendi;suspended_affixation
Oto kaza yaptı ve polisi aradı.;Oto kaza yap ve polisi aradı.;yaptı;yap;aradı;suspended_affixation
Önce bulaşıkları yıkadım ve makineye yerleştirdim.;Önce bulaşıkları yıka ve makineye yerleştirdim.;yıkadım;yıka;yerleştirdim;suspended_affixation
Yeni aldığım elbiseyi denedim ve çok beğendim.;Yeni aldığım elbiseyi dene ve çok beğendim.;denedim;dene;beğendim;suspended_affixation
Büyük festivale yüksek katılım sağlandı ve yoğun ilgi gösterildi.;Büyük festivale yüksek katılım sağlan ve yoğun ilgi gösterildi.;sağlandı;sağlan;gösterildi;suspended_affixation
Güzel fotoğraf çekti ve albüme koydu.;Güzel fotoğraf çek ve albüme koydu.;çekti;çek;koydu;suspended_affixation
Öncelikle telefonu şarja koydum ve biraz dolunca açtım.;Öncelikle telefonu şarja koy ve biraz dolunca açtım.;koydum;koy;açtım;suspended_affixation
Sabah kahvemi içtim ve gazeteyi okudum.;Sabah kahvemi iç ve gazeteyi okudum.;içtim;iç;okudum;suspended_affixation
Halk yürüyüşe çıktı ve manzarayı izledi.;Halk yürüyüşe çık ve manzarayı izledi.;çıktı;çık;izledi;suspended_affixation
Hemen çantamı hazırladım ve yola çıktım.;Hemen çantamı hazırla ve yola çıktım.;hazırladım;hazırla;çıktım;suspended_affixation
Öncelikle kek pişirdim ve üstünü süsledim.;Öncelikle kek pişir ve üstünü süsledim.;pişirdim;pişir;süsledim;suspended_affixation
Sonra ödevlerimi bitirdim ve oyun oynamaya başladım.;Sonra ödevlerimi bitir ve oyun oynamaya başladım.;bitirdim;bitir;başladım;suspended_affixation
Kadın kazağı ördü ve sevgilisine hediye etti.;Kadın kazağı ör ve sevgilisine hediye etti.;ördü;ör;etti;suspended_affixation
Telefonu şarja koydum ve biraz dolunca açtım.;Telefonu şarja koy ve biraz dolunca açtım.;koydum;koy;açtım;suspended_affixation
Sonra yüzme havuzuna girdim ve yüzdüm.;Sonra yüzme havuzuna gir ve yüzdüm.;girdim;gir;yüzdüm;suspended_affixation
Büyük kaza yaptı ve polisi aradı.;Büyük kaza yap ve polisi aradı.;yaptı;yap;aradı;suspended_affixation
Yine yeni şarkı besteledim ve kaydettim.;Yine yeni şarkı beste ve kaydettim.;besteledim;beste;kaydettim;suspended_affixation
Bu konsere gittim ve çok eğlendim.;Bu konsere git ve çok eğlendim.;gittim;git;eğlendim;suspended_affixation
Eski kıyafetleri katladım ve dolaba koydum.;Eski kıyafetleri katla ve dolaba koydum.;katladım;katla;koydum;suspended_affixation
