good_sentence;bad_sentence;good_cue;bad_cue;critical_region;phenomenon
Yani onu partiye davet edebiliriz.;Yani onu partiye asla davet edebiliriz.;∅;asla;edebiliriz;npi_licensing
Çünkü annem yurt dışına daha önce çıkmıştı.;Çünkü annem yurt dışına daha önce hiç çıkmıştı.;∅;hiç;çıkmıştı;npi_licensing
Burada hocanın anlattığı yeni konuyu öğrenciler anladı.;Burada hocanın anlattığı yeni konuyu öğrenciler hiç anladı.;∅;hiç;anladı;npi_licensing
4 ay sonuna param kaldı.;4 ay sonuna hiç param kaldı.;∅;hiç;kaldı;npi_licensing
Onun daha önce bahsettiği söyleşiye katıldım.;Onun daha önce bahsettiği hiçbir söyleşiye katıldım.;∅;hiçbir;katıldım;npi_licensing
O acı içindeki adama hemşire baktı.;O acı içindeki adama hiçbir hemşire baktı.;∅;hiçbir;baktı;npi_licensing
Bana gönderdiği yemeklerden yiyebilirsin.;Bana gönderdiği yemeklerden asla yiyebilirsin.;∅;asla;yiyebilirsin;npi_licensing
Sadece i̇ş teklifini kabul edebilirim.;Sadece i̇ş teklifini asla kabul edebilirim.;∅;asla;edebilirim;npi_licensing
Fakat birileri evde yumurta olmadığını fark etmiş.;Fakat kimse evde yumurta olmadığını fark etmiş.;Birileri;Kimse;fark etmiş;npi_licensing
Buraya kadar yürüdüm.;Buraya kadar hiç yürüdüm.;∅;hiç;yürüdüm;npi_licensing
Sadece bu gece bir sanatçı performans sergiledi.;Sadece bu gece hiçbir sanatçı performans sergiledi.;bir;hiçbir;sergiledi;npi_licensing
Ve bu sırrı ona söyleyebilirsin.;Ve bu sırrı ona asla söyleyebilirsin.;∅;asla;söyleyebilirsin;npi_licensing
Bu yemeği daha önce yemiştim.;Bu yemeği daha önce hiç yemiştim.;∅;hiç;yemiştim;npi_licensing
Aslında o filmi izlemiştik.;Aslında o filmi hiç O filmi izlemiştik.;∅;hiç;izlemiştik;npi_licensing
Koca palyaçonun şakalarına çocuk güldü.;Koca palyaçonun şakalarına hiçbir çocuk güldü.;∅;hiçbir;güldü;npi_licensing
Çok acı içindeki adama hemşire baktı.;Çok acı içindeki adama hiçbir hemşire baktı.;∅;hiçbir;baktı;npi_licensing
Palyaçonun şakalarına çocuk güldü.;Palyaçonun şakalarına hiçbir çocuk güldü.;∅;hiçbir;güldü;npi_licensing
6 ay sonuna param kaldı.;6 ay sonuna hiç param kaldı.;∅;hiç;kaldı;npi_licensing
Ardından fırındaki poğaçaları ye.;Ardından fırındaki poğaçaları sakın ye.;∅;sakın;ye;npi_licensing
Yine birileri evde yumurta olmadığını fark etmiş.;Yine kimse evde yumurta olmadığını fark etmiş.;Birileri;Kimse;fark etmiş;npi_licensing
Onun doğum gününü kutlayabileceğimiz bir yer biliyorum.;Onun doğum gününü kutlayabileceğimiz hiçbir yer biliyorum.;bir;hiçbir;biliyorum;npi_licensing
Sen annemin dolaba koyduğu şerbetten iç.;Sen annemin dolaba koyduğu şerbetten sakın iç.;∅;sakın;iç;npi_licensing
Tüm hayatımı değiştiren bir film izledim.;Tüm hayatımı değiştiren hiçbir film izledim.;bir;hiçbir;izledim;npi_licensing
Ardından onu partiye davet edebiliriz.;Ardından onu partiye asla davet edebiliriz.;∅;asla;edebiliriz;npi_licensing
Diğer bir misafirimiz kapuska yemek istedi.;Diğer hiçbir misafirimiz kapuska yemek istedi.;Bir;Hiçbir;istedi;npi_licensing
Onu ofisten çıkarken birini gördü.;Onu ofisten çıkarken kimseyi gördü.;birini;kimseyi;gördü;npi_licensing
İşte o filmi izlemiştik.;İşte o filmi hiç O filmi izlemiştik.;∅;hiç;izlemiştik;npi_licensing
Sonra onunla konuşabilirsin.;Sonra onunla asla konuşabilirsin.;∅;asla;konuşabilirsin;npi_licensing
Eski mahallede bir ev satılıktı.;Eski mahallede hiçbir ev satılıktı.;bir;hiçbir;satılıktı;npi_licensing
Sen bu kapıyı açabilirsin.;Sen bu kapıyı asla açabilirsin.;∅;asla;açabilirsin;npi_licensing
Yeni bir garson sipariş aldı.;Yeni hiçbir garson sipariş aldı.;Bir;Hiçbir;aldı;npi_licensing
Her biri kapıyı çaldı.;Her kimse kapıyı çaldı.;Biri;Kimse;çaldı;npi_licensing
Ve bana öğrettiği tekerlemeyi söylebildim.;Ve bana öğrettiği hiçbir tekerlemeyi söylebildim.;∅;hiçbir;söylebildim;npi_licensing
Yine babam böyle bir olay yaşamıştı.;Yine babam böyle bir olay hiç yaşamıştı.;∅;hiç;yaşamıştı;npi_licensing
Bu ilacı kullanabilir.;Bu ilacı asla kullanabilir.;∅;asla;kullanabilir;npi_licensing
Bazı anneleri o çocukla görüşmelerine izin verir.;Bazı anneleri o çocukla görüşmelerine asla izin verir.;∅;asla;verir;npi_licensing
Benim annem bu yolu daha önce kullanmış.;Benim annem bu yolu daha önce hiç kullanmış.;∅;hiç;kullanmış;npi_licensing
Mezuniyet töreninde konuşma yaptım.;Mezuniyet töreninde hiç konuşma yaptım.;∅;hiç;yaptım;npi_licensing
Ayrıca daha önce bahsettiği söyleşiye katıldım.;Ayrıca daha önce bahsettiği hiçbir söyleşiye katıldım.;∅;hiçbir;katıldım;npi_licensing
Yine bu gece bir sanatçı performans sergiledi.;Yine bu gece hiçbir sanatçı performans sergiledi.;bir;hiçbir;sergiledi;npi_licensing
Hemen bu planı uygulayabiliriz.;Hemen bu planı asla uygulayabiliriz.;∅;asla;uygulayabiliriz;npi_licensing
Sonra annem yurt dışına daha önce çıkmıştı.;Sonra annem yurt dışına daha önce hiç çıkmıştı.;∅;hiç;çıkmıştı;npi_licensing
Şimdi birileri pencereden bakıyordu.;Şimdi kimse pencereden bakıyordu.;Birileri;Kimse;bakıyordu;npi_licensing
Şimdi evden çıkmadan bir şey yiyebilirsin.;Şimdi evden çıkmadan hiçbir şey yiyebilirsin.;bir şey;hiçbir şey;yiyebilirsin;npi_licensing
Burada bir doktor hastayı muayene etti.;Burada hiçbir doktor hastayı muayene etti.;Bir;Hiçbir;etti;npi_licensing
Bu apartmanda ses duyuyorum.;Bu apartmanda hiç ses duyuyorum.;∅;hiç;duyuyorum;npi_licensing
Küçük palyaçonun şakalarına çocuk güldü.;Küçük palyaçonun şakalarına hiçbir çocuk güldü.;∅;hiçbir;güldü;npi_licensing
Devlet acil yardım hattını bu gibi durumlarda arayabilirsin.;Devlet acil yardım hattını bu gibi durumlarda asla arayabilirsin;∅;asla;ara;npi_licensing
Hadi buradan ayrıl.;Hadi buradan sakın ayrıl.;∅;sakın;ayrıl;npi_licensing
Kendi personal odasına girebilirsin.;Kendi personal odasına asla girebilirsin.;∅;asla;girebilirsin;npi_licensing
3- fırındaki poğaçaları ye.;3- fırındaki poğaçaları sakın ye.;∅;sakın;ye;npi_licensing
Çocuklar bu ilacı kullanabilir.;Çocuklar bu ilacı asla kullanabilir.;∅;asla;kullanabilir;npi_licensing
Sonra bu sırrı ona söyleyebilirsin.;Sonra bu sırrı ona asla söyleyebilirsin.;∅;asla;söyleyebilirsin;npi_licensing
Yeni bir misafirimiz kapuska yemek istedi.;Yeni hiçbir misafirimiz kapuska yemek istedi.;Bir;Hiçbir;istedi;npi_licensing
Ben sınavla ilgili soru sordum.;Ben sınavla ilgili hiç soru sordum.;∅;hiç;sordum;npi_licensing
Antalya sahil yolundan gidebilirsiniz.;Antalya sahil yolundan asla gidebilirsiniz.;∅;asla;gidebilirsiniz;npi_licensing
Yani onu sahneye çıkmaya ikna edebilirsin.;Yani onu sahneye çıkmaya asla ikna edebilirsin.;∅;asla;edebilirsin;npi_licensing
Bir kalabalığın önünde şarkı söyledim.;Bir kalabalığın önünde hiç şarkı söyledim.;∅;hiç;söyledim;npi_licensing
Yıl dönümümüzde hediye aldım.;Yıl dönümümüzde hiç hediye aldım.;∅;hiç;aldım;npi_licensing
Güzel bir misafirimiz kapuska yemek istedi.;Güzel hiçbir misafirimiz kapuska yemek istedi.;Bir;Hiçbir;istedi;npi_licensing
İyi bir yönetici çalışanların fazla mesai yapmamasına karışabilir.;İyi hiçbir yönetici çalışanların fazla mesai yapmamasına karışabilir.;Bir;Hiçbir;karışabilir;npi_licensing
Merhaba bu konuda fikrim var.;Merhaba bu konuda hiç fikrim var.;∅;hiç;fikrim var;npi_licensing
Bir kardeşim bu şarkıyı daha önce duymuş.;Bir kardeşim bu şarkıyı daha önce hiç duymuş.;∅;hiç;duymuş;npi_licensing
Da birileri pencereden bakıyordu.;Da kimse pencereden bakıyordu.;Birileri;Kimse;bakıyordu;npi_licensing
Ve seni dün biri aradı.;Ve seni dün hiç kimse aradı.;biri;hiç kimse;aradı;npi_licensing
Yani aslında çocukluğuma dair bir şey hatırlıyorum.;Yani aslında çocukluğuma dair hiçbir şey hatırlıyorum.;bir şey;hiçbir şey;hatırlıyorum;npi_licensing
Burada personal odasına girebilirsin.;Burada personal odasına asla girebilirsin.;∅;asla;girebilirsin;npi_licensing
İşte bu kapıyı açabilirsin.;İşte bu kapıyı asla açabilirsin.;∅;asla;açabilirsin;npi_licensing
Ayrıca bir misafirimiz kapuska yemek istedi.;Ayrıca hiçbir misafirimiz kapuska yemek istedi.;Bir;Hiçbir;istedi;npi_licensing
Anne bana haber getirdi.;Anne bana hiç haber getirdi.;∅;hiç;getirdi;npi_licensing
Hemen o dosyayı bilgisayarından sil.;Hemen o dosyayı bilgisayarından sakın sil.;∅;sakın;sil;npi_licensing
Hayatımı değiştiren bir film izledim.;Hayatımı değiştiren hiçbir film izledim.;bir;hiçbir;izledim;npi_licensing
Diğer bir müdür işçilere izin verdi.;Diğer hiçbir müdür işçilere izin verdi.;Bir;Hiçbir;verdi;npi_licensing
Yılbaşı çekilişinde birine hediye aldım.;Yılbaşı çekilişinde hiç kimseye hediye aldım.;Birine;Hiç kimseye;aldım;npi_licensing
İşte bu gece bir sanatçı performans sergiledi.;İşte bu gece hiçbir sanatçı performans sergiledi.;bir;hiçbir;sergiledi;npi_licensing
Aynı mahallede bir ev satılıktı.;Aynı mahallede hiçbir ev satılıktı.;bir;hiçbir;satılıktı;npi_licensing
Büyük balıkçıda denediğim mezeyi beğendim.;Büyük balıkçıda denediğim hiçbir mezeyi beğendim.;∅;hiçbir;beğendim;npi_licensing
Sadece ay sonuna param kaldı.;Sadece ay sonuna hiç param kaldı.;∅;hiç;kaldı;npi_licensing
Benden ne istediğini anladım.;Benden ne istediğini hiç anladım.;∅;hiç;anladım;npi_licensing
118 acil yardım hattını bu gibi durumlarda arayabilirsin.;118 acil yardım hattını bu gibi durumlarda asla arayabilirsin;∅;asla;ara;npi_licensing
Kara yüzüklerin Efendisi serisini okumuş.;Kara yüzüklerin Efendisi serisini hiç okumuş.;∅;hiç;okumuş;npi_licensing
Genç avukatla ilgili çıkan haberi yay.;Genç avukatla ilgili çıkan sakın yay.;∅;sakın;yay;npi_licensing
Artık bu kapıyı açabilirsin.;Artık bu kapıyı asla açabilirsin.;∅;asla;açabilirsin;npi_licensing
Ardından bir doktor hastayı muayene etti.;Ardından hiçbir doktor hastayı muayene etti.;Bir;Hiçbir;etti;npi_licensing
Evet bu kitabı okudum.;Evet bu kitabı hiç okudum.;∅;hiç;okudum;npi_licensing
Bir i̇htiyaç molası için şoför durdu.;Bir i̇htiyaç molası için şoför hiç durdu.;∅;hiç;durdu;npi_licensing
Doğum gününü kutlayabileceğimiz bir yer biliyorum.;Doğum gününü kutlayabileceğimiz hiçbir yer biliyorum.;bir;hiçbir;biliyorum;npi_licensing
Yalnız bu kitabı bir yerde gördüm.;Yalnız bu kitabı hiçbir yerde gördüm.;bir;hiçbir;gördüm;npi_licensing
Onu partiye davet edebiliriz.;Onu partiye asla davet edebiliriz.;∅;asla;edebiliriz;npi_licensing
Bu olaylar üzerine sanatçı öğrencilere destek olduğunu söyledi.;Bu olaylar üzerine hiçbir sanatçı öğrencilere destek olduğunu söyledi.;∅;hiçbir;söyledi;npi_licensing
Ama birileri kapının zilini çaldı.;Ama kimse kapının zilini çaldı.;Birileri;Kimse;çaldı;npi_licensing
Her apartmanda ses duyuyorum.;Her apartmanda hiç ses duyuyorum.;∅;hiç;duyuyorum;npi_licensing
Bir misafirimiz kapuska yemek istedi.;Hiçbir misafirimiz kapuska yemek istedi.;Bir;Hiçbir;istedi;npi_licensing
İş arkadaşlarımdan biri yardım etti.;İş arkadaşlarımdan kimse yardım etti.;biri;kimse;yardım etti;npi_licensing
Ben birine önemli bir sırrımı verdim.;Ben hiç kimseye önemli bir sırrımı verdim.;Birine;Hiç kimseye;verdim;npi_licensing
Böylece evden çıkmadan bir şey yiyebilirsin.;Böylece evden çıkmadan hiçbir şey yiyebilirsin.;bir şey;hiçbir şey;yiyebilirsin;npi_licensing
Evde evden çıkmadan bir şey yiyebilirsin.;Evde evden çıkmadan hiçbir şey yiyebilirsin.;bir şey;hiçbir şey;yiyebilirsin;npi_licensing
Bu otobüste biri bagajını unutmuş.;Bu otobüste kimse bagajını unutmuş.;biri;kimse;unutmuş;npi_licensing
Doktor ofisten çıkarken birini gördü.;Doktor ofisten çıkarken kimseyi gördü.;birini;kimseyi;gördü;npi_licensing
Evet o konuda anlaşabiliriz.;Evet o konuda asla anlaşabiliriz.;∅;asla;anlaşabiliriz;npi_licensing
Ve o dosyayı bilgisayarından sil.;Ve o dosyayı bilgisayarından sakın sil.;∅;sakın;sil;npi_licensing
Şimdi bu kapıyı açabilirsin.;Şimdi bu kapıyı asla açabilirsin.;∅;asla;açabilirsin;npi_licensing
Orta mahallede bir ev satılıktı.;Orta mahallede hiçbir ev satılıktı.;bir;hiçbir;satılıktı;npi_licensing
Yine bir doktor hastayı muayene etti.;Yine hiçbir doktor hastayı muayene etti.;Bir;Hiçbir;etti;npi_licensing
Ana annem bu yolu daha önce kullanmış.;Ana annem bu yolu daha önce hiç kullanmış.;∅;hiç;kullanmış;npi_licensing
Kendi gönderdiği yemeklerden yiyebilirsin.;Kendi gönderdiği yemeklerden asla yiyebilirsin.;∅;asla;yiyebilirsin;npi_licensing
Böylece onu sahneye çıkmaya ikna edebilirsin.;Böylece onu sahneye çıkmaya asla ikna edebilirsin.;∅;asla;edebilirsin;npi_licensing
Ben mezuniyet töreninde konuşma yaptım.;Ben mezuniyet töreninde hiç konuşma yaptım.;∅;hiç;yaptım;npi_licensing
Çok geç kalan otobüs yolcuyu bekliyor.;Çok geç kalan otobüs yolcuyu hiç bekliyor.;∅;hiç;bekliyor;npi_licensing
Kız kardeşim bu şarkıyı daha önce duymuş.;Kız kardeşim bu şarkıyı daha önce hiç duymuş.;∅;hiç;duymuş;npi_licensing
Diğer bir öğrenci öğretmenler odasına gidip soru sordu.;Diğer hiçbir öğrenci öğretmenler odasına gidip soru sordu.;Bir;Hiçbir;sordu;npi_licensing
Bir acı içindeki adama hemşire baktı.;Bir acı içindeki adama hiçbir hemşire baktı.;∅;hiçbir;baktı;npi_licensing
Anne doğum yaptıktan sonra misafir geldi.;Anne doğum yaptıktan sonra hiçbir misafir geldi.;∅;hiçbir;geldi;npi_licensing
Polis kavgadan sonra onunla konuşmuş.;Polis kavgadan sonra onunla hiç konuşmuş.;∅;hiç;konuşmuş;npi_licensing
Diğer bir garson sipariş aldı.;Diğer hiçbir garson sipariş aldı.;Bir;Hiçbir;aldı;npi_licensing
Aslında bu yemeği daha önce yemiştim.;Aslında bu yemeği daha önce hiç yemiştim.;∅;hiç;yemiştim;npi_licensing
Eski bir müdür işçilere izin verdi.;Eski hiçbir müdür işçilere izin verdi.;Bir;Hiçbir;verdi;npi_licensing
1. kreşte bir öğrenci uyuyordu.;1. kreşte hiçbir öğrenci uyuyordu.;bir;hiçbir;uyuyordu;npi_licensing
Bu balıkçıda denediğim mezeyi beğendim.;Bu balıkçıda denediğim hiçbir mezeyi beğendim.;∅;hiçbir;beğendim;npi_licensing
Sonra onu partiye davet edebiliriz.;Sonra onu partiye asla davet edebiliriz.;∅;asla;edebiliriz;npi_licensing
3 bana haber getirdi.;3 bana hiç haber getirdi.;∅;hiç;getirdi;npi_licensing
Yalnız bu yazarın romanlarını okudum.;Yalnız bu yazarın romanlarını hiç okudum.;∅;hiç;okudum;npi_licensing
Fakat aslında çocukluğuma dair bir şey hatırlıyorum.;Fakat aslında çocukluğuma dair hiçbir şey hatırlıyorum.;bir şey;hiçbir şey;hatırlıyorum;npi_licensing
Evet kardeşim bu şarkıyı daha önce duymuş.;Evet kardeşim bu şarkıyı daha önce hiç duymuş.;∅;hiç;duymuş;npi_licensing
Evet bu konuda düşünmüştüm.;Evet bu konuda hiç düşünmüştüm.;∅;hiç;düşünmüştüm;npi_licensing
Ünlü palyaçonun şakalarına çocuk güldü.;Ünlü palyaçonun şakalarına hiçbir çocuk güldü.;∅;hiçbir;güldü;npi_licensing
Işte o filmi izlemiştik.;Işte o filmi hiç O filmi izlemiştik.;∅;hiç;izlemiştik;npi_licensing
Hemen bir doktor hastayı muayene etti.;Hemen hiçbir doktor hastayı muayene etti.;Bir;Hiçbir;etti;npi_licensing
Belki o konuda anlaşabiliriz.;Belki o konuda asla anlaşabiliriz.;∅;asla;anlaşabiliriz;npi_licensing
Kırmızı yüzüklerin Efendisi serisini okumuş.;Kırmızı yüzüklerin Efendisi serisini hiç okumuş.;∅;hiç;okumuş;npi_licensing
Hemen bir polis olaya müdahale etti.;Hemen hiçbir polis olaya müdahale etti.;Bir;Hiçbir;etti;npi_licensing
Bunlardan biri bahçeye top atmış.;Bunlardan kimse bahçeye top atmış.;Biri;Kimse;atmış;npi_licensing
115 acil yardım hattını bu gibi durumlarda arayabilirsin.;115 acil yardım hattını bu gibi durumlarda asla arayabilirsin;∅;asla;ara;npi_licensing
Sen bana gerçeği söyle.;Sen bana sakın gerçeği söyle.;∅;sakın;söyle;npi_licensing
Ama birileri evde yumurta olmadığını fark etmiş.;Ama kimse evde yumurta olmadığını fark etmiş.;Birileri;Kimse;fark etmiş;npi_licensing
Artık buradan ayrıl.;Artık buradan sakın ayrıl.;∅;sakın;ayrıl;npi_licensing
Ve bana anahtarları evde unuttuğunu söyle.;Ve bana sakın anahtarları evde unuttuğunu söyle.;∅;sakın;söyle;npi_licensing
Evlilik yıl dönümümüzde hediye aldım.;Evlilik yıl dönümümüzde hiç hediye aldım.;∅;hiç;aldım;npi_licensing
Bir kalabalığın önünde şarkı söyledim.;Bir kalabalığın önünde hiç şarkı söyledim.;∅;hiç;söyledim;npi_licensing
Seni dün biri aradı.;Seni dün hiç kimse aradı.;biri;hiç kimse;aradı;npi_licensing
Birine nereye gittiğini söylemiş.;Hiç kimseye nereye gittiğini söylemiş.;Birine;Hiç kimseye;söylemiş;npi_licensing
Hatta i̇spanya'da yaşadığı dönem onunla konuşmuş.;Hatta i̇spanya'da yaşadığı dönem onunla hiç konuşmuş.;∅;hiç;konuşmuş;npi_licensing
Ve kızıma o masalı daha önce anlatmıştım.;Ve kızıma o masalı daha önce hiç anlatmıştım.;∅;hiç;anlatmıştım;npi_licensing
Ancak anneleri o çocukla görüşmelerine izin verir.;Ancak anneleri o çocukla görüşmelerine asla izin verir.;∅;asla;verir;npi_licensing
Büyük parkta bir çocuk ağlıyordu.;Büyük parkta hiçbir çocuk ağlıyordu.;bir;hiçbir;ağlıyordu;npi_licensing
Önemli birine önemli bir sırrımı verdim.;Önemli hiç kimseye önemli bir sırrımı verdim.;Birine;Hiç kimseye;verdim;npi_licensing
Bu planı uygulayabiliriz.;Bu planı asla uygulayabiliriz.;∅;asla;uygulayabiliriz;npi_licensing
Genel müdür yıllık izni onayladı.;Genel müdür hiçbir yıllık izni onayladı.;∅;hiçbir;onayladı;npi_licensing
Kendisi fransa'da yaşadığı sırada müzeleri gezmiş.;Kendisi fransa'da yaşadığı sırada müzeleri hiç gezmiş.;∅;hiç;gezmiş;npi_licensing
Hocanın anlattığı yeni konuyu öğrenciler anladı.;Hocanın anlattığı yeni konuyu öğrenciler hiç anladı.;∅;hiç;anladı;npi_licensing
Evet bu kitabı bir yerde gördüm.;Evet bu kitabı hiçbir yerde gördüm.;bir;hiçbir;gördüm;npi_licensing
Hemen kırmızı düğmeye bas.;Hemen kırmızı düğmeye sakın bas.;∅;sakın;bas;npi_licensing
Bir otobüste biri bagajını unutmuş.;Bir otobüste kimse bagajını unutmuş.;biri;kimse;unutmuş;npi_licensing
Bir toplantıda biri itiraz etti.;Bir toplantıda kimse itiraz etti.;biri;kimse;etti;npi_licensing
Papa bana haber getirdi.;Papa bana hiç haber getirdi.;∅;hiç;getirdi;npi_licensing
Yabancı bir doktor hastayı muayene etti.;Yabancı hiçbir doktor hastayı muayene etti.;Bir;Hiçbir;etti;npi_licensing
Bütün olaylar üzerine sanatçı öğrencilere destek olduğunu söyledi.;Bütün olaylar üzerine hiçbir sanatçı öğrencilere destek olduğunu söyledi.;∅;hiçbir;söyledi;npi_licensing
Diğer bir şarkıcı konser çıkışında imza verdi.;Diğer hiçbir şarkıcı konser çıkışında imza verdi.;Bir;Hiçbir;verdi;npi_licensing
Sonra kavgadan sonra onunla konuşmuş.;Sonra kavgadan sonra onunla hiç konuşmuş.;∅;hiç;konuşmuş;npi_licensing
Evet babam böyle bir olay yaşamıştı.;Evet babam böyle bir olay hiç yaşamıştı.;∅;hiç;yaşamıştı;npi_licensing
Tek sana neyin iyi geleceğini doktor bilir.;Tek sana neyin iyi geleceğini hiçbir doktor bilir.;∅;hiçbir;bilir;npi_licensing
Çünkü sana neyin iyi geleceğini doktor bilir.;Çünkü sana neyin iyi geleceğini hiçbir doktor bilir.;∅;hiçbir;bilir;npi_licensing
Kendi babam böyle bir olay yaşamıştı.;Kendi babam böyle bir olay hiç yaşamıştı.;∅;hiç;yaşamıştı;npi_licensing
2010 yılbaşı çekilişinde birine hediye aldım.;2010 yılbaşı çekilişinde hiç kimseye hediye aldım.;Birine;Hiç kimseye;aldım;npi_licensing
O fransa'da yaşadığı sırada müzeleri gezmiş.;O fransa'da yaşadığı sırada müzeleri hiç gezmiş.;∅;hiç;gezmiş;npi_licensing
Sayın hocanın anlattığı yeni konuyu öğrenciler anladı.;Sayın hocanın anlattığı yeni konuyu öğrenciler hiç anladı.;∅;hiç;anladı;npi_licensing
Ve birine nereye gittiğini söylemiş.;Ve hiç kimseye nereye gittiğini söylemiş.;Birine;Hiç kimseye;söylemiş;npi_licensing
Kız anneleri o çocukla görüşmelerine izin verir.;Kız anneleri o çocukla görüşmelerine asla izin verir.;∅;asla;verir;npi_licensing
Genel müdüre olanları anlatınca problemi çözebildik.;Genel müdüre olanları anlatınca problemi hiç çözebildik.;∅;hiç;çözdüm;npi_licensing
Eski annemin dolaba koyduğu şerbetten iç.;Eski annemin dolaba koyduğu şerbetten sakın iç.;∅;sakın;iç;npi_licensing
Benim annem bu yolu daha önce kullanmış.;Benim annem bu yolu daha önce hiç kullanmış.;∅;hiç;kullanmış;npi_licensing
De dün biri geldi.;De dün kimse geldi.;biri;kimse;geldi;npi_licensing
Sonra dün biri geldi.;Sonra dün kimse geldi.;biri;kimse;geldi;npi_licensing
Allah benden ne istediğini anladım.;Allah benden ne istediğini hiç anladım.;∅;hiç;anladım;npi_licensing
Sadece kırmızı düğmeye bas.;Sadece kırmızı düğmeye sakın bas.;∅;sakın;bas;npi_licensing
Bir müdür işçilere izin verdi.;Hiçbir müdür işçilere izin verdi.;Bir;Hiçbir;verdi;npi_licensing
Bir garson sipariş aldı.;Hiçbir garson sipariş aldı.;Bir;Hiçbir;aldı;npi_licensing
Alt dönemden birine tavsiye verdim.;Alt dönemden hiç kimseye tavsiye verdim.;birine;hiç kimseye;verdim;npi_licensing
Ayrıca balıkçıda denediğim mezeyi beğendim.;Ayrıca balıkçıda denediğim hiçbir mezeyi beğendim.;∅;hiçbir;beğendim;npi_licensing
Şimdi personal odasına girebilirsin.;Şimdi personal odasına asla girebilirsin.;∅;asla;girebilirsin;npi_licensing
Sınıf arkadaşlarımdan biri yardım etti.;Sınıf arkadaşlarımdan kimse yardım etti.;biri;kimse;yardım etti;npi_licensing
Bir kavgadan sonra onunla konuşmuş.;Bir kavgadan sonra onunla hiç konuşmuş.;∅;hiç;konuşmuş;npi_licensing
