good_sentence;bad_sentence;good_cue;bad_cue;critical_region;phenomenon
Bazı kuşlar kış gelince güneye gitmez burada kalır.;Bazı kuşlar kış gelince güneye gitmez burada kalar.;kalır;kalar;-;irregular_forms
Genç yaşlı adam bankta oturup saatlerce durur.;Genç yaşlı adam bankta oturup saatlerce durar.;durur;durar;-;irregular_forms
Bir otobüs şehir merkezine her saat başı varır.;Bir otobüs şehir merkezine her saat başı varar.;varır;varar;-;irregular_forms
Herkes konserde sahneyi iyi görmek için ön sırada durur.;Herkes konserde sahneyi iyi görmek için ön sırada durar.;durur;durar;-;irregular_forms
Sonra marangoz çekiçle çiviye vurur.;Sonra marangoz çekiçle çiviye vurar.;vurur;vurar;-;irregular_forms
Erkek öğrenci sınav kağıdını kontrol edince hatayı görür.;Erkek öğrenci sınav kağıdını kontrol edince hatayı görer.;görür;görer;-;irregular_forms
Türk futbolcu penaltı atarken topa sert vurur.;Türk futbolcu penaltı atarken topa sert vurar.;vurur;vurar;-;irregular_forms
Diğer yolcular terminale aynı anda varır.;Diğer yolcular terminale aynı anda varar.;varır;varar;-;irregular_forms
Yönetici toplantıda son kararı verir.;Yönetici toplantıda son kararı verer.;verir;verer;-;irregular_forms  
Bazı öğrenciler sınavda zor soruları görünce şaşırır ama çalışanlar hepsini bilir.;Bazı öğrenciler sınavda zor soruları görünce şaşırır ama çalışanlar hepsini biler.;bilir;biler;-;irregular_forms  
Şimdi uygulamayı açınca hesap bakiyesini görür.;Şimdi uygulamayı açınca hesap bakiyesini görer.;görür;görer;-;irregular_forms
Bütün bitkiler susuz kalınca ölür.;Bütün bitkiler susuz kalınca öler.;ölür;öler;-;irregular_forms
Ancak köpek yabancıyı görünce durur.;Ancak köpek yabancıyı görünce durar.;durur;durar;-;irregular_forms
2. tren istasyona tam zamanında varır.;2. tren istasyona tam zamanında varar.;varır;varar;-;irregular_forms
Genç öğrenci sınav kağıdını kontrol edince hatayı görür.;Genç öğrenci sınav kağıdını kontrol edince hatayı görer.;görür;görer;-;irregular_forms
Sonra misafirler akşam yemeğine tam saatinde gelir.;Sonra misafirler akşam yemeğine tam saatinde geler.;gelir;geler;-;irregular_forms
Otobüs tam zamanında terminale varır.;Otobüs tam zamanında terminale varar.;varır;varar;-;irregular_forms
Sevgilisine özel günler dışında da hediye verir.;Sevgilisine özel günler dışında da hediye verer.;verir;verer;-;irregular_forms
Anne dedem bize her pazar kahvaltıya gelir.;Anne dedem bize her pazar kahvaltıya geler.;gelir;geler;-;irregular_forms  
Kız doğum gününde güzel hediyeler gelir.;Kız doğum gününde güzel hediyeler geler.;gelir;geler;-;irregular_forms  
Anneleri çocuklara aldığı oyuncakları verir.;Anneleri çocuklara aldığı oyuncakları verer.;verir;verer;-;irregular_forms
2 otobüs durağa tam zamanında varır.;2 otobüs durağa tam zamanında varar.;varır;varar;-;irregular_forms  
Ve köpek sahibini görünce hemen durur.;Ve köpek sahibini görünce hemen durar.;durur;durar;-;irregular_forms
Fakat güvenlik görevlisi paketten şüphelenince durur.;Fakat güvenlik görevlisi paketten şüphelenince durar.;durur;durar;-;irregular_forms  
Salah serbest vuruşta nihayet topu ağlara vurur.;Salah serbest vuruşta nihayet topu ağlara vurar.;vurur;vurar;-;irregular_forms
Ve anneannem her pazar bize gelir.;Ve anneannem her pazar bize geler.;gelir;geler;-;irregular_forms
Diğer kuşlar kış gelince güneye gitmez burada kalır.;Diğer kuşlar kış gelince güneye gitmez burada kalar.;kalır;kalar;-;irregular_forms
Eski postacı her sabah erken gelir.;Eski postacı her sabah erken geler.;gelir;geler;-;irregular_forms
Maz define avcısı haritada gösterilen yerleri kazar ve hazineyi bulur.;Maz define avcısı haritada gösterilen yerleri kazar ve hazineyi bular.;bulur;bular;-;irregular_forms
Kişi uygulamayı açınca hesap bakiyesini görür.;Kişi uygulamayı açınca hesap bakiyesini görer.;görür;görer;-;irregular_forms
Bu köpek yabancıyı görünce durur.;Bu köpek yabancıyı görünce durar.;durur;durar;-;irregular_forms
Bazı kuşlar sonbaharda göç etmez burada kalır.;Bazı kuşlar sonbaharda göç etmez burada kalar.;kalır;kalar;-;irregular_forms
İnsanlar sevgilisine özel günler dışında da hediye verir.;İnsanlar sevgilisine özel günler dışında da hediye verer.;verir;verer;-;irregular_forms
Bizim postacı her sabah erken gelir.;Bizim postacı her sabah erken geler.;gelir;geler;-;irregular_forms
Genç öğrenciler sınavda zor soruları görünce şaşırır ama çalışanlar hepsini bilir.;Genç öğrenciler sınavda zor soruları görünce şaşırır ama çalışanlar hepsini biler.;bilir;biler;-;irregular_forms  
2 polis şüpheli aracı görünce durur.;2 polis şüpheli aracı görünce durar.;durur;durar;-;irregular_forms
İyi aşçı yemeğin tadına bakınca bilir.;İyi aşçı yemeğin tadına bakınca biler.;bilir;biler;-;irregular_forms
Her çiftçi hasat zamanı mahsulleri tarladan alır.;Her çiftçi hasat zamanı mahsulleri tarladan alar.;alır;alar;-;irregular_forms  
3 balıkçı ağını her sabah denizden alır.;3 balıkçı ağını her sabah denizden alar.;alır;alar;-;irregular_forms
Öğretmen zor soruyu açıklayınca öğrenciler bilir.;Öğretmen zor soruyu açıklayınca öğrenciler biler.;bilir;biler;-;irregular_forms
Ve öğrenci tüm formülleri ezbere bilir.;Ve öğrenci tüm formülleri ezbere biler.;bilir;biler;-;irregular_forms
Express kurye paketleri kapıda hemen verir.;Express kurye paketleri kapıda hemen verer.;verir;verer;-;irregular_forms
Bir annen birkaç saate İstanbul'a varır.;Bir annen birkaç saate İstanbul'a varar.;varır;varar;-;irregular_forms
Bir öğrenci sınav kağıdını kontrol edince hatayı görür.;Bir öğrenci sınav kağıdını kontrol edince hatayı görer.;görür;görer;-;irregular_forms
Ama annem her şeyimi eliyle koymuş gibi bulur.;Ama annem her şeyimi eliyle koymuş gibi bular.;bulur;bular;-;irregular_forms
Bir postacı her sabah erken gelir.;Bir postacı her sabah erken geler.;gelir;geler;-;irregular_forms
Her güvenlik görevlisi paketten şüphelenince durur.;Her güvenlik görevlisi paketten şüphelenince durar.;durur;durar;-;irregular_forms  
Genç futbolcu penaltı atarken topa sert vurur.;Genç futbolcu penaltı atarken topa sert vurar.;vurur;vurar;-;irregular_forms
Sonra balıkçı ağını denizden alır.;Sonra balıkçı ağını denizden alar.;alır;alar;-;irregular_forms
Herkesin doğum gününde güzel hediyeler gelir.;Herkesin doğum gününde güzel hediyeler geler.;gelir;geler;-;irregular_forms  
Bütün çiçekler susuz kaldığında hemen ölür.;Bütün çiçekler susuz kaldığında hemen öler.;ölür;öler;-;irregular_forms
Çocuklar dondurmayı çok sevdiği için sık sık alır.;Çocuklar dondurmayı çok sevdiği için sık sık alar.;alır;alar;-;irregular_forms  
Birçok balıkçı ağını her sabah denizden alır.;Birçok balıkçı ağını her sabah denizden alar.;alır;alar;-;irregular_forms
Bu öğrenci sınav kağıdını kontrol edince hatayı görür.;Bu öğrenci sınav kağıdını kontrol edince hatayı görer.;görür;görer;-;irregular_forms
Parkuru ilk bitiren şampiyon olur.;Parkuru ilk bitiren şampiyon olar.;olur;olar;-;irregular_forms
Bir film festivaline gitmek için harçlıklarını biriktip bilet alır.;Bir film festivaline gitmek için harçlıklarını biriktip bilet alar.;alır;alar;-;irregular_forms
Bugün misafirler akşam yemeğine gelir.;Bugün misafirler akşam yemeğine geler.;gelir;geler;-;irregular_forms
Futbolcu penaltı atarken topu hep aynı köşeye vurur.;Futbolcu penaltı atarken topu hep aynı köşeye vurar.;vurur;vurar;-;irregular_forms  
Ve toplantıda son karar her zaman başkanın olur.;Ve toplantıda son karar her zaman başkanın olar.;olur;olar;-;irregular_forms
Ama kaptan pusula kullanmadan yönü bilir.;Ama kaptan pusula kullanmadan yönü biler.;bilir;biler;-;irregular_forms  
Bu balıkçı ağını denizden alır.;Bu balıkçı ağını denizden alar.;alır;alar;-;irregular_forms
Bu toplantıda son söz müdürün olur.;Bu toplantıda son söz müdürün olar.;olur;olar;-;irregular_forms
İlk toplantıda son söz müdürün olur.;İlk toplantıda son söz müdürün olar.;olur;olar;-;irregular_forms
Ama herkes buralardaki en iyi pilavcının Fevzi abi olduğunu bilir.;Ama herkes buralardaki en iyi pilavcının Fevzi abi olduğunu biler.;bilir;biler;-;irregular_forms
Bir takım maçı kazanırsa şampiyon olur.;Bir takım maçı kazanırsa şampiyon olar.;olur;olar;-;irregular_forms
Ve yolcular terminale aynı anda varır.;Ve yolcular terminale aynı anda varar.;varır;varar;-;irregular_forms
4 yönetici toplantıda son kararı verir.;4 yönetici toplantıda son kararı verer.;verir;verer;-;irregular_forms  
Bazı polisler şüpheli bir aracı görünce hemen durur.;Bazı polisler şüpheli bir aracı görünce hemen durar.;durur;durar;-;irregular_forms
Ama güvenlik görevlisi paketten şüphelenince durur.;Ama güvenlik görevlisi paketten şüphelenince durar.;durur;durar;-;irregular_forms  
Ancak doktor hastanın durumunu kontrol edince görür.;Ancak doktor hastanın durumunu kontrol edince görer.;görür;görer;-;irregular_forms
Birinci takım maçı kazanırsa şampiyon olur.;Birinci takım maçı kazanırsa şampiyon olar.;olur;olar;-;irregular_forms
Iyi çalışan öğrenciler sınavdaki tüm soruların cevabını bilir.;Iyi çalışan öğrenciler sınavdaki tüm soruların cevabını biler.;bilir;biler;-;irregular_forms
Bütün kuşlar sonbaharda göç etmez burada kalır.;Bütün kuşlar sonbaharda göç etmez burada kalar.;kalır;kalar;-;irregular_forms
Ve yarışçılar bitiş çizgisine neredeyse aynı anda varır.;Ve yarışçılar bitiş çizgisine neredeyse aynı anda varar.;varır;varar;-;irregular_forms
Adam serbest vuruşta nihayet topu ağlara vurur.;Adam serbest vuruşta nihayet topu ağlara vurar.;vurur;vurar;-;irregular_forms
Çok kuraklıkta bitkiler su alamayınca ölür.;Çok kuraklıkta bitkiler su alamayınca öler.;ölür;öler;-;irregular_forms 
İç güvenlik görevlisi paketten şüphelenince durur.;İç güvenlik görevlisi paketten şüphelenince durar.;durur;durar;-;irregular_forms  
2. yarışmacılar parkuru bitirince varır.;2. yarışmacılar parkuru bitirince varar.;varır;varar;-;irregular_forms
Çocuk odasında kaybolan oyuncağı bulur.;Çocuk odasında kaybolan oyuncağı bular.;bulur;bular;-;irregular_forms
Sonra polis şüpheli aracı görünce durur.;Sonra polis şüpheli aracı görünce durar.;durur;durar;-;irregular_forms
Yabancı futbolcu fırsatını yakalayınca topu ağlara vurur.;Yabancı futbolcu fırsatını yakalayınca topu ağlara vurar.;vurur;vurar;-;irregular_forms  
Ayrıca çiçekler susuz kaldığında hemen ölür.;Ayrıca çiçekler susuz kaldığında hemen öler.;ölür;öler;-;irregular_forms
Çünkü güneş panelleri gölgede kalınca verimli çalışmaz ve enerji üretmez olur.;Çünkü güneş panelleri gölgede kalınca verimli çalışmaz ve enerji üretmez olar.;olur;olar;-;irregular_forms  
Burada çiftçi hasat zamanı mahsulleri tarladan alır.;Burada çiftçi hasat zamanı mahsulleri tarladan alar.;alır;alar;-;irregular_forms  
Ancak öğrenci sınav kağıdını kontrol edince hatayı görür.;Ancak öğrenci sınav kağıdını kontrol edince hatayı görer.;görür;görer;-;irregular_forms
Bu yaşlı adam bankta oturup saatlerce durur.;Bu yaşlı adam bankta oturup saatlerce durar.;durur;durar;-;irregular_forms
UPS kurye paketleri kapıda hemen verir.;UPS kurye paketleri kapıda hemen verer.;verir;verer;-;irregular_forms
Son tren tam zamanında istasyona varır.;Son tren tam zamanında istasyona varar.;varır;varar;-;irregular_forms
Güneş yılın bazı dönemlerinde Venüs Ay'ın çok yakınında durur.;Güneş yılın bazı dönemlerinde Venüs Ay'ın çok yakınında durar.;durur;durar;-;irregular_forms
Bir çocuk odasında kaybolan anahtarı dolabın üstünde bulur.;Bir çocuk odasında kaybolan anahtarı dolabın üstünde bular.;bulur;bular;-;irregular_forms  
Sonra kargo şoförü adresi bulunca paketi verir.;Sonra kargo şoförü adresi bulunca paketi verer.;verir;verer;-;irregular_forms
Alt yönetici toplantıda son kararı verir.;Alt yönetici toplantıda son kararı verer.;verir;verer;-;irregular_forms  
Genç polisler şüpheli bir aracı görünce hemen durur.;Genç polisler şüpheli bir aracı görünce hemen durar.;durur;durar;-;irregular_forms
Bir polis şüpheliyi görünce hemen vurur.;Bir polis şüpheliyi görünce hemen vurar.;vurur;vurar;-;irregular_forms
Her öğrenci tüm formülleri ezbere bilir.;Her öğrenci tüm formülleri ezbere biler.;bilir;biler;-;irregular_forms
Kız çocuk odasında kaybolan oyuncağı bulur.;Kız çocuk odasında kaybolan oyuncağı bular.;bulur;bular;-;irregular_forms
Bugün postacı her sabah erken gelir.;Bugün postacı her sabah erken geler.;gelir;geler;-;irregular_forms
Ancak bu ağaçlar sonbaharda yapraklarını dökmeyip yeşil kalır.;Ancak bu ağaçlar sonbaharda yapraklarını dökmeyip yeşil kalar.;kalır;kalar;-;irregular_forms  
Bunu aşçı yemeğin tadına bakınca bilir.;Bunu aşçı yemeğin tadına bakınca biler.;bilir;biler;-;irregular_forms
Kız çocuk odasında kaybolan anahtarı dolabın üstünde bulur.;Kız çocuk odasında kaybolan anahtarı dolabın üstünde bular.;bulur;bular;-;irregular_forms  
İnsan saklambaçta en iyi saklananı bile hemencecik bulur.;İnsan saklambaçta en iyi saklananı bile hemencecik bular.;bulur;bular;-;irregular_forms
Bir bahçıvan çiçekleri sulamazsa hepsi ölür.;Bir bahçıvan çiçekleri sulamazsa hepsi öler.;ölür;öler;-;irregular_forms
Ardından balıkçı ağını yavaşça denizden alır.;Ardından balıkçı ağını yavaşça denizden alar.;alır;alar;-;irregular_forms
Evde güneş görmeyen petunyalar hemen ölür.;Evde güneş görmeyen petunyalar hemen öler.;ölür;öler;-;irregular_forms
Böylece yarışta önde giden bisikletli son dönemeçte levhaya vurur.;Böylece yarışta önde giden bisikletli son dönemeçte levhaya vurar.;vurur;vurar;-;irregular_forms
Her saklambaçta en iyi saklananı bile hemencecik bulur.;Her saklambaçta en iyi saklananı bile hemencecik bular.;bulur;bular;-;irregular_forms
Bazı çocuklar dondurmayı çok sevdiği için sık sık alır.;Bazı çocuklar dondurmayı çok sevdiği için sık sık alar.;alır;alar;-;irregular_forms  
Ve annen birkaç saate İstanbul'a varır.;Ve annen birkaç saate İstanbul'a varar.;varır;varar;-;irregular_forms
İlk otobüs tam zamanında terminale varır.;İlk otobüs tam zamanında terminale varar.;varır;varar;-;irregular_forms
İlk toplantıda her zaman aynı şeyler olur.;İlk toplantıda her zaman aynı şeyler olar.;olur;olar;-;irregular_forms  
Ve annem her şeyimi eliyle koymuş gibi bulur.;Ve annem her şeyimi eliyle koymuş gibi bular.;bulur;bular;-;irregular_forms
Bu kuraklıkta bitkiler su alamayınca ölür.;Bu kuraklıkta bitkiler su alamayınca öler.;ölür;öler;-;irregular_forms 
Öğrenci kütüphaneden ödünç aldığı kitapları zamanında geri verir.;Öğrenci kütüphaneden ödünç aldığı kitapları zamanında geri verer.;verir;verer;-;irregular_forms
Bir öğrenci tüm soruları doğru bilir.;Bir öğrenci tüm soruları doğru biler.;bilir;biler;-;irregular_forms
Ama kargo şoförü adresi bulunca paketi verir.;Ama kargo şoförü adresi bulunca paketi verer.;verir;verer;-;irregular_forms
Bizim kurye paketleri kapıda hemen verir.;Bizim kurye paketleri kapıda hemen verer.;verir;verer;-;irregular_forms
Kendi odasında kaybolan çorabı yatağın altında bulur.;Kendi odasında kaybolan çorabı yatağın altında bular.;bulur;bular;-;irregular_forms
İlk tren tam zamanında istasyona varır.;İlk tren tam zamanında istasyona varar.;varır;varar;-;irregular_forms
Ve çocuklar saklananı hemen bulur.;Ve çocuklar saklananı hemen bular.;bulur;bular;-;irregular_forms
Yarışmacılar parkuru bitirince varır.;Yarışmacılar parkuru bitirince varar.;varır;varar;-;irregular_forms
Genç misafirler her cumartesi akşamı bize gelir.;Genç misafirler her cumartesi akşamı bize geler.;gelir;geler;-;irregular_forms
Ve çocuk saklanan arkadaşını kolayca bulur.;Ve çocuk saklanan arkadaşını kolayca bular.;bulur;bular;-;irregular_forms
Kullanıcı bulmacanın cevaplarını arka sayfada görür.;Kullanıcı bulmacanın cevaplarını arka sayfada görer.;görür;görer;-;irregular_forms  
Sadece doktor hastanın durumunu kontrol edince görür.;Sadece doktor hastanın durumunu kontrol edince görer.;görür;görer;-;irregular_forms
Dedem bize her pazar kahvaltıya gelir.;Dedem bize her pazar kahvaltıya geler.;gelir;geler;-;irregular_forms  
Her balıkçı ağını her sabah denizden alır.;Her balıkçı ağını her sabah denizden alar.;alır;alar;-;irregular_forms
Bir yolcu otobüsü terminale tam vaktinde varır.;Bir yolcu otobüsü terminale tam vaktinde varar.;varır;varar;-;irregular_forms  
Bazı bitkiler susuz kaldığında çabucak ölür.;Bazı bitkiler susuz kaldığında çabucak öler.;ölür;öler;-;irregular_forms
Bir konserde sahneyi iyi görmek için ön sırada durur.;Bir konserde sahneyi iyi görmek için ön sırada durar.;durur;durar;-;irregular_forms
Yabancı misafirler her cumartesi akşamı bize gelir.;Yabancı misafirler her cumartesi akşamı bize geler.;gelir;geler;-;irregular_forms
Bütün yarışçılar bitiş çizgisine neredeyse aynı anda varır.;Bütün yarışçılar bitiş çizgisine neredeyse aynı anda varar.;varır;varar;-;irregular_forms
Cannes film festivaline gitmek için harçlıklarını biriktip bilet alır.;Cannes film festivaline gitmek için harçlıklarını biriktip bilet alar.;alır;alar;-;irregular_forms
Küçük balıkçı ağını yavaşça denizden alır.;Küçük balıkçı ağını yavaşça denizden alar.;alır;alar;-;irregular_forms
Alman futbolcu fırsatını yakalayınca topu ağlara vurur.;Alman futbolcu fırsatını yakalayınca topu ağlara vurar.;vurur;vurar;-;irregular_forms  
Balıkçı ağını her sabah denizden alır.;Balıkçı ağını her sabah denizden alar.;alır;alar;-;irregular_forms
3 müzisyen kalabalığı her akşam görür.;3 müzisyen kalabalığı her akşam görer.;görür;görer;-;irregular_forms
Ve misafirler akşam yemeğine tam saatinde gelir.;Ve misafirler akşam yemeğine tam saatinde geler.;gelir;geler;-;irregular_forms
Özellikle kuraklıkta bitkiler su alamayınca ölür.;Özellikle kuraklıkta bitkiler su alamayınca öler.;ölür;öler;-;irregular_forms 
Akşam misafirler akşam yemeğine gelir.;Akşam misafirler akşam yemeğine geler.;gelir;geler;-;irregular_forms
Toplantıda her zaman aynı şeyler olur.;Toplantıda her zaman aynı şeyler olar.;olur;olar;-;irregular_forms  
Burada annem her şeyimi eliyle koymuş gibi bulur.;Burada annem her şeyimi eliyle koymuş gibi bular.;bulur;bular;-;irregular_forms
Eski dedem bize her pazar kahvaltıya gelir.;Eski dedem bize her pazar kahvaltıya geler.;gelir;geler;-;irregular_forms  
Otobüs şehir merkezine her saat başı varır.;Otobüs şehir merkezine her saat başı varar.;varır;varar;-;irregular_forms
İngiliz futbolcu fırsatını yakalayınca topu ağlara vurur.;İngiliz futbolcu fırsatını yakalayınca topu ağlara vurar.;vurur;vurar;-;irregular_forms  
Anne doğum gününde güzel hediyeler gelir.;Anne doğum gününde güzel hediyeler geler.;gelir;geler;-;irregular_forms  
1 çiftçi hasat zamanı mahsulleri tarladan alır.;1 çiftçi hasat zamanı mahsulleri tarladan alar.;alır;alar;-;irregular_forms  
Bu çocuklar saklananı hemen bulur.;Bu çocuklar saklananı hemen bular.;bulur;bular;-;irregular_forms
İki köpek yabancıyı görünce durur.;İki köpek yabancıyı görünce durar.;durur;durar;-;irregular_forms
Çünkü zam yapılmazsa fiyatlar aynı kalır.;Çünkü zam yapılmazsa fiyatlar aynı kalar.;kalır;kalar;-;irregular_forms
İlk tren istasyona tam zamanında varır.;İlk tren istasyona tam zamanında varar.;varır;varar;-;irregular_forms
O saklambaçta en iyi saklananı bile hemencecik bulur.;O saklambaçta en iyi saklananı bile hemencecik bular.;bulur;bular;-;irregular_forms
Kadınlar sevgilisine özel günler dışında da hediye verir.;Kadınlar sevgilisine özel günler dışında da hediye verer.;verir;verer;-;irregular_forms
Serbest vuruşta nihayet topu ağlara vurur.;Serbest vuruşta nihayet topu ağlara vurar.;vurur;vurar;-;irregular_forms
Çocuk saklanan arkadaşını kolayca bulur.;Çocuk saklanan arkadaşını kolayca bular.;bulur;bular;-;irregular_forms
Birçok bulmacanın cevaplarını arka sayfada görür.;Birçok bulmacanın cevaplarını arka sayfada görer.;görür;görer;-;irregular_forms  
Ve saklambaçta en iyi saklananı bile hemencecik bulur.;Ve saklambaçta en iyi saklananı bile hemencecik bular.;bulur;bular;-;irregular_forms
Uzman doktor hastanın durumunu kontrol edince görür.;Uzman doktor hastanın durumunu kontrol edince görer.;görür;görer;-;irregular_forms
– müşteri sipariş bedelini kapıda nakit olarak verir.;– müşteri sipariş bedelini kapıda nakit olarak verer.;verir;verer;-;irregular_forms  
Sultan marangoz çekiçle çiviye vurur.;Sultan marangoz çekiçle çiviye vurar.;vurur;vurar;-;irregular_forms
Kimi yarışmacılar maratonun sonuna doğru yavaşlar ama bitirince varır.;Kimi yarışmacılar maratonun sonuna doğru yavaşlar ama bitirince varar.;varır;varar;-;irregular_forms
Futbolcu fırsatını yakalayınca topu ağlara vurur.;Futbolcu fırsatını yakalayınca topu ağlara vurar.;vurur;vurar;-;irregular_forms  
Hızlı kurye paketleri kapıda hemen verir.;Hızlı kurye paketleri kapıda hemen verer.;verir;verer;-;irregular_forms
Bu toplantıda her zaman aynı şeyler olur.;Bu toplantıda her zaman aynı şeyler olar.;olur;olar;-;irregular_forms  
Diğer yarışmacılar parkuru bitirince varır.;Diğer yarışmacılar parkuru bitirince varar.;varır;varar;-;irregular_forms
Elbette herkes buralardaki en iyi pilavcının Fevzi abi olduğunu bilir.;Elbette herkes buralardaki en iyi pilavcının Fevzi abi olduğunu biler.;bilir;biler;-;irregular_forms
Diğer polisler şüpheli bir aracı görünce hemen durur.;Diğer polisler şüpheli bir aracı görünce hemen durar.;durur;durar;-;irregular_forms
3 polis şüpheli aracı görünce durur.;3 polis şüpheli aracı görünce durar.;durur;durar;-;irregular_forms
Yaşlı adam bankta oturup saatlerce durur.;Yaşlı adam bankta oturup saatlerce durar.;durur;durar;-;irregular_forms
Müzisyen kalabalığı her akşam görür.;Müzisyen kalabalığı her akşam görer.;görür;görer;-;irregular_forms
Sonra annen birkaç saate İstanbul'a varır.;Sonra annen birkaç saate İstanbul'a varar.;varır;varar;-;irregular_forms
Tüm yarışçılar bitiş çizgisine neredeyse aynı anda varır.;Tüm yarışçılar bitiş çizgisine neredeyse aynı anda varar.;varır;varar;-;irregular_forms
Paket kurye paketleri kapıda hemen verir.;Paket kurye paketleri kapıda hemen verer.;verir;verer;-;irregular_forms
Ayrıca zam yapılmazsa fiyatlar aynı kalır.;Ayrıca zam yapılmazsa fiyatlar aynı kalar.;kalır;kalar;-;irregular_forms
Ancak polis şüpheli aracı görünce durur.;Ancak polis şüpheli aracı görünce durar.;durur;durar;-;irregular_forms
Bu öğrenci tüm soruları doğru bilir.;Bu öğrenci tüm soruları doğru biler.;bilir;biler;-;irregular_forms
Bu zam yapılmazsa fiyatlar aynı kalır.;Bu zam yapılmazsa fiyatlar aynı kalar.;kalır;kalar;-;irregular_forms
5 polis şüpheli aracı görünce durur.;5 polis şüpheli aracı görünce durar.;durur;durar;-;irregular_forms
Birçok çiftçi hasat zamanı mahsulleri tarladan alır.;Birçok çiftçi hasat zamanı mahsulleri tarladan alar.;alır;alar;-;irregular_forms  
Müşteri uygulamayı açınca hesap bakiyesini görür.;Müşteri uygulamayı açınca hesap bakiyesini görer.;görür;görer;-;irregular_forms
Her doğum gününde güzel hediyeler gelir.;Her doğum gününde güzel hediyeler geler.;gelir;geler;-;irregular_forms  
