good_sentence;bad_sentence;good_cue;bad_cue;critical_region;phenomenon;subtype
Şirket çalışanlarına yeni görevler verdi.;Şirket çalışanlarını yeni görevler verdi.;çalışanlarına;çalışanlarını;verdi;argument_structure;ditransitive
Usta antrenör atletlere beslenme planı hazırladı.;Usta antrenör atletleri beslenme planı hazırladı.;atletlere;atletleri;hazırladı;argument_structure;ditransitive
Bir kız kardeşim köpeği komşuya götürdü.;Bir kız kardeşim köpeğe komşuya götürdü.;köpeği;köpeğe;götürdü;argument_structure;ditransitive
Benim kuzenim köpeği parka götürdü.;Benim kuzenim köpeğe parka götürdü.;köpeği;köpeğe;götürdü;argument_structure;ditransitive
Ve manav bize en taze meyvelerden ayırdı.;Ve manav bizi en taze meyvelerden ayırdı.;bize;bizi;ayırdı;argument_structure;ditransitive
Erkek kız arkadaşına çikolatayı hiç düşünmeden verdi.;Erkek kız arkadaşından çikolatayı hiç düşünmeden verdi.;arkadaşına;arkadaşından;verdi;argument_structure;ditransitive
Genç kasap bana en iyi biftekten ayırdı.;Genç kasap beni en iyi biftekten ayırdı.;bana;beni;ayırdı;argument_structure;ditransitive
Ayakkabılarını çıkarıp paltosunu girişteki vestiyere astı.;Ayakkabılarını çıkarıp paltosuna girişteki vestiyere astı.;paltosunu;paltosuna;astı;argument_structure;ditransitive
Baş antrenör atletlere beslenme planı hazırladı.;Baş antrenör atletleri beslenme planı hazırladı.;atletlere;atletleri;hazırladı;argument_structure;ditransitive
Hemen ayakkabılarını çıkarıp şapkasını girişteki dolaba astı.;Hemen ayakkabılarını çıkarıp şapkasına girişteki dolaba astı.;şapkasını;şapkasına;astı;argument_structure;ditransitive
Ben dün sütü ben aldığım için annem markete kardeşimi yolladı.;Ben dün sütü ben aldığım için annem markette kardeşimi yolladı.;markete;markette;yolladı;argument_structure;ditransitive
Hemen dün gece kızı apar topar kliniğe götürdük.;Hemen dün gece kıza apar topar kliniğe götürdük.;kızı;kıza;götürdük;argument_structure;ditransitive
Hemen üzerime koca bir bardak çayı döktüm.;Hemen üzerimde koca bir bardak çayı döktüm.;Üzerime;Üzerimde;döktüm;argument_structure;ditransitive
Ve babam bugün markette ilkokul öğretmenime rastlamış.;Ve babam bugün marketi ilkokul öğretmenime rastlamış.;markette;marketi;rastlamış;argument_structure;ditransitive
4 antrenör takıma farklı stratejiler öğretti.;4 antrenör takımı farklı stratejiler öğretti.;takıma;takımı;öğretti;argument_structure;ditransitive
Yıllardır kendini sadece işine adamış.;Yıllardır kendinden sadece işine adamış.;kendini;kendinden;adamış;argument_structure;ditransitive
Ünlü yönetmen oyunculara rollerini dağıttı.;Ünlü yönetmen oyuncuları rollerini dağıttı.;oyunculara;oyuncuları;dağıttı;argument_structure;ditransitive
Başkan asistanı belgeleri masasına getirdi.;Başkan asistanı belgelerle masasına getirdi.;belgeleri;belgelerle;getirdi;argument_structure;ditransitive
3 şirket personeline yeni projeler verdi.;3 şirket personelini yeni projeler verdi.;personeline;personelini;verdi;argument_structure;ditransitive
Anne bebeğine mamasını kaşıkla verdi.;Anne bebeğini mamasını kaşıkla verdi.;bebeğine;bebeğini;verdi;argument_structure;ditransitive
Ayrıca yönetmen sanatçılara rollerini dağıttı.;Ayrıca yönetmen sanatçıları rollerini dağıttı.;sanatçılara;sanatçıları;dağıttı;argument_structure;ditransitive
Bunu halam bana eldiven hediye etti.;Bunu halam beni eldiven hediye etti.;bana;beni;hediye etti;argument_structure;ditransitive
Yabancı antrenör takıma farklı stratejiler öğretti.;Yabancı antrenör takımı farklı stratejiler öğretti.;takıma;takımı;öğretti;argument_structure;ditransitive
Yine dün gece kızı apar topar kliniğe götürdük.;Yine dün gece kıza apar topar kliniğe götürdük.;kızı;kıza;götürdük;argument_structure;ditransitive
Ayrıca bu sergiyi neşesini kaybetmeyen kadınlara ithaf ediyorum.;Ayrıca bu sergiye neşesini kaybetmeyen kadınlara ithaf ediyorum.;sergiyi;sergiye;ithaf ediyorum;argument_structure;ditransitive
Büyük oğlum bisikleti arkadaşına ödünç verdi.;Büyük oğlum bisikletle arkadaşına ödünç verdi.;bisikleti;bisikletle;ödünç verdi;argument_structure;ditransitive
Bugün doğum günüm diye barmen bana bira ısmarladı.;Bugün doğum günüm diye barmen beni bira ısmarladı.;bana;beni;ısmarladı;argument_structure;ditransitive
Arkadaşım bana doğum günü hediyesi aldı.;Arkadaşım beni doğum günü hediyesi aldı.;bana;beni;aldı;argument_structure;ditransitive
İşte dün gece oğlanı apar topar hastaneye götürdük.;İşte dün gece oğlana apar topar hastaneye götürdük.;oğlanı;oğlana;götürdük;argument_structure;ditransitive
Genç öğretmen öğrencilere yeni şarkıyı öğretti.;Genç öğretmen öğrencileri yeni şarkıyı öğretti.;öğrencilere;öğrencileri;öğretti;argument_structure;ditransitive
Küçük çocuk teyzesine mağazadaki oyuncağı gösterdi.;Küçük çocuk teyzesini mağazadaki oyuncağı gösterdi.;teyzesine;teyzesini;gösterdi;argument_structure;ditransitive
Bu manav bize en lezzetli meyvelerden ayırdı.;Bu manav bizi en lezzetli meyvelerden ayırdı.;bize;bizi;ayırdı;argument_structure;ditransitive
Güzel şair dinleyicilerine yeni şiir kitabını tanıttı.;Güzel şair dinleyicilerini yeni şiir kitabını tanıttı.;dinleyicilerine;dinleyicilerini;tanıttı;argument_structure;ditransitive
Son dileklerini yazdığı kartı bir ağacın dalına bağladı.;Son dileklerini yazdığı karta bir ağacın dalına bağladı.;kartı;karta;bağladı;argument_structure;ditransitive
Bazı yanlış politikalar halkı yoksulluğa mahkum etti.;Bazı yanlış politikalar halkla yoksulluğa mahkum etti.;halkı;halkla;mahkum etti;argument_structure;ditransitive
Fransız yazar okurlarına yeni kitabını tanıttı.;Fransız yazar okurlarını yeni kitabını tanıttı.;okurlarına;okurlarını;tanıttı;argument_structure;ditransitive
Aile evlerinin bahçesine zeytin ağacı dikmişler.;Aile evlerinin bahçesinden zeytin ağacı dikmişler.;bahçesine;bahçesinden;dikmişler;argument_structure;ditransitive
Ve dedem bana eski hikayeler anlattı.;Ve dedem beni eski hikayeler anlattı.;bana;beni;anlattı;argument_structure;ditransitive
Uzman yönetmen sanatçılara rollerini dağıttı.;Uzman yönetmen sanatçıları rollerini dağıttı.;sanatçılara;sanatçıları;dağıttı;argument_structure;ditransitive
Sonra babam yeni telefonunu bana verdi.;Sonra babam yeni telefonuna bana verdi.;telefonunu;telefonuna;verdi;argument_structure;ditransitive
Eski teyzem kitapları çocuklara dağıttı.;Eski teyzem kitaplara çocuklara dağıttı.;kitapları;kitaplara;dağıttı;argument_structure;ditransitive
Ben küçükken ekmeğimi hep çorbaya banardım.;Ben küçükken ekmeğimde hep çorbaya banardım.;ekmeğimi;ekmeğimde;banardım;argument_structure;ditransitive
Ünlü öğretmen öğrencilere yeni şarkıyı öğretti.;Ünlü öğretmen öğrencileri yeni şarkıyı öğretti.;öğrencilere;öğrencileri;öğretti;argument_structure;ditransitive
Bir arkadaşım bana yeni bir kitap önerdi.;Bir arkadaşım beni yeni bir kitap önerdi.;bana;beni;önerdi;argument_structure;ditransitive
İlk doğum günüm diye garson bana limonata ısmarladı.;İlk doğum günüm diye garson beni limonata ısmarladı.;bana;beni;ısmarladı;argument_structure;ditransitive
Ben küçükken ekmeğimi hep salatanın suyuna banardım.;Ben küçükken ekmeğimde hep salatanın suyuna banardım.;ekmeğimi;ekmeğimde;banardım;argument_structure;ditransitive
Sonra arkadaşım bana en son haberleri verdi.;Sonra arkadaşım beni en son haberleri verdi.;bana;beni;verdi;argument_structure;ditransitive
İki antrenör sporculara antrenman programı hazırladı.;İki antrenör sporcuları antrenman programı hazırladı.;sporculara;sporcuları;hazırladı;argument_structure;ditransitive
Uzman antrenör atletlere beslenme planı hazırladı.;Uzman antrenör atletleri beslenme planı hazırladı.;atletlere;atletleri;hazırladı;argument_structure;ditransitive
O dileklerini yazdığı kağıdı bir ağacın dalına bağladı.;O dileklerini yazdığı kağıda bir ağacın dalına bağladı.;kağıdı;kağıda;bağladı;argument_structure;ditransitive
Bir kasap bana en güzel etlerden ayırdı.;Bir kasap beni en güzel etlerden ayırdı.;bana;benle;ayırdı;argument_structure;ditransitive
Yakın arkadaşım bana yeni bir şarkı önerdi.;Yakın arkadaşım beni yeni bir şarkı önerdi.;bana;beni;önerdi;argument_structure;ditransitive
Ben küçükken ekmeğimi hep salatanın suyuna banardım.;Ben küçükken ekmeğimde hep salatanın suyuna banardım.;ekmeğimi;ekmeğimde;banardım;argument_structure;ditransitive
Küçük çocuk babasına en sevdiği oyuncağı verdi.;Küçük çocuk babasını en sevdiği oyuncağı verdi.;babasına;babasını;verdi;argument_structure;ditransitive
Hemen üzerime koca bir bardak çayı döktüm.;Hemen üzerimde koca bir bardak çayı döktüm.;Üzerime;Üzerimde;döktüm;argument_structure;ditransitive
Yapılan takı töreninde damadın yakasına çeyrek altın taktılar.;Yapılan takı töreninde damadın yakasını çeyrek altın taktılar.;yakasına;yakasını;taktılar;argument_structure;ditransitive
Bir dedem bana eski hikayeler anlattı.;Bir dedem beni eski hikayeler anlattı.;bana;beni;anlattı;argument_structure;ditransitive
Kız ayakkabılarını çıkarıp paltosunu girişteki vestiyere astı.;Kız ayakkabılarını çıkarıp paltosuna girişteki vestiyere astı.;paltosunu;paltosuna;astı;argument_structure;ditransitive
Ama mahalledeki çocuklar evin camına yine taş atıyor.;Ama mahalledeki çocuklar evin camını yine taş atıyor.;camına;camını;atıyor;argument_structure;ditransitive
Yeni komşumuz bize taze meyve getirdi.;Yeni komşumuz bizi taze meyve getirdi.;bize;bizi;getirdi;argument_structure;ditransitive
Yine küçük çocuk annesine vitrindeki oyuncağı gösterdi.;Yine küçük çocuk annesini vitrindeki oyuncağı gösterdi.;annesine;annesini;gösterdi;argument_structure;ditransitive
Kitap arkadaşım bana yeni bir kitap önerdi.;Kitap arkadaşım beni yeni bir kitap önerdi.;bana;beni;önerdi;argument_structure;ditransitive
Ardından ayakkabılarını çıkarıp şapkasını girişteki dolaba astı.;Ardından ayakkabılarını çıkarıp şapkasına girişteki dolaba astı.;şapkasını;şapkasına;astı;argument_structure;ditransitive
Kadın yıllardır kendini sadece işine adamış.;Kadın yıllardır kendinden sadece işine adamış.;kendini;kendinden;adamış;argument_structure;ditransitive
Kız kız arkadaşına çikolatayı hiç düşünmeden verdi.;Kız kız arkadaşından çikolatayı hiç düşünmeden verdi.;arkadaşına;arkadaşından;verdi;argument_structure;ditransitive
Yakın arkadaşım bana en son haberleri verdi.;Yakın arkadaşım beni en son haberleri verdi.;bana;beni;verdi;argument_structure;ditransitive
Ve küçük çocuk annesine vitrindeki oyuncağı gösterdi.;Ve küçük çocuk annesini vitrindeki oyuncağı gösterdi.;annesine;annesini;gösterdi;argument_structure;ditransitive
Ve dileklerini yazdığı kartı bir ağacın dalına bağladı.;Ve dileklerini yazdığı karta bir ağacın dalına bağladı.;kartı;karta;bağladı;argument_structure;ditransitive
Hemen ayakkabılarını çıkarıp paltosunu girişteki vestiyere astı.;Hemen ayakkabılarını çıkarıp paltosuna girişteki vestiyere astı.;paltosunu;paltosuna;astı;argument_structure;ditransitive
Kadın ayakkabılarını çıkarıp paltosunu girişteki vestiyere astı.;Kadın ayakkabılarını çıkarıp paltosuna girişteki vestiyere astı.;paltosunu;paltosuna;astı;argument_structure;ditransitive
Ve çocuk dedesine en sevdiği kitabı verdi.;Ve çocuk dedesini en sevdiği kitabı verdi.;dedesine;dedesini;verdi;argument_structure;ditransitive
Evlerinin arka bahçesine elma ağacı dikmişler.;Evlerinin arka bahçesinden elma ağacı dikmişler.;arka bahçesine;arka bahçesinden;dikmişler;argument_structure;ditransitive
10 şirket personeline yeni projeler verdi.;10 şirket personelini yeni projeler verdi.;personeline;personelini;verdi;argument_structure;ditransitive
On yıllardır kendini sadece işine adamış.;On yıllardır kendinden sadece işine adamış.;kendini;kendinden;adamış;argument_structure;ditransitive
Büyük dedem torunlarına fıkralar anlattı.;Büyük dedem torunlarını fıkralar anlattı.;torunlarına;torunlarını;anlattı;argument_structure;ditransitive
Ayrıca dün sütü ben aldığım için annem markete kardeşimi yolladı.;Ayrıca dün sütü ben aldığım için annem markette kardeşimi yolladı.;markete;markette;yolladı;argument_structure;ditransitive
Tüm dileklerini yazdığı kartı bir ağacın dalına bağladı.;Tüm dileklerini yazdığı karta bir ağacın dalına bağladı.;kartı;karta;bağladı;argument_structure;ditransitive
Sevgili arkadaşım bana doğum günü hediyesi aldı.;Sevgili arkadaşım beni doğum günü hediyesi aldı.;bana;beni;aldı;argument_structure;ditransitive
Sonra annem pastanın üstüne biraz çikolata koyar.;Sonra annem pastanın üstünü biraz çikolata koyar.;üstüne;üstünü;koyar;argument_structure;ditransitive
Genç anne bebeğine sütü biberonla verdi.;Genç anne bebeğini sütü biberonla verdi.;bebeğine;bebeğini;verdi;argument_structure;ditransitive
Bir halam bana el örgüsü bir kazak hediye etti.;Bir halam beni el örgüsü bir kazak hediye etti.;bana;beni;hediye etti;argument_structure;ditransitive
Sevgili halam bana el örgüsü bir kazak hediye etti.;Sevgili halam beni el örgüsü bir kazak hediye etti.;bana;beni;hediye etti;argument_structure;ditransitive
Sevgili arkadaşım bana son gelişmeleri anlattı.;Sevgili arkadaşım beni son gelişmeleri anlattı.;bana;beni;anlattı;argument_structure;ditransitive
Ve yönetmen oyunculara son talimatları verdi.;Ve yönetmen oyuncuları son talimatları verdi.;oyunculara;oyuncuları;verdi;argument_structure;ditransitive
Bizim mahalledeki çocuklar dükkanın camına yine top atıyor.;Bizim mahalledeki çocuklar dükkanın camını yine top atıyor.;camına;camını;atıyor;argument_structure;ditransitive
Tüm yanlış kararlar halkı adaletsizliğe mahkum etti.;Tüm yanlış kararlar halkla adaletsizliğe mahkum etti.;halkı;halkla;mahkum etti;argument_structure;ditransitive
Ama belki sana bu konudaki fikirlerinden bahsetmiştir.;Ama belki seni bu konudaki fikirlerinden bahsetmiştir.;sana;seni;bahsetmiştir;argument_structure;ditransitive
Güzel teyzem kitapları çocuklara dağıttı.;Güzel teyzem kitaplara çocuklara dağıttı.;kitapları;kitaplara;dağıttı;argument_structure;ditransitive
Sevgili arkadaşım bana yeni bir şarkı önerdi.;Sevgili arkadaşım beni yeni bir şarkı önerdi.;bana;beni;önerdi;argument_structure;ditransitive
Bir çocuk dedesine en sevdiği kitabı verdi.;Bir çocuk dedesini en sevdiği kitabı verdi.;dedesine;dedesini;verdi;argument_structure;ditransitive
Ünlü yazar okurlarına yeni kitabını tanıttı.;Ünlü yazar okurlarını yeni kitabını tanıttı.;okurlarına;okurlarını;tanıttı;argument_structure;ditransitive
Halam bana eldiven hediye etti.;Halam beni eldiven hediye etti.;bana;beni;hediye etti;argument_structure;ditransitive
Bugün arkadaşım bana yeni bir dizi önerdi.;Bugün arkadaşım benle yeni bir dizi önerdi.;bana;benle;önerdi;argument_structure;ditransitive
Yapılan takı töreninde geline burma bilezik taktılar.;Yapılan takı töreninde gelini burma bilezik taktılar.;geline;gelini;taktılar;argument_structure;ditransitive
Hemen kasap bana en güzel etlerden ayırdı.;Hemen kasap beni en güzel etlerden ayırdı.;bana;benle;ayırdı;argument_structure;ditransitive
3 antrenör takıma farklı stratejiler öğretti.;3 antrenör takımı farklı stratejiler öğretti.;takıma;takımı;öğretti;argument_structure;ditransitive
Ali teyzem oyuncakları çocuklara dağıttı.;Ali teyzem oyuncaklara çocuklara dağıttı.;oyuncakları;oyuncaklara;dağıttı;argument_structure;ditransitive
Ardından yönetmen ekibine son direktifleri verdi.;Ardından yönetmen ekibini son direktifleri verdi.;ekibine;ekibini;verdi;argument_structure;ditransitive
Ve dün sütü ben aldığım için annem markete kardeşimi yolladı.;Ve dün sütü ben aldığım için annem markette kardeşimi yolladı.;markete;markette;yolladı;argument_structure;ditransitive
Sonra arkadaşım bana konser bileti aldı.;Sonra arkadaşım beni konser bileti aldı.;bana;beni;aldı;argument_structure;ditransitive
Dedem torunlarına fıkralar anlattı.;Dedem torunlarını fıkralar anlattı.;torunlarına;torunlarını;anlattı;argument_structure;ditransitive
Oyuncu yıllardır kendini sadece sanatına adamış.;Oyuncu yıllardır kendinden sadece sanatına adamış.;kendini;kendinden;adamış;argument_structure;ditransitive
Eski evlerinin arka bahçesine elma ağacı dikmişler.;Eski evlerinin arka bahçesinden elma ağacı dikmişler.;arka bahçesine;arka bahçesinden;dikmişler;argument_structure;ditransitive
