good_sentence;bad_sentence;good_cue;bad_cue;critical_region;phenomenon
Sonra öğrencinin kitabı unuttuğunu fark ettim.;Sonra öğrencinin unuttuğunu kitabı fark ettim.;kitabı unuttuğunu;unuttuğunu kitabı;-;scrambling  
Yöneticinin kararı ertelediğini ilan etti.;Yöneticinin ertelediğini kararı ilan etti.;kararı ertelediğini;ertelediğini kararı;-;scrambling
Teknik müdürün projeyi onayladığını duydum.;Teknik müdürün onayladığını projeyi duydum.;projeyi onayladığını;onayladığını projeyi;-;scrambling  
Yine teyzenin balkondaki çiçekleri suladığını gördüm.;Yine teyzenin suladığını balkondaki çiçekleri gördüm.;balkondaki çiçekleri suladığını;suladığını balkondaki çiçekleri;-;scrambling
Baba kızının resim yaptığını bile bilmiyormuş.;Baba kızının yaptığını resim bile bilmiyormuş;resim yaptığını;yaptığını resim;-;scrambling  
Ancak teknisyenin arızayı giderdiğini açıkladı.;Ancak teknisyenin giderdiğini arızayı açıkladı.;arızayı giderdiğini;giderdiğini arızayı;-;scrambling
Şu ufaklığın ödevlerini bitirmesine sevindim.;Şu ufaklığın bitirmesine ödevlerini sevindim.;ödevlerini bitirmesine;bitirmesine ödevlerini;-;scrambling  
Ama müşterinin faturayı ödediğini söylediler.;Ama müşterinin ödediğini faturayı söylediler.;faturayı ödediğini;ödediğini faturayı;-;scrambling  
Böylece hep birlikte arabanın çıkarılmasına yardım ettik.;Böylece hep birlikte çıkarılmasına arabanın yardım ettik.;arabanın çıkarılmasına;çıkarılmasına arabanın;-;scrambling
Ayrıca müdür yardımcısının önemli evrakları şifrelediğini öğrendik.;Ayrıca müdür yardımcısının şifrelediğini önemli evrakları öğrendik.;önemli evrakları şifrelediğini;şifrelediğini önemli evrakları;-;scrambling
Doktor çocuğun köpeğini sevmesine izin verdi.;Doktor çocuğun sevmesine köpeğini izin verdi.;köpeğini sevmesine;sevmesine köpeğini;-;scrambling  
Tüm otelde çarşafların değiştirildiğine emin olamadık.;Tüm otelde değiştirildiğine çarşafların emin olamadık.;çarşafların değiştirildiğine;değiştirildiğine çarşafların;-;scrambling
Bu adamın cüzdanını düşürdüğünü gördüm.;Bu adamın düşürdüğünü cüzdanını gördüm.;cüzdanını düşürdüğünü;düşürdüğünü cüzdanını;-;scrambling  
Yine mimarın projeyi değiştirdiğini öğrendik.;Yine mimarın değiştirdiğini projeyi öğrendik.;projeyi değiştirdiğini;değiştirdiğini projeyi;-;scrambling
Küçük çiftçilerin traktörleri sürdüğünü gördük.;Küçük çiftçilerin sürdüğünü traktörleri gördük.;traktörleri sürdüğünü;sürdüğünü traktörleri;-;scrambling
Yüksek mimarın proje için gerekli izinleri aldığını öğrendik.;Yüksek mimarın aldığını proje için gerekli izinleri öğrendik.;proje için gerekli izinleri aldığını;aldığını proje için gerekli izinleri;-;scrambling
O ufaklığın ödevlerini bitirmesine sevindim.;O ufaklığın bitirmesine ödevlerini sevindim.;ödevlerini bitirmesine;bitirmesine ödevlerini;-;scrambling  
Dün arkadaşımın arabasını sattığını öğrendim.;Dün arkadaşımın sattığını arabasını öğrendim.;arabasını sattığını;sattığını arabasını;-;scrambling  
Ancak okul müdürünün öğrencileri azarlamasına inanamadık.;Ancak okul müdürünün azarlamasına öğrencileri inanamadık.;öğrencileri azarlamasına;azarlamasına öğrencileri;-;scrambling
Sonra müdür yardımcısının evrakları imzaladığını duydum.;Sonra müdür yardımcısının imzaladığını evrakları duydum.;evrakları imzaladığını;imzaladığını evrakları;-;scrambling
Öğrenciler öğretmenin sınav sonuçlarını açıkladığını haber verdi.;Öğrenciler öğretmenin açıkladığını sınav sonuçlarını haber verdi.;sınav sonuçlarını açıkladığını;açıkladığını sınav sonuçlarını;-;scrambling
Bir öğretmenin soruları yanıtlamasını bekledik.;Bir öğretmenin yanıtlamasını soruları bekledik.;soruları yanıtlamasını;yanıtlamasını soruları;-;scrambling
Kendi kızının resim yaptığını bile bilmiyormuş.;Kendi kızının yaptığını resim bile bilmiyormuş;resim yaptığını;yaptığını resim;-;scrambling  
Bu hizmetlinin okul bahçesindeki ağaçları suladığını gördüm.;Bu hizmetlinin suladığını okul bahçesindeki ağaçları gördüm.;okul bahçesindeki ağaçları suladığını;suladığını okul bahçesindeki ağaçları;-;scrambling
Ve ufaklığın ödevlerini bitirmesine sevindim.;Ve ufaklığın bitirmesine ödevlerini sevindim.;ödevlerini bitirmesine;bitirmesine ödevlerini;-;scrambling  
Sonra arkadaşımın arabasını sattığını öğrendim.;Sonra arkadaşımın sattığını arabasını öğrendim.;arabasını sattığını;sattığını arabasını;-;scrambling  
Bütün i̇şçilerin bahçedeki ağacı budamasını izlediler.;Bütün i̇şçilerin budamasını bahçedeki ağacı izlediler.;bahçedeki ağacı budamasını;budamasını bahçedeki ağacı;-;scrambling
Adamın cep telefonunu düşürdüğünü gördüm.;Adamın düşürdüğünü cep telefonunu gördüm.;cep telefonunu düşürdüğünü;düşürdüğünü cep telefonunu;-;scrambling  
Komşumuzun çitleri boyadığını fark ettim.;Komşumuzun boyadığını çitleri fark ettim.;çitleri boyadığını;boyadığını çitleri;-;scrambling
Birçok hizmetlinin okul bahçesindeki ağaçları suladığını gördüm.;Birçok hizmetlinin suladığını okul bahçesindeki ağaçları gördüm.;okul bahçesindeki ağaçları suladığını;suladığını okul bahçesindeki ağaçları;-;scrambling
Bir arkadaşımın arabasını sattığını öğrendim.;Bir arkadaşımın sattığını arabasını öğrendim.;arabasını sattığını;sattığını arabasını;-;scrambling  
Bir komşumuzun çitleri boyadığını fark ettim.;Bir komşumuzun boyadığını çitleri fark ettim.;çitleri boyadığını;boyadığını çitleri;-;scrambling
Genel müdürün toplantıyı iptal ettiğini duyurdular.;Genel müdürün iptal ettiğini toplantıyı duyurdular.;toplantıyı iptal ettiğini;iptal ettiğini toplantıyı;-;scrambling
Kız patronu arayıp bacağını kırdığını haber verdi.;Kız patronu arayıp kırdığını bacağını haber verdi.;bacağını kırdığını;kırdığını bacağını;-;scrambling
Burada müdürün kararı açıkladığını duydum.;Burada müdürün açıkladığını kararı duydum.;kararı açıkladığını;açıkladığını kararı;-;scrambling  
Eski müdürün toplantıyı iptal ettiğini duyurdular.;Eski müdürün iptal ettiğini toplantıyı duyurdular.;toplantıyı iptal ettiğini;iptal ettiğini toplantıyı;-;scrambling
Ben adamın cep telefonunu düşürdüğünü gördüm.;Ben adamın düşürdüğünü cep telefonunu gördüm.;cep telefonunu düşürdüğünü;düşürdüğünü cep telefonunu;-;scrambling  
Bugün arkadaşımın arabasını sattığını öğrendim.;Bugün arkadaşımın sattığını arabasını öğrendim.;arabasını sattığını;sattığını arabasını;-;scrambling  
Müdürün yeni çalışma saatlerini onayladığını duyurdu.;Müdürün onayladığını yeni çalışma saatlerini duyurdu.;yeni çalışma saatlerini onayladığını;onayladığını yeni çalışma saatlerini;-;scrambling
Ancak teknisyenlerin fabrikadaki arızayı giderdiğini bildirdiler.;Ancak teknisyenlerin giderdiğini fabrikadaki arızayı bildirdiler.;fabrikadaki arızayı giderdiğini;giderdiğini fabrikadaki arızayı;-;scrambling
Böylece müşterinin hesabı kapattığını öğrendik.;Böylece müşterinin kapattığını hesabı öğrendik.;hesabı kapattığını;kapattığını hesabı;-;scrambling  
Sonra çocukların duvarı boyadığını gördüm.;Sonra çocukların boyadığını duvarı gördüm.;duvarı boyadığını;boyadığını duvarı;-;scrambling
Eski müdürün yeni kararları açıkladığını bildirdi.;Eski müdürün açıkladığını yeni kararları bildirdi.;yeni kararları açıkladığını;açıkladığını yeni kararları;-;scrambling
Küçük çiftçilerin tarlayı sulamasına yardım ettiler.;Küçük çiftçilerin sulamasına tarlayı yardım ettiler.;tarlayı sulamasına;sulamasına tarlayı;-;scrambling
Doktor kardeşimin bisikleti çaldığını itiraf etti.;Doktor kardeşimin çaldığını bisikleti itiraf etti.;bisikleti çaldığını;çaldığını bisikleti;-;scrambling  
Fakat garsonun müşterinin siparişini unuttuğunu fark ettik.;Fakat garsonun unuttuğunu müşterinin siparişini fark ettik.;müşterinin siparişini unuttuğunu;unuttuğunu müşterinin siparişini;-;scrambling
Küçük çocuğun köpeğini sevmesine izin verdi.;Küçük çocuğun sevmesine köpeğini izin verdi.;köpeğini sevmesine;sevmesine köpeğini;-;scrambling  
Bu bebeğe mamasını yedirdiğini gördük.;Bu bebeğe yedirdiğini mamasını gördük.;mamasını yedirdiğini;yedirdiğini mamasını;-;scrambling  
