good_sentence;bad_sentence;good_cue;bad_cue;critical_region;phenomenon
Ayrıca siz bu konuda çok deneyimlisiniz.;Ayrıca biz bu konuda çok deneyimlisiniz.;Siz;Biz;deneyimlisiniz;subject_verb_agreement
Sen bu işi tek başına yapabilirsin.;Siz bu işi tek başına yapabilirsin.;Sen;Siz;yapabilirsin;subject_verb_agreement
Bazı çocuklar parkta oyun oynuyorlar.;Bazı çocuk parkta oyun oynuyorlar.;Çocuklar;Çocuk;oynuyorlar;subject_verb_agreement
Çünkü siz bu konuda çok başarılısınız.;Çünkü onlar bu konuda çok başarılısınız.;Siz;Onlar;başarılısınız;subject_verb_agreement
Ford sürücüsüz arabalar trafikte test ediliyorlar.;Ford sürücüsüz araba trafikte test ediliyorlar.;Sürücüsüz arabalar;Sürücüsüz araba;ediliyorlar;subject_verb_agreement
Sanatçılar basın toplantısı için konferans salonunda toplandılar.;Sanatçı basın toplantısı için konferans salonunda toplandılar.;Sanatçılar;Sanatçı;toplandılar;subject_verb_agreement
Tüm köpekler bahçede havladılar.;Tüm köpek bahçede havladılar.;Köpekler;Köpek;havladılar;subject_verb_agreement
Tüm sanatçılar basın toplantısı için konferans salonunda toplandılar.;Tüm sanatçı basın toplantısı için konferans salonunda toplandılar.;Sanatçılar;Sanatçı;toplandılar;subject_verb_agreement
Öğrenciler projelerini zamanında teslim ettiler.;Öğrenci projelerini zamanında teslim ettiler.;Öğrenciler;Öğrenci;ettiler;subject_verb_agreement
Sonra çocuklar parkta salıncakta sallandılar.;Sonra çocuk parkta salıncakta sallandılar.;Çocuklar;Çocuk;sallandılar;subject_verb_agreement
Fakat siz bu konuda çok yanılıyorsunuz.;Fakat biz bu konuda çok yanılıyorsunuz.;Siz;Biz;yanılıyorsunuz;subject_verb_agreement
Burada öğrenciler sınav sonuçlarını bekliyorlar.;Burada öğrenci sınav sonuçlarını bekliyorlar.;Öğrenciler;Öğrenci;bekliyorlar;subject_verb_agreement
Ve o geçen ay birlikte tatile gittiğimizi herkesten saklamış.;Ve biz geçen ay birlikte tatile gittiğimizi herkesten saklamış.;O;Biz;saklamış;subject_verb_agreement
Aslında siz geçen gün de bahsettiğimiz mevzuyu çözmek için gerçekten çok uğraştınız.;Aslında biz geçen gün de bahsettiğimiz mevzuyu çözmek için gerçekten çok uğraştınız.;Siz;Biz;uğraştınız;subject_verb_agreement
Yalnız ben bu oyunu daha önce oynamadım.;Yalnız o bu oyunu daha önce oynamadım.;Ben;O;oynamadım;subject_verb_agreement
Öğretmenler toplantıda yeni kuralları açıkladılar.;Öğretmen toplantıda yeni kuralları açıkladılar.;Öğretmenler;Öğretmen;açıkladılar;subject_verb_agreement
İşte biz bu sorunu birlikte çözeceğiz.;İşte siz bu sorunu birlikte çözeceğiz.;Biz;Siz;çözeceğiz;subject_verb_agreement
Ve biz nöroplastisite araştırmalarına fon sağlıyoruz.;Ve siz nöroplastisite araştırmalarına fon sağlıyoruz.;Biz;Siz;sağlıyoruz;subject_verb_agreement
Ayrıca sağlıkçılar olay yerine hemen yetiştiler.;Ayrıca sağlıkçı olay yerine hemen yetiştiler.;Sağlıkçılar;Sağlıkçı;yetiştiler;subject_verb_agreement
Evet biz bu konuda hemfikiriz.;Evet siz bu konuda hemfikiriz.;Biz;Siz;hemfikiriz;subject_verb_agreement
Usta yazarlar yeni kitaplarını tanıttılar.;Usta yazar yeni kitaplarını tanıttılar.;Yazarlar;Yazar;tanıttılar;subject_verb_agreement
Bütün yöneticiler bu durumu görüşmek üzere toplandılar.;Bütün yönetici bu durumu görüşmek üzere toplandılar.;Yöneticiler;Yönetici;toplandılar;subject_verb_agreement
Sonra öğrenciler sınıfta sessizce oturdular.;Sonra öğrenci sınıfta sessizce oturdular.;Öğrenciler;Öğrenci;oturdular;subject_verb_agreement
Bütün köpekler bahçede havladılar.;Bütün köpek bahçede havladılar.;Köpekler;Köpek;havladılar;subject_verb_agreement
Ve o bize her zaman yardım eder.;Ve sen bize her zaman yardım eder.;O;Sen;eder;subject_verb_agreement
İngiliz fizikçiler kara delik simülasyonları yapıyorlar.;İngiliz fizikçi kara delik simülasyonları yapıyorlar.;Fizikçiler;Fizikçi;yapıyorlar;subject_verb_agreement
Genç yazarlar okurlarla buluştular.;Genç yazar okurlarla buluştular.;Yazarlar;Yazar;buluştular;subject_verb_agreement
Çünkü o bu konuda çok kararlı.;Çünkü onlar bu konuda çok kararlı.;O;Onlar;kararlı;subject_verb_agreement
Bazı balıklar akvaryumun içinde yüzüyorlar.;Bazı balık akvaryumun içinde yüzüyorlar.;Balıklar;Balık;yüzüyorlar;subject_verb_agreement
İngiliz mühendisler yeni sistemi kurmak için gece boyu çalıştılar.;İngiliz mühendis yeni sistemi kurmak için gece boyu çalıştılar.;Mühendisler;Mühendis;çalıştılar;subject_verb_agreement
Bütün öğrenciler sınav sonuçlarını bekliyorlar.;Bütün öğrenci sınav sonuçlarını bekliyorlar.;Öğrenciler;Öğrenci;bekliyorlar;subject_verb_agreement
Evet onlar dün akşam konsere gitmişler.;Evet sen dün akşam konsere gitmişler.;Onlar;Sen;gitmişler;subject_verb_agreement
Ben bu şarkıyı ezberledim.;Biz bu şarkıyı ezberledim.;Ben;Biz;ezberledim;subject_verb_agreement
Yabancı yazarlar okurlarla buluştular.;Yabancı yazar okurlarla buluştular.;Yazarlar;Yazar;buluştular;subject_verb_agreement
Tüm öğrenciler sınıfta sessizce oturdular.;Tüm öğrenci sınıfta sessizce oturdular.;Öğrenciler;Öğrenci;oturdular;subject_verb_agreement
Tüm kediler bütün gün pencerenin önünde uyudular.;Tüm kedi bütün gün pencerenin önünde uyudular.;Kediler;Kedi;uyudular;subject_verb_agreement
Ayrıca siz bu konuda çok dikkatlisiniz.;Ayrıca biz bu konuda çok dikkatlisiniz.;Siz;Biz;dikkatlisiniz;subject_verb_agreement
Beyaz köpekler bahçede havladılar.;Beyaz köpek bahçede havladılar.;Köpekler;Köpek;havladılar;subject_verb_agreement
Küçük çocuklar parkta salıncakta sallandılar.;Küçük çocuk parkta salıncakta sallandılar.;Çocuklar;Çocuk;sallandılar;subject_verb_agreement
Fakat sen bu zamana kadar yaptıklarınızı görmüşsündür.;Fakat siz bu zamana kadar yaptıklarınızı görmüşsündür.;Sen;Siz;görmüşsündür;subject_verb_agreement
Kuşlar ağaçlara konmuşlar.;Kuş ağaçlara konmuşlar.;Kuşlar;Kuş;konmuşlar;subject_verb_agreement
Küçük balıklar akvaryumda yüzüyorlar.;Küçük balık akvaryumda yüzüyorlar.;Balıklar;Balık;yüzüyorlar;subject_verb_agreement
Bu öğrenciler projelerini zamanında teslim ettiler.;Bu öğrenci projelerini zamanında teslim ettiler.;Öğrenciler;Öğrenci;ettiler;subject_verb_agreement
Ancak siz bu konuda çok deneyimlisiniz.;Ancak biz bu konuda çok deneyimlisiniz.;Siz;Biz;deneyimlisiniz;subject_verb_agreement
Diğer kediler bütün gün pencerenin önünde uyudular.;Diğer kedi bütün gün pencerenin önünde uyudular.;Kediler;Kedi;uyudular;subject_verb_agreement
Ancak biz bu konuda çok titiziz.;Ancak onlar bu konuda çok titiziz.;Biz;Onlar;titiziz;subject_verb_agreement
Öncelikle siz bu kararı tek başınıza almamalıydınız.;Öncelikle biz bu kararı tek başınıza almamalıydınız.;Siz;Biz;almamalıydınız;subject_verb_agreement
Bazı öğrenciler sınav sonuçlarını bekliyorlar.;Bazı öğrenci sınav sonuçlarını bekliyorlar.;Öğrenciler;Öğrenci;bekliyorlar;subject_verb_agreement
Ah sen ne kadar güzel resim yapıyorsun.;Ah o ne kadar güzel resim yapıyorsun.;Sen;O;yapıyorsun;subject_verb_agreement
İşte biz bu şehri çok seviyoruz.;İşte onlar bu şehri çok seviyoruz.;Biz;Onlar;seviyoruz;subject_verb_agreement
Işte biz tatilde okurum diye yanına aldığın kitabı otobüste unutmuşuz.;Işte sen tatilde okurum diye yanına aldığın kitabı otobüste unutmuşuz.;Biz;Sen;unutmuşuz;subject_verb_agreement
Ama o bu konuda çok kararlı.;Ama onlar bu konuda çok kararlı.;O;Onlar;kararlı;subject_verb_agreement
Yalnız onlar bu haberi duymuşlar.;Yalnız o bu haberi duymuşlar.;Onlar;O;duymuşlar;subject_verb_agreement
Genç askerler gece nöbet tutuyorlar.;Genç asker gece nöbet tutuyorlar.;Askerler;Asker;tutuyorlar;subject_verb_agreement
Merhaba ben yapay zeka etiği üzerine ders veriyorum.;Merhaba onlar yapay zeka etiği üzerine ders veriyorum.;Ben;Onlar;veriyorum;subject_verb_agreement
Arkadaşlar ben yarın İstanbul'a gideceğim.;Arkadaşlar biz yarın İstanbul'a gideceğim.;Ben;Biz;gideceğim;subject_verb_agreement
Ve o bu projeye çok emek verdi.;Ve sen bu projeye çok emek verdi.;O;Sen;verdi;subject_verb_agreement
Fakat o bize her zaman destek oldu.;Fakat onlar bize her zaman destek oldu.;O;Onlar;oldu;subject_verb_agreement
Yani biz bu projeyi tamamladık.;Yani siz bu projeyi tamamladık.;Biz;Siz;tamamladık;subject_verb_agreement
Peki sen ne kadar güzel resim yapıyorsun.;Peki o ne kadar güzel resim yapıyorsun.;Sen;O;yapıyorsun;subject_verb_agreement
Alman fizikçiler kara delik simülasyonları yapıyorlar.;Alman fizikçi kara delik simülasyonları yapıyorlar.;Fizikçiler;Fizikçi;yapıyorlar;subject_verb_agreement
Biz yarınki maç için antrenman yapacağız.;Onlar yarınki maç için antrenman yapacağız.;Biz;Onlar;yapacağız;subject_verb_agreement
Şimdi fizikçiler kara delik simülasyonları yapıyorlar.;Şimdi fizikçi kara delik simülasyonları yapıyorlar.;Fizikçiler;Fizikçi;yapıyorlar;subject_verb_agreement
Doktor doktorlar hastayı muayene ettiler.;Doktor doktor hastayı muayene ettiler.;Doktorlar;Doktor;ettiler;subject_verb_agreement
Yani ben bu filmi izledim.;Yani biz bu filmi izledim.;Ben;Biz;izledim;subject_verb_agreement
Japon biyokimyacılar yapay enzimler üretiyorlar.;Japon biyokimyacı yapay enzimler üretiyorlar.;Biyokimyacılar;Biyokimyacı;üretiyorlar;subject_verb_agreement
Ama biz bu şehri çok seviyoruz.;Ama onlar bu şehri çok seviyoruz.;Biz;Onlar;seviyoruz;subject_verb_agreement
Tüm askerler gece nöbet tutuyorlar.;Tüm asker gece nöbet tutuyorlar.;Askerler;Asker;tutuyorlar;subject_verb_agreement
Köpekler bahçede uyuyorlar.;Köpek bahçede uyuyorlar.;Köpekler;Köpek;uyuyorlar;subject_verb_agreement
Şimdi sen bu evi tek başına temizlemişsin.;Şimdi o bu evi tek başına temizlemişsin.;Sen;O;temizlemişsin;subject_verb_agreement
Sen bu evi tek başına temizlemişsin.;O bu evi tek başına temizlemişsin.;Sen;O;temizlemişsin;subject_verb_agreement
Ünlü doktorlar hastayı muayene ettiler.;Ünlü doktor hastayı muayene ettiler.;Doktorlar;Doktor;ettiler;subject_verb_agreement
Kırmızı kuşlar ağaçlara konmuşlar.;Kırmızı kuş ağaçlara konmuşlar.;Kuşlar;Kuş;konmuşlar;subject_verb_agreement
Ya biz tatilde okurum diye yanına aldığın kitabı otobüste unutmuşuz.;Ya sen tatilde okurum diye yanına aldığın kitabı otobüste unutmuşuz.;Biz;Sen;unutmuşuz;subject_verb_agreement
Çünkü ben bu konuda hiçbir şey bilmiyorum.;Çünkü biz bu konuda hiçbir şey bilmiyorum.;Ben;Biz;bilmiyorum;subject_verb_agreement
Yeni yazarlar okurlarla buluştular.;Yeni yazar okurlarla buluştular.;Yazarlar;Yazar;buluştular;subject_verb_agreement
Yani ben yapay zeka etiği üzerine ders veriyorum.;Yani onlar yapay zeka etiği üzerine ders veriyorum.;Ben;Onlar;veriyorum;subject_verb_agreement
Diğer öğrenciler sınıfta sessizce oturdular.;Diğer öğrenci sınıfta sessizce oturdular.;Öğrenciler;Öğrenci;oturdular;subject_verb_agreement
Ama sen bu konuda herkesten daha bilgilisin.;Ama siz bu konuda herkesten daha bilgilisin.;Sen;Siz;bilgilisin;subject_verb_agreement
Ancak o geçen ay birlikte tatile gittiğimizi herkesten saklamış.;Ancak biz geçen ay birlikte tatile gittiğimizi herkesten saklamış.;O;Biz;saklamış;subject_verb_agreement
Ve biz bu sorunu daha önce çözdük.;Ve siz bu sorunu daha önce çözdük.;Biz;Siz;çözdük;subject_verb_agreement
Ünlü biyokimyacılar yapay enzimler üretiyorlar.;Ünlü biyokimyacı yapay enzimler üretiyorlar.;Biyokimyacılar;Biyokimyacı;üretiyorlar;subject_verb_agreement
Onlar bu sefer hiç zorlanmadılar.;O bu sefer hiç zorlanmadılar.;Onlar;O;zorlanmadılar;subject_verb_agreement
İşte biz bu kararı onayladık.;İşte siz bu kararı onayladık.;Biz;Siz;onayladık;subject_verb_agreement
Ancak doktorlar bu şartta çalışmak zorunda değiller.;Ancak doktor bu şartta çalışmak zorunda değiller.;Doktorlar;Doktor;değiller;subject_verb_agreement
Ve kuşlar ağacın dallarına konmuşlar.;Ve kuş ağacın dallarına konmuşlar.;Kuşlar;Kuş;konmuşlar;subject_verb_agreement
Yani sen bu konuda herkesten daha bilgilisin.;Yani siz bu konuda herkesten daha bilgilisin.;Sen;Siz;bilgilisin;subject_verb_agreement
Çünkü sen her zaman bize doğruyu söylersin.;Çünkü o her zaman bize doğruyu söylersin.;Sen;O;söylersin;subject_verb_agreement
Ve biz bu şehri keşfettik.;Ve onlar bu şehri keşfettik.;Biz;Onlar;keşfettik;subject_verb_agreement
Bütün askerler nöbet değiştirdiler.;Bütün asker nöbet değiştirdiler.;Askerler;Asker;değiştirdiler;subject_verb_agreement
Ama biz bu şehre taşındık.;Ama onlar bu şehre taşındık.;Biz;Onlar;taşındık;subject_verb_agreement
Artık o bize her zaman yardım eder.;Artık sen bize her zaman yardım eder.;O;Sen;eder;subject_verb_agreement
Küçük kuşlar gökyüzünde uçuyorlar.;Küçük kuş gökyüzünde uçuyorlar.;Kuşlar;Kuş;uçuyorlar;subject_verb_agreement
Kuşlar gökyüzünde uçuyorlar.;Kuş gökyüzünde uçuyorlar.;Kuşlar;Kuş;uçuyorlar;subject_verb_agreement
Evet biz bu kararı birlikte aldık.;Evet siz bu kararı birlikte aldık.;Biz;Siz;aldık;subject_verb_agreement
Ama siz bu konuda çok dikkatlisiniz.;Ama biz bu konuda çok dikkatlisiniz.;Siz;Biz;dikkatlisiniz;subject_verb_agreement
Bütün arılar çiçeklerin etrafında uçuşuyorlar.;Bütün arı çiçeklerin etrafında uçuşuyorlar.;Arılar;Arı;uçuşuyorlar;subject_verb_agreement
Küçük çocuklar parkta oyun oynuyorlar.;Küçük çocuk parkta oyun oynuyorlar.;Çocuklar;Çocuk;oynuyorlar;subject_verb_agreement
Hatta biz tatilde okurum diye yanına aldığın kitabı otobüste unutmuşuz.;Hatta sen tatilde okurum diye yanına aldığın kitabı otobüste unutmuşuz.;Biz;Sen;unutmuşuz;subject_verb_agreement
Ardından sanatçılar basın toplantısı için konferans salonunda toplandılar.;Ardından sanatçı basın toplantısı için konferans salonunda toplandılar.;Sanatçılar;Sanatçı;toplandılar;subject_verb_agreement
Artık biyokimyacılar yapay enzimler üretiyorlar.;Artık biyokimyacı yapay enzimler üretiyorlar.;Biyokimyacılar;Biyokimyacı;üretiyorlar;subject_verb_agreement
Bu köpekler bahçede uyuyorlar.;Bu köpek bahçede uyuyorlar.;Köpekler;Köpek;uyuyorlar;subject_verb_agreement
Yabancı yazarlar kitap fuarında imza dağıttılar.;Yabancı yazar kitap fuarında imza dağıttılar.;Yazarlar;Yazar;dağıttılar;subject_verb_agreement
Ancak biz bu sorunu daha önce çözdük.;Ancak siz bu sorunu daha önce çözdük.;Biz;Siz;çözdük;subject_verb_agreement
Bütün kuşlar ağaçlara konmuşlar.;Bütün kuş ağaçlara konmuşlar.;Kuşlar;Kuş;konmuşlar;subject_verb_agreement
Alman biyokimyacılar yapay enzimler üretiyorlar.;Alman biyokimyacı yapay enzimler üretiyorlar.;Biyokimyacılar;Biyokimyacı;üretiyorlar;subject_verb_agreement
Hemen sağlıkçılar olay yerine hemen yetiştiler.;Hemen sağlıkçı olay yerine hemen yetiştiler.;Sağlıkçılar;Sağlıkçı;yetiştiler;subject_verb_agreement
Ayrıca ben yapay zeka etiği üzerine ders veriyorum.;Ayrıca onlar yapay zeka etiği üzerine ders veriyorum.;Ben;Onlar;veriyorum;subject_verb_agreement
Teknik öğretmenler toplantıda yeni kuralları açıkladılar.;Teknik öğretmen toplantıda yeni kuralları açıkladılar.;Öğretmenler;Öğretmen;açıkladılar;subject_verb_agreement
Ayrıca siz bu konuda haksızsınız.;Ayrıca onlar bu konuda haksızsınız.;Siz;Onlar;haksızsınız;subject_verb_agreement
Belki sen bu zamana kadar yaptıklarınızı görmüşsündür.;Belki siz bu zamana kadar yaptıklarınızı görmüşsündür.;Sen;Siz;görmüşsündür;subject_verb_agreement
Tüm garsonlar masaları hızla temizlediler.;Tüm garson masaları hızla temizlediler.;Garsonlar;Garson;temizlediler;subject_verb_agreement
Valla ben bu şarkıyı ezberledim.;Valla biz bu şarkıyı ezberledim.;Ben;Biz;ezberledim;subject_verb_agreement
Ve sen bu konuda herkesten daha bilgilisin.;Ve siz bu konuda herkesten daha bilgilisin.;Sen;Siz;bilgilisin;subject_verb_agreement
Bugün biyokimyacılar yapay enzimler üretiyorlar.;Bugün biyokimyacı yapay enzimler üretiyorlar.;Biyokimyacılar;Biyokimyacı;üretiyorlar;subject_verb_agreement
Ama sen ne kadar güzel resim yapıyorsun.;Ama o ne kadar güzel resim yapıyorsun.;Sen;O;yapıyorsun;subject_verb_agreement
Uzman sağlıkçılar olay yerine hemen yetiştiler.;Uzman sağlıkçı olay yerine hemen yetiştiler.;Sağlıkçılar;Sağlıkçı;yetiştiler;subject_verb_agreement
Alan öğrenciler projelerini zamanında teslim ettiler.;Alan öğrenci projelerini zamanında teslim ettiler.;Öğrenciler;Öğrenci;ettiler;subject_verb_agreement
Bazı askerler nöbet tutuyorlar.;Bazı asker nöbet tutuyorlar.;Askerler;Asker;tutuyorlar;subject_verb_agreement
Evet sen bu evi tek başına temizlemişsin.;Evet o bu evi tek başına temizlemişsin.;Sen;O;temizlemişsin;subject_verb_agreement
Bütün doktorlar bu şartta çalışmak zorunda değiller.;Bütün doktor bu şartta çalışmak zorunda değiller.;Doktorlar;Doktor;değiller;subject_verb_agreement
Ayrıca biz bu filmi daha önce izlemiştik.;Ayrıca onlar bu filmi daha önce izlemiştik.;Biz;Onlar;izlemiştik;subject_verb_agreement
Şimdi o bu konuda çok kararlı.;Şimdi onlar bu konuda çok kararlı.;O;Onlar;kararlı;subject_verb_agreement
Bazı eleştirmenler beğenmedikleri mekanları zaten not etmişlerdi.;Bazı eleştirmen beğenmedikleri mekanları zaten not etmişlerdi.;Onlar;O;etmişlerdi;subject_verb_agreement
Ve siz bu konuda çok yeteneklisiniz.;Ve onlar bu konuda çok yeteneklisiniz.;Siz;Onlar;yeteneklisiniz;subject_verb_agreement
Ben yarın İstanbul'a gideceğim.;Biz yarın İstanbul'a gideceğim.;Ben;Biz;gideceğim;subject_verb_agreement
Bazı çocuklar bahçede top oynuyorlar.;Bazı çocuk bahçede top oynuyorlar.;Çocuklar;Çocuk;oynuyorlar;subject_verb_agreement
Küçük balıklar akvaryumun içinde yüzüyorlar.;Küçük balık akvaryumun içinde yüzüyorlar.;Balıklar;Balık;yüzüyorlar;subject_verb_agreement
Kuşlar ağacın dallarına konmuşlar.;Kuş ağacın dallarına konmuşlar.;Kuşlar;Kuş;konmuşlar;subject_verb_agreement
Bütün köpekler bahçede uyuyorlar.;Bütün köpek bahçede uyuyorlar.;Köpekler;Köpek;uyuyorlar;subject_verb_agreement
Ve garsonlar masaları hızla temizlediler.;Ve garson masaları hızla temizlediler.;Garsonlar;Garson;temizlediler;subject_verb_agreement
Bugün biz bu projeyi bitirdik.;Bugün siz bu projeyi bitirdik.;Biz;Siz;bitirdik;subject_verb_agreement
Çünkü biz bu konuda çok titiziz.;Çünkü onlar bu konuda çok titiziz.;Biz;Onlar;titiziz;subject_verb_agreement
Çünkü biz bu kararı birlikte aldık.;Çünkü siz bu kararı birlikte aldık.;Biz;Siz;aldık;subject_verb_agreement
İngiliz biyomühendisler sentetik organ üretiyorlar.;İngiliz biyomühendis sentetik organ üretiyorlar.;Biyomühendisler;Biyomühendis;üretiyorlar;subject_verb_agreement
Küçük balıklar akvaryumda yüzüyorlar.;Küçük balık akvaryumda yüzüyorlar.;Balıklar;Balık;yüzüyorlar;subject_verb_agreement
Bu kediler bütün gün pencerenin önünde uyudular.;Bu kedi bütün gün pencerenin önünde uyudular.;Kediler;Kedi;uyudular;subject_verb_agreement
Bazı kuşlar ağacın dallarına konmuşlar.;Bazı kuş ağacın dallarına konmuşlar.;Kuşlar;Kuş;konmuşlar;subject_verb_agreement
Ve o bize her zaman destek oldu.;Ve onlar bize her zaman destek oldu.;O;Onlar;oldu;subject_verb_agreement
Bugün ben bu problemi çözdüm.;Bugün o bu problemi çözdüm.;Ben;O;çözdüm;subject_verb_agreement
Ama biz bu sorunu daha önce çözdük.;Ama siz bu sorunu daha önce çözdük.;Biz;Siz;çözdük;subject_verb_agreement
Çünkü siz bu kararı tek başınıza almamalıydınız.;Çünkü biz bu kararı tek başınıza almamalıydınız.;Siz;Biz;almamalıydınız;subject_verb_agreement
Ancak onlar dün akşam konsere gitmişler.;Ancak sen dün akşam konsere gitmişler.;Onlar;Sen;gitmişler;subject_verb_agreement
Evet ben artık gitmediğimiz yer kalmayınca aramayı bıraktım.;Evet biz artık gitmediğimiz yer kalmayınca aramayı bıraktım.;Ben;Biz;bıraktım;subject_verb_agreement
Ama siz bu konuda çok deneyimlisiniz.;Ama biz bu konuda çok deneyimlisiniz.;Siz;Biz;deneyimlisiniz;subject_verb_agreement
Sadece sen bu haberi duymuş olmalısın.;Sadece siz bu haberi duymuş olmalısın.;Sen;Siz;olmalısın;subject_verb_agreement
Büyük çocuklar bahçede top oynuyorlar.;Büyük çocuk bahçede top oynuyorlar.;Çocuklar;Çocuk;oynuyorlar;subject_verb_agreement
Büyük balıklar akvaryumun içinde yüzüyorlar.;Büyük balık akvaryumun içinde yüzüyorlar.;Balıklar;Balık;yüzüyorlar;subject_verb_agreement
İşte o bu projeye çok emek verdi.;İşte sen bu projeye çok emek verdi.;O;Sen;verdi;subject_verb_agreement
Sen ne kadar güzel resim yapıyorsun.;O ne kadar güzel resim yapıyorsun.;Sen;O;yapıyorsun;subject_verb_agreement
Çünkü sen bu konuda herkesten daha bilgilisin.;Çünkü siz bu konuda herkesten daha bilgilisin.;Sen;Siz;bilgilisin;subject_verb_agreement
Küçük köpekler bahçede kemikleri kemiriyorlar.;Küçük köpek bahçede kemikleri kemiriyorlar.;Köpekler;Köpek;kemiriyorlar;subject_verb_agreement
Burada i̇tfaiyeciler yangını söndürmek için gece boyu çalıştılar.;Burada i̇tfaiyeci yangını söndürmek için gece boyu çalıştılar.;İtfaiyeciler;İtfaiyeci;çalıştılar;subject_verb_agreement
Ve onlar bu sefer hiç zorlanmadılar.;Ve o bu sefer hiç zorlanmadılar.;Onlar;O;zorlanmadılar;subject_verb_agreement
Çocuklar parkta oyun oynuyorlar.;Çocuk parkta oyun oynuyorlar.;Çocuklar;Çocuk;oynuyorlar;subject_verb_agreement
Uzman yazarlar kitap fuarında imza dağıttılar.;Uzman yazar kitap fuarında imza dağıttılar.;Yazarlar;Yazar;dağıttılar;subject_verb_agreement
Sen her zaman bize doğruyu söylersin.;O her zaman bize doğruyu söylersin.;Sen;O;söylersin;subject_verb_agreement
Ama onlar bu sefer hiç zorlanmadılar.;Ama o bu sefer hiç zorlanmadılar.;Onlar;O;zorlanmadılar;subject_verb_agreement
Artık biz bu sorunu birlikte çözeceğiz.;Artık siz bu sorunu birlikte çözeceğiz.;Biz;Siz;çözeceğiz;subject_verb_agreement
Ayrıca siz bu konuda çok sabırsızsınız.;Ayrıca biz bu konuda çok sabırsızsınız.;Siz;Biz;sabırsızsınız;subject_verb_agreement
Uzman öğrenciler projelerini zamanında teslim ettiler.;Uzman öğrenci projelerini zamanında teslim ettiler.;Öğrenciler;Öğrenci;ettiler;subject_verb_agreement
Kırmızı balıklar akvaryumda yüzüyorlar.;Kırmızı balık akvaryumda yüzüyorlar.;Balıklar;Balık;yüzüyorlar;subject_verb_agreement
Türk biyokimyacılar yapay enzimler üretiyorlar.;Türk biyokimyacı yapay enzimler üretiyorlar.;Biyokimyacılar;Biyokimyacı;üretiyorlar;subject_verb_agreement
Tüm balıklar akvaryumun içinde yüzüyorlar.;Tüm balık akvaryumun içinde yüzüyorlar.;Balıklar;Balık;yüzüyorlar;subject_verb_agreement
Evet ben bu konuda hiçbir şey bilmiyorum.;Evet biz bu konuda hiçbir şey bilmiyorum.;Ben;Biz;bilmiyorum;subject_verb_agreement
Fakat ben bu oyunu daha önce oynamadım.;Fakat o bu oyunu daha önce oynamadım.;Ben;O;oynamadım;subject_verb_agreement
Ardından çocuklar parkta salıncakta sallandılar.;Ardından çocuk parkta salıncakta sallandılar.;Çocuklar;Çocuk;sallandılar;subject_verb_agreement
