good_sentence;bad_sentence;good_cue;bad_cue;critical_region;phenomenon
Şirketin yatırım kararlarını hızla almasına çoğu çalışan şaşırdı.;Şirketin yatırım kararlarını hızla aldığına çoğu çalışan şaşırdı.;almasına;aldığına;şaşırdı;nominalization
Ancak bu kadar yoğun çalışmasına rağmen işlerini aksatmaması takdir edildi.;Ancak bu kadar yoğun çalışmasına rağmen işlerini aksatmadığı takdir edildi.;aksatmaması;aksatmadığı;takdir edildi;nominalization
Ben bu meseleyi enine boyuna değerlendirdiğini sanıyorum.;Ben bu meseleyi enine boyuna değerlendirmesini sanıyorum.;değerlendirdiğini;değerlendirmesini;sanıyorum;nominalization
Yeni kararların işleyişi nasıl değiştirdiğini henüz kestiremiyoruz.;Yeni kararların işleyişi nasıl değiştirmesini henüz kestiremiyoruz.;değiştirdiğini;değiştirmesini;kestiremiyoruz;nominalization
Okul kitapları zamanında teslim ettiğini iddia etti.;Okul kitapları zamanında teslim etmesini iddia etti.;ettiğini;etmesini;iddia etti;nominalization
Ayrıca yeni kararların işleyişi nasıl değiştirdiğini henüz kestiremiyoruz.;Ayrıca yeni kararların işleyişi nasıl değiştirmesini henüz kestiremiyoruz.;değiştirdiğini;değiştirmesini;kestiremiyoruz;nominalization
Söylediklerimizin yanlış anlaşıldığını fark ettik.;Söylediklerimizin yanlış anlaşılmasını fark ettik.;anlaşıldığını;anlaşılmasını;fark ettik;nominalization
Fakat geçen haftaki ilana başvurmadığıma fena pişman oldum.;Fakat geçen haftaki ilana başvurmamama fena pişman oldum.;başvurmadığıma;başvurmamama;pişman oldum;nominalization
Bazı meyvelerin erken olgunlaşmasına sıcak havalar sebep oldu.;Bazı meyvelerin erken olgunlaştığına sıcak havalar sebep oldu.;olgunlaşmasına;olgunlaştığına;sebep oldu;nominalization
Her otelde çarşafların değiştirildiğine bile emin olamadık.;Her otelde çarşafların değiştirilmesine bile emin olamadık.;değiştirildiğine;değiştirilmesine;emin olamadık;nominalization
Ve bu kararın doğru olduğunu herkes kabul etti.;Ve bu kararın doğru olmasını herkes kabul etti.;olduğunu;olmasını;kabul etti;nominalization
Bakan yeni düzenlemelerin işleri kolaylaştırdığını belirtti.;Bakan yeni düzenlemelerin işleri kolaylaştırmasını belirtti.;kolaylaştırdığını;kolaylaştırmasını;belirtti;nominalization
Bu konunun yeterince açık olduğunu düşünüyorum.;Bu konunun yeterince açık olmasını düşünüyorum.;olduğunu;olmasını;düşünüyorum;nominalization
Hatta otelde çarşafların değiştirildiğine bile emin olamadık.;Hatta otelde çarşafların değiştirilmesine bile emin olamadık.;değiştirildiğine;değiştirilmesine;emin olamadık;nominalization
Ve çalışmalarının sonunda başarılı olduğunu belirtti.;Ve çalışmalarının sonunda başarılı olmasını belirtti.;olduğunu;olmasını;belirtti;nominalization
Artık yeni kuralların herkes tarafından kabul edilmesini bekliyoruz.;Artık yeni kuralların herkes tarafından kabul edildiğini bekliyoruz.;edilmesini;edildiğini;bekliyoruz;nominalization
Bu ürünün piyasada büyük ilgi gördüğünü ifade etti.;Bu ürünün piyasada büyük ilgi görmesini ifade etti.;gördüğünü;görmesini;ifade etti;nominalization
Aslında bu konunun yeterince tartışıldığını düşünüyorum.;Aslında bu konunun yeterince tartışılmasını düşünüyorum.;tartışıldığını;tartışılmasını;düşünüyorum;nominalization
Teklifin mantıklı göründüğünü söyledi.;Teklifin mantıklı görünmesini söyledi.;göründüğünü;görünmesini;söyledi;nominalization
Anne kardeşinin bu kadar sorumsuz davranmasına epey kızdı.;Anne kardeşinin bu kadar sorumsuz davrandığına epey kızdı.;davranmasına;davrandığına;kızdı;nominalization
Ancak müdürün bu öneriyi desteklemesini bekliyorduk.;Ancak müdürün bu öneriyi desteklediğini bekliyorduk.;desteklemesini;desteklediğini;bekliyorduk;nominalization
Öğretmen mesai bitmeden arayıp raporun zamanında teslim edildiğine emin oldu.;Öğretmen mesai bitmeden arayıp raporun zamanında teslim edilmesine emin oldu.;edildiğine;edilmesine;emin oldu;nominalization
Bütün trafik kurallarına uyulması gerektiğini düşünüyorum.;Bütün trafik kurallarına uyulması gerekmesini düşünüyorum.;gerektiğini;gerekmesini;düşünüyorum;nominalization
Artık komitenin önerilen değişiklikleri onaylamasını bekliyorduk.;Artık komitenin önerilen değişiklikleri onayladığını bekliyorduk.;onaylamasını;onayladığını;bekliyorduk;nominalization
Önerinin herkes tarafından desteklendiğini biliyorum.;Önerinin herkes tarafından desteklenmesini biliyorum.;desteklendiğini;desteklenmesini;biliyorum;nominalization
Yeni yönetimin alınan kararları gözden geçirmesini talep ettik.;Yeni yönetimin alınan kararları gözden geçirdiğini talep ettik.;geçirmesini;geçirdiğini;talep ettik;nominalization
Sonra çocukların dışarıda oynamasını uzaktan izledik.;Sonra çocukların dışarıda oynadığını uzaktan izledik.;oynamasını;oynadığını;izledik;nominalization
Bu meseleyi enine boyuna değerlendirdiğini sanıyorum.;Bu meseleyi enine boyuna değerlendirmesini sanıyorum.;değerlendirdiğini;değerlendirmesini;sanıyorum;nominalization
Konunun ayrıntılı bir şekilde tartışılmasını öneriyorum.;Konunun ayrıntılı bir şekilde tartışıldığını öneriyorum.;tartışılmasını;tartışıldığını;öneriyorum;nominalization
Ama bu konuyu enine boyuna düşündüğünü biliyorum.;Ama bu konuyu enine boyuna düşünmesini biliyorum.;düşündüğünü;düşünmesini;biliyorum;nominalization
Burada çamura saplanan arabanın çıkarılmasına hep birlikte yardım ettik.;Burada çamura saplanan arabanın çıkarıldığına hep birlikte yardım ettik.;çıkarılmasına;çıkarıldığına;yardım ettik;nominalization
Şu kiralık dairenin dün satıldığını yeni öğrendim.;Şu kiralık dairenin dün satılmasını yeni öğrendim.;satıldığını;satılmasını;öğrendim;nominalization
4 havayolu şirketinin uçuşların güvenli olduğunu belirtti.;4 havayolu şirketinin uçuşların güvenli olmasını belirtti.;olduğunu;olmasını;belirtti;nominalization
Ve söylediklerimizin yanlış anlaşıldığını fark ettik.;Ve söylediklerimizin yanlış anlaşılmasını fark ettik.;anlaşıldığını;anlaşılmasını;fark ettik;nominalization
Yeni şirketin yatırım kararlarını hızla almasına çoğu çalışan şaşırdı.;Yeni şirketin yatırım kararlarını hızla aldığına çoğu çalışan şaşırdı.;almasına;aldığına;şaşırdı;nominalization
Ayrıca katılımcıların geri bildirim vermesini önemsiyoruz.;Ayrıca katılımcıların geri bildirim verdiğini önemsiyoruz.;vermesini;verdiğini;önemsiyoruz;nominalization
Tüm planın kusursuz işlediğini sanıyorduk.;Tüm planın kusursuz işlemesini sanıyorduk.;işlediğini;işlemesini;sanıyorduk;nominalization
Genel müdürün bu öneriyi desteklemesini bekliyorduk.;Genel müdürün bu öneriyi desteklediğini bekliyorduk.;desteklemesini;desteklediğini;bekliyorduk;nominalization
Aslında konunun ayrıntılı bir şekilde tartışılmasını öneriyorum.;Aslında konunun ayrıntılı bir şekilde tartışıldığını öneriyorum.;tartışılmasını;tartışıldığını;öneriyorum;nominalization
Yazar kendisinin de bu yollardan geçtiğini bize her fırsatta hatırlatır.;Yazar kendisinin de bu yollardan geçmesini bize her fırsatta hatırlatır.;geçtiğini;geçmesini;hatırlatır;nominalization
Tüm meyvelerin erken olgunlaşmasına sıcak havalar sebep oldu.;Tüm meyvelerin erken olgunlaştığına sıcak havalar sebep oldu.;olgunlaşmasına;olgunlaştığına;sebep oldu;nominalization
Kız kardeşinin doğruyu söylediğine canı gönülden inanıyor.;Kız kardeşinin doğruyu söylemesine canı gönülden inanıyor.;söylediğine;söylemesine;inanıyor;nominalization
Fakat yeni kararların işleyişi nasıl değiştirdiğini henüz kestiremiyoruz.;Fakat yeni kararların işleyişi nasıl değiştirmesini henüz kestiremiyoruz.;değiştirdiğini;değiştirmesini;kestiremiyoruz;nominalization
Dizinin aslında komedi türünde olduğunu bile rahatlıkla iddia edebiliriz.;Dizinin aslında komedi türünde olmasını bile rahatlıkla iddia edebiliriz.;olduğunu;olmasını;iddia edebiliriz;nominalization
Bu projeye büyük katkı sağladığını belirtti.;Bu projeye büyük katkı sağlamasını belirtti.;sağladığını;sağlamasını;belirtti;nominalization
Öğrenciler ev sahibinin dairenin temiz olduğunu belirtti.;Öğrenciler ev sahibinin dairenin temiz olmasını belirtti.;olduğunu;olmasını;belirtti;nominalization
Tüm katılımcıların geri bildirim vermesini önemsiyoruz.;Tüm katılımcıların geri bildirim verdiğini önemsiyoruz.;vermesini;verdiğini;önemsiyoruz;nominalization
Ancak polisler çevredekilerin olay yerine yaklaşmasını bile engellemiş.;Ancak polisler çevredekilerin olay yerine yaklaştığını bile engellemiş.;yaklaşmasını;yaklaştığını;engellemiş;nominalization
5 havayolu şirketinin uçuşların güvenli olduğunu belirtti.;5 havayolu şirketinin uçuşların güvenli olmasını belirtti.;olduğunu;olmasını;belirtti;nominalization
Artık yeni ürünün piyasaya sürülmesini heyecanla bekliyoruz.;Artık yeni ürünün piyasaya sürüldüğünü heyecanla bekliyoruz.;sürülmesini;sürüldüğünü;bekliyoruz;nominalization
Erdoğan i̇ş görüşmesinin oldukça başarılı geçtiğini ifade etti.;Erdoğan i̇ş görüşmesinin oldukça başarılı geçmesini ifade etti.;geçtiğini;geçmesini;ifade etti;nominalization
Öncelikle öğrencilerin derse teşrif etmesini bekliyoruz.;Öncelikle öğrencilerin derse teşrif ettiğini bekliyoruz.;etmesini;ettiğini;bekliyoruz;nominalization
Ayrıca yeni kuralların herkes tarafından kabul edilmesini bekliyoruz.;Ayrıca yeni kuralların herkes tarafından kabul edildiğini bekliyoruz.;edilmesini;edildiğini;bekliyoruz;nominalization
Ayrıca kiralık dairenin dün satıldığını yeni öğrendim.;Ayrıca kiralık dairenin dün satılmasını yeni öğrendim.;satıldığını;satılmasını;öğrendim;nominalization
Ayrıca moderatörler konuşmacının tekrar söz almasına bir türlü fırsat vermedi.;Ayrıca moderatörler konuşmacının tekrar söz aldığına bir türlü fırsat vermedi.;söz almasına;söz aldığına;fırsat vermedi;nominalization
Fakat tartışmanın daha fazla uzamasını istemiyoruz.;Fakat tartışmanın daha fazla uzadığını istemiyoruz.;uzamasını;uzadığını;istemiyoruz;nominalization
Planın kusursuz işlediğini sanıyorduk.;Planın kusursuz işlemesini sanıyorduk.;işlediğini;işlemesini;sanıyorduk;nominalization
Bakan yeni kuralların herkesi bağladığını belirtti.;Bakan yeni kuralların herkesi bağlamasını belirtti.;bağladığını;bağlamasını;belirtti;nominalization
Saatlerin geri alınmasına hemen adapte olduk.;Saatlerin geri alındığına hemen adapte olduk.;alınmasına;alındığına;adapte olduk;nominalization
Ancak şirketin yatırım kararlarını hızla almasına çoğu çalışan şaşırdı.;Ancak şirketin yatırım kararlarını hızla aldığına çoğu çalışan şaşırdı.;almasına;aldığına;şaşırdı;nominalization
Her projeye yeni bir boyut kazandırılmasına ekip lideri çok önem verdi.;Her projeye yeni bir boyut kazandırıldığına ekip lideri çok önem verdi.;kazandırılmasına;kazandırıldığına;önem verdi;nominalization
Adam cüzdanını takside unuttuğunu iş işten geçince fark etti.;Adam cüzdanını takside unutmasını iş işten geçince fark etti.;unuttuğunu;unutmasını;fark etti;nominalization
Ayrıca evini kesinlikle satmadığını zaten biliyorum.;Ayrıca evini kesinlikle satmamasını zaten biliyorum.;satmadığını;satmamasını;biliyorum;nominalization
Ayrıca öğrencilerin projelerini zamanında teslim etmesini istiyoruz.;Ayrıca öğrencilerin projelerini zamanında teslim ettiğini istiyoruz.;etmesini;ettiğini;istiyoruz;nominalization
Sonra kapıya gelen işportacının kendisini dolandırıldığını çok geç anladı.;Sonra kapıya gelen işportacının kendisini dolandırmasını çok geç anladı.;dolandırıldığını;dolandırmasını;anladı;nominalization
Ve toplantının geç saatlere kadar sürmesine katılımcılar itiraz etti.;Ve toplantının geç saatlere kadar sürdüğüne katılımcılar itiraz etti.;sürmesine;sürdüğüne;itiraz etti;nominalization
Özellikle toplantının geç saatlere kadar sürmesine katılımcılar itiraz etti.;Özellikle toplantının geç saatlere kadar sürdüğüne katılımcılar itiraz etti.;sürmesine;sürdüğüne;itiraz etti;nominalization
İngilizce serviste yavaş kaldığını o da kabul ediyor.;İngilizce serviste yavaş kalmasını o da kabul ediyor.;kaldığını;kalmasını;kabul ediyor;nominalization
Kendi haklarınızın gasp edilmesine asla müsaade etmeyiz.;Kendi haklarınızın gasp edildiğine asla müsaade etmeyiz.;gasp edilmesine;gasp edildiğine;müsaade etmeyiz;nominalization
Ama tartışmanın daha fazla uzamasını istemiyoruz.;Ama tartışmanın daha fazla uzadığını istemiyoruz.;uzamasını;uzadığını;istemiyoruz;nominalization
Genel müdürün herkesin fikrini almasına çalışanlar çok şaşırdı.;Genel müdürün herkesin fikrini aldığına çalışanlar çok şaşırdı.;almasına;aldığına;şaşırdı;nominalization
Başbakan yeni kuralların herkesi bağladığını belirtti.;Başbakan yeni kuralların herkesi bağlamasını belirtti.;bağladığını;bağlamasını;belirtti;nominalization
Ancak müdürün herkesin fikrini almasına çalışanlar çok şaşırdı.;Ancak müdürün herkesin fikrini aldığına çalışanlar çok şaşırdı.;almasına;aldığına;şaşırdı;nominalization
Ancak tartışmanın daha fazla uzamasını istemiyoruz.;Ancak tartışmanın daha fazla uzadığını istemiyoruz.;uzamasını;uzadığını;istemiyoruz;nominalization
Yabancı misafirlerin restorandan memnun ayrıldığını öğrendik.;Yabancı misafirlerin restorandan memnun ayrılmasını öğrendik.;ayrıldığını;ayrılmasını;öğrendik;nominalization
Arkadaşlar konunun yeterince açık olduğunu düşünüyorum.;Arkadaşlar konunun yeterince açık olmasını düşünüyorum.;olduğunu;olmasını;düşünüyorum;nominalization
Ekonomik haklarınızın gasp edilmesine asla müsaade etmeyiz.;Ekonomik haklarınızın gasp edildiğine asla müsaade etmeyiz.;gasp edilmesine;gasp edildiğine;müsaade etmeyiz;nominalization
En son yaşananlar hatalarımızdan ders çıkarmadığımızı bize bir kez daha gösterdi.;En son yaşananlar hatalarımızdan ders çıkarmamızı bize bir kez daha gösterdi.;ders çıkarmadığımızı;ders çıkarmamızı;gösterdi;nominalization
Ve bu durumu kabullendiğini sanıyorum.;Ve bu durumu kabullenmesini sanıyorum.;kabullendiğini;kabullenmesini;sanıyorum;nominalization
O evini kesinlikle satmadığını zaten biliyorum.;O evini kesinlikle satmamasını zaten biliyorum.;satmadığını;satmamasını;biliyorum;nominalization
Sadece doktorun hastalarla daha fazla ilgilenmesini bekliyoruz.;Sadece doktorun hastalarla daha fazla ilgilendiğini bekliyoruz.;ilgilenmesini;ilgilendiğini;bekliyoruz;nominalization
Biz doktorun hastalarla daha fazla ilgilenmesini bekliyoruz.;Biz doktorun hastalarla daha fazla ilgilendiğini bekliyoruz.;ilgilenmesini;ilgilendiğini;bekliyoruz;nominalization
Doktor yeni yöntemin verimli olduğunu iddia etti.;Doktor yeni yöntemin verimli olmasını iddia etti.;olduğunu;olmasını;iddia etti;nominalization
Bu şirketin yatırım kararlarını hızla almasına çoğu çalışan şaşırdı.;Bu şirketin yatırım kararlarını hızla aldığına çoğu çalışan şaşırdı.;almasına;aldığına;şaşırdı;nominalization
Tüm öğrencilerin sınava hazır olduğunu düşünüyoruz.;Tüm öğrencilerin sınava hazır olmasını düşünüyoruz.;olduğunu;olmasını;düşünüyoruz;nominalization
O benim ona yardım ettiğimi bilmiyor.;O benim ona yardım etmemi bilmiyor;ettiğimi;etmemi;bilmiyor;nominalization
Ancak yeni düzenlemelerin uygulanmasına sendikalar karşı çıktı.;Ancak yeni düzenlemelerin uygulandığına sendikalar karşı çıktı.;uygulanmasına;uygulandığına;karşı çıktı;nominalization
Uzman doktorun hastalarla daha fazla ilgilenmesini bekliyoruz.;Uzman doktorun hastalarla daha fazla ilgilendiğini bekliyoruz.;ilgilenmesini;ilgilendiğini;bekliyoruz;nominalization
Türk mühendis yeni makinenin daha verimli çalıştığını belirtti.;Türk mühendis yeni makinenin daha verimli çalışmasını belirtti.;çalıştığını;çalışmasını;belirtti;nominalization
