good_sentence;bad_sentence;good_cue;bad_cue;critical_region;phenomenon
Bütün eleştirilere rağmen kendini oyunda tutmayı başardın.;Bütün eleştirilere rağmen seni oyunda tutmayı başardın.;kendini;seni;başardın;binding
Artık yeni işimde kendime daha çok güveniyorum.;Artık yeni işimde bana daha çok güveniyorum.;kendime;bana;güveniyorum;binding
Yapılan eleştirilere kulak asmayıp kendimi geliştirmeye devam ediyorum.;Yapılan eleştirilere kulak asmayıp beni geliştirmeye devam ediyorum.;kendimi;beni;ediyorum;binding
Herhangi bir toplantıya hazırlık yaparken kendimi tamamen odaklanmış hissediyorum.;Herhangi bir toplantıya hazırlık yaparken beni tamamen odaklanmış hissediyorum.;kendimi;beni;hissediyorum;binding
Yerel seçimlerde kendini aday göstermeliydin.;Yerel seçimlerde seni aday göstermeliydin.;kendini;seni;göstermeliydin;binding
Yine kafa dağıtmak için kendimi yemeğe çıkardım.;Yine kafa dağıtmak için beni yemeğe çıkardım.;kendimi;beni;çıkardım;binding
Bu seçimlerde kendini aday göstermeliydin.;Bu seçimlerde seni aday göstermeliydin.;kendini;seni;göstermeliydin;binding
Sen sahneye çıkmadan önce kendine aynada son bir kez bak.;Sen sahneye çıkmadan önce sana aynada son bir kez bak.;kendine;sana;bak;binding
Şimdi kamp alanında hazırlıkları yaparken kendimi çok daha kontrollü hissediyorum.;Şimdi kamp alanında hazırlıkları yaparken beni çok daha kontrollü hissediyorum.;kendimi;beni;hissediyorum;binding
Yeni i̇ş görüşmesi yaparken kendimi oldukça gergin hissettim.;Yeni i̇ş görüşmesi yaparken beni oldukça gergin hissettim.;kendimi;beni;hissettim;binding
Terfi aldıktan sonra kendime hediye aldım.;Terfi aldıktan sonra bana hediye aldım.;kendime;bana;aldım;binding
En zorlu süreçlerden geçerken kendini ihmal etmemelisin.;En zorlu süreçlerden geçerken seni ihmal etmemelisin.;kendini;seni;etmemelisin;binding
Sevgili bir arkadaşımı desteklerken kendimi ona daha yakın hissediyorum.;Sevgili bir arkadaşımı desteklerken beni ona daha yakın hissediyorum.;kendimi;beni;hissediyorum;binding
Şimdi yeni projeye başlamak için kendimi motive ediyorum.;Şimdi yeni projeye başlamak için beni motive ediyorum.;kendimi;beni;ediyorum;binding
Sadece köpeğimi parka götürdüğümde kendimi daha enerjik hissediyorum.;Sadece köpeğimi parka götürdüğümde beni daha enerjik hissediyorum.;kendimi;beni;hissediyorum;binding
Bir başkasına bel bağlamadan kendini yerden kaldırmayı öğrenmelisin.;Bir başkasına bel bağlamadan seni yerden kaldırmayı öğrenmelisin.;kendini;seni;öğrenmelisin;binding
Ben kulaklıklarımı takıp kendimi müziğe bırakıyorum.;Ben kulaklıklarımı takıp beni müziğe bırakıyorum.;kendimi;beni;bırakıyorum;binding
Kadın düzenli spor yapınca kendini daha iyi hissediyor.;Kadın düzenli spor yapınca seni daha iyi hissediyor.;kendini;seni;hissediyor;binding
Sadece bu kadar duygusal olduğum için kendime bazen kızıyorum.;Sadece bu kadar duygusal olduğum için bana bazen kızıyorum.;kendime;bana;kızıyorum;binding
Kendi köpeğimi eğitirken kendimi sabırlı olmaya zorluyorum.;Kendi köpeğimi eğitirken beni sabırlı olmaya zorluyorum.;kendimi;beni;zorlıyorum;binding
Böylece kamp alanında hazırlıkları yaparken kendimi çok daha kontrollü hissediyorum.;Böylece kamp alanında hazırlıkları yaparken beni çok daha kontrollü hissediyorum.;kendimi;beni;hissediyorum;binding
Önce kulaklıklarımı takıp kendimi müziğe bırakıyorum.;Önce kulaklıklarımı takıp beni müziğe bırakıyorum.;kendimi;beni;bırakıyorum;binding
Çoğu restoranda tek başına yemek yerken kendimi rahatsız hissediyorum.;Çoğu restoranda tek başına yemek yerken beni rahatsız hissediyorum.;kendimi;beni;hissediyorum;binding
Yapılan i̇şlerin yoğunluğu arasında kendimi birkaç dakikalığına huzurlu bir ortamda buldum.;Yapılan i̇şlerin yoğunluğu arasında beni birkaç dakikalığına huzurlu bir ortamda buldum.;kendimi;beni;buldum;binding
Eğer elimden geleni yaptığımı biliyorsam kendime daha fazla yüklenmem.;Eğer elimden geleni yaptığımı biliyorsam bana daha fazla yüklenmem.;kendime;bana;yüklenmem;binding
Çok i̇lerisi için adım atarken kendime güveniyorum.;Çok i̇lerisi için adım atarken bana güveniyorum.;kendime;bana;güveniyorum;binding
Artık kendimi sakinleştirmek için derin nefes alıyorum.;Artık beni sakinleştirmek için derin nefes alıyorum.;kendimi;beni;alıyorum;binding
Bugün her sabah kendimi egzersiz yapmaya motive ediyorum.;Bugün her sabah beni egzersiz yapmaya motive ediyorum.;kendimi;beni;motive ediyorum;binding
Hep tatilden dönünce kendimizi sıkı bir beslenme programına sokarız.;Hep tatilden dönünce bizi sıkı bir beslenme programına sokarız.;kendimizi;bizi;sokarız;binding
Çok yoğun tempoda tükenmemek için kendine zaman ayırmalısın.;Çok yoğun tempoda tükenmemek için sana zaman ayırmalısın.;kendine;sana;ayırmalısın;binding
Herkes tatilden dönünce kendimizi sıkı bir beslenme programına sokarız.;Herkes tatilden dönünce bizi sıkı bir beslenme programına sokarız.;kendimizi;bizi;sokarız;binding
Özellikle restoranda tek başına yemek yerken kendimi rahatsız hissediyorum.;Özellikle restoranda tek başına yemek yerken beni rahatsız hissediyorum.;kendimi;beni;hissediyorum;binding
• birilerine yardımın dokunursa kendini daha iyi hissedersin.;• birilerine yardımın dokunursa seni daha iyi hissedersin.;kendini;seni;hissedersin;binding
Büyük başarıya ulaşmak için kendime küçük hedefler koyuyorum.;Büyük başarıya ulaşmak için bana küçük hedefler koyuyorum.;kendime;bana;koyuyorum;binding
Bu hedefime ulaşmak için kendimi sıkı çalışmaya alıştırdım.;Bu hedefime ulaşmak için beni sıkı çalışmaya alıştırdım.;kendimi;beni;alıştırdım;binding
Ben seyahate çıkınca kendimi sürekli olarak yeni yerler keşfetmeye teşvik ediyorum.;Ben seyahate çıkınca beni sürekli olarak yeni yerler keşfetmeye teşvik ediyorum.;kendimi;beni;teşvik ediyorum;binding
Fakat söz almadan önce kendimi biraz toparladım.;Fakat söz almadan önce beni biraz toparladım.;kendimi;beni;toparladım;binding
Özellikle gece sokakta yalnız yürürken kendimizi gergin hissedebiliriz.;Özellikle gece sokakta yalnız yürürken bizi gergin hissedebiliriz.;kendimizi;bizi;hissedebiliriz;binding
Bir anı kaçırmamak için kendimi telefonu elimden bırakmaya zorladım.;Bir anı kaçırmamak için beni telefonu elimden bırakmaya zorladım.;kendimi;beni;zorladım;binding
Çok özgür hissetmek için kendimi dışarıda vakit geçirmeye zorladım.;Çok özgür hissetmek için beni dışarıda vakit geçirmeye zorladım.;kendimi;beni;zorladım;binding
Böylece dikkat dağınıklığımla başa çıkmak için kendime yeni çalışma yöntemleri buldum.;Böylece dikkat dağınıklığımla başa çıkmak için bana yeni çalışma yöntemleri buldum.;kendime;bana;buldum;binding
Bu i̇ş görüşmesi yaparken kendimi oldukça gergin hissettim.;Bu i̇ş görüşmesi yaparken beni oldukça gergin hissettim.;kendimi;beni;hissettim;binding
Işte buradan anlıyoruz ki kendine artık güveniyorsun.;Işte buradan anlıyoruz ki sana artık güveniyorsun.;kendine;sana;güveniyorsun;binding
İlk hata yaptığında kendini affetmeyi bilmelisin.;İlk hata yaptığında seni affetmeyi bilmelisin.;kendini;seni;bilmelisin;binding
Şimdi doktorumla görüştükten sonra kendimi daha rahat hissediyorum.;Şimdi doktorumla görüştükten sonra beni daha rahat hissediyorum.;kendimi;beni;hissediyorum;binding
Yeni köpeğimi eğitirken kendimi sabırlı olmaya zorluyorum.;Yeni köpeğimi eğitirken beni sabırlı olmaya zorluyorum.;kendimi;beni;zorlıyorum;binding
Bu sahneye çıkmadan önce kendine aynada son bir kez bak.;Bu sahneye çıkmadan önce sana aynada son bir kez bak.;kendine;sana;bak;binding
Çok zorlu süreçlerden geçerken kendini ihmal etmemelisin.;Çok zorlu süreçlerden geçerken seni ihmal etmemelisin.;kendini;seni;etmemelisin;binding
Türkçe kitap okurken genellikle kendimi baş karakterle özdeşleştiririm.;Türkçe kitap okurken genellikle beni baş karakterle özdeşleştiririm.;kendimi;beni;özdeşleştiririm;binding
Sen bütün eleştirilere rağmen kendini oyunda tutmayı başardın.;Sen bütün eleştirilere rağmen seni oyunda tutmayı başardın.;kendini;seni;başardın;binding
Benim ailemi uzun süre görmeyince kendimi eksik hissettim.;Benim ailemi uzun süre görmeyince beni eksik hissettim.;kendimi;beni;hissettim;binding
Ve her sabah uyandığımda kendimi enerjik hissediyorum.;Ve her sabah uyandığımda beni enerjik hissediyorum.;kendimi;beni;hissediyorum;binding
Ben ders çalışırken kendimi odaklanmaya zorladım.;Ben ders çalışırken beni odaklanmaya zorladım.;kendimi;beni;zorladım;binding
Öncelikle her sabah kendimi egzersiz yapmaya motive ediyorum.;Öncelikle her sabah beni egzersiz yapmaya motive ediyorum.;kendimi;beni;motive ediyorum;binding
Aslında yeni bir dil öğrenmeye çalışırken kendimi başlarda biraz zorlarım.;Aslında yeni bir dil öğrenmeye çalışırken beni başlarda biraz zorlarım.;kendimi;beni;zorlarım;binding
Sen sahneye hazırlanırken kendini karakterin ruh haline sokuyorsun.;Sen sahneye hazırlanırken seni karakterin ruh haline sokuyorsun.;kendini;seni;sokuyorsun;binding
Ve i̇şe dönmeden önce kendimize bir güzellik yapıp masaj aldık.;Ve i̇şe dönmeden önce bize bir güzellik yapıp masaj aldık.;kendimize;bize;aldık;binding
Söz almadan önce kendimi biraz toparladım.;Söz almadan önce beni biraz toparladım.;kendimi;beni;toparladım;binding
Ve kafa dağıtmak için kendimi yemeğe çıkardım.;Ve kafa dağıtmak için beni yemeğe çıkardım.;kendimi;beni;çıkardım;binding
İlk eğitim seminerinde kendimi profesyonel hissediyorum.;İlk eğitim seminerinde beni profesyonel hissediyorum.;kendimi;beni;hissediyorum;binding
Ailemi uzun süre görmeyince kendimi eksik hissettim.;Ailemi uzun süre görmeyince beni eksik hissettim.;kendimi;beni;hissettim;binding
Kendi elle tutulur bir derdin olmayınca kendine yapay dertler yaratıyorsun.;Kendi elle tutulur bir derdin olmayınca sana yapay dertler yaratıyorsun.;kendine;sana;yaratıyorsun;binding
Bunu başardığımda kendimi çok gururlu hissedeceğim.;Bunu başardığımda beni çok gururlu hissedeceğim.;kendimi;beni;hissedeceğim;binding
Uzun kulaklıklarımı takıp kendimi müziğe bırakıyorum.;Uzun kulaklıklarımı takıp beni müziğe bırakıyorum.;kendimi;beni;bırakıyorum;binding
Ve yeni projeye başlamak için kendimi motive ediyorum.;Ve yeni projeye başlamak için beni motive ediyorum.;kendimi;beni;ediyorum;binding
Bugün yoğun bir hafta sonu sonrası kendimi bir fincan kahveyle ödüllendiriyorum.;Bugün yoğun bir hafta sonu sonrası beni bir fincan kahveyle ödüllendiriyorum.;kendimi;beni;ödüllendiriyorum;binding
Ve zaten cüzdanını kaybettiğinde önce kendini suçlamıştın.;Ve zaten cüzdanını kaybettiğinde önce seni suçlamıştın.;kendini;seni;suçlamıştın;binding
Benim köpeğimi parka götürdüğümde kendimi daha enerjik hissediyorum.;Benim köpeğimi parka götürdüğümde beni daha enerjik hissediyorum.;kendimi;beni;hissediyorum;binding
Sevgili ailemi uzun süre görmeyince kendimi eksik hissettim.;Sevgili ailemi uzun süre görmeyince beni eksik hissettim.;kendimi;beni;hissettim;binding
Yine dikkat dağınıklığımla başa çıkmak için kendime yeni çalışma yöntemleri buldum.;Yine dikkat dağınıklığımla başa çıkmak için bana yeni çalışma yöntemleri buldum.;kendime;bana;buldum;binding
Hedeflerine ulaşmak için kendine güvenmelisin.;Hedeflerine ulaşmak için sana güvenmelisin.;kendine;sana;güvenmelisin;binding
Daha özgür hissetmek için kendimi dışarıda vakit geçirmeye zorladım.;Daha özgür hissetmek için beni dışarıda vakit geçirmeye zorladım.;kendimi;beni;zorladım;binding
Böyle bir arkadaşımı desteklerken kendimi ona daha yakın hissediyorum.;Böyle bir arkadaşımı desteklerken beni ona daha yakın hissediyorum.;kendimi;beni;hissediyorum;binding
Çünkü değerimi bildiğim için kendime her ortamda güvenirim.;Çünkü değerimi bildiğim için bana her ortamda güvenirim.;kendime;bana;güvenirim;binding
Sadece birilerine yardımın dokunursa kendini daha iyi hissedersin.;Sadece birilerine yardımın dokunursa seni daha iyi hissedersin.;kendini;seni;hissedersin;binding
Hatta artık işe gitmeden önce kendime beslenme çantası hazırlıyorum.;Hatta artık işe gitmeden önce bana beslenme çantası hazırlıyorum.;kendime;bana;hazırlıyorum;binding
Özellikle tatilden dönünce kendimizi sıkı bir beslenme programına sokarız.;Özellikle tatilden dönünce bizi sıkı bir beslenme programına sokarız.;kendimizi;bizi;sokarız;binding
Artık işe gitmeden önce kendime beslenme çantası hazırlıyorum.;Artık işe gitmeden önce bana beslenme çantası hazırlıyorum.;kendime;bana;hazırlıyorum;binding
Yeni çalışmaya başlamadan önce kendimi düzene soktum..;Yeni çalışmaya başlamadan önce beni düzene soktum.;kendimi;beni;soktum;binding
Ben i̇yi yemek yapmak için kendimi mutfakta geliştiriyorum.;Ben i̇yi yemek yapmak için beni mutfakta geliştiriyorum.;kendimi;beni;geliştiriyorum;binding
Sen başkasına bel bağlamadan kendini yerden kaldırmayı öğrenmelisin.;Sen başkasına bel bağlamadan seni yerden kaldırmayı öğrenmelisin.;kendini;seni;öğrenmelisin;binding
Yeni bir şeyler öğrenirken kendimi daha açık fikirli olmaya zorluyorum.;Yeni bir şeyler öğrenirken beni daha açık fikirli olmaya zorluyorum.;kendimi;beni;zorluyorum;binding
Senin bütün eleştirilere rağmen kendini oyunda tutmayı başardın.;Senin bütün eleştirilere rağmen seni oyunda tutmayı başardın.;kendini;seni;başardın;binding
Ben kendimi uzun bir süredir huzurlu hissediyorum.;Ben beni uzun bir süredir huzurlu hissediyorum.;kendimi;beni;hissediyorum;binding
Yeni kitap okurken genellikle kendimi baş karakterle özdeşleştiririm.;Yeni kitap okurken genellikle beni baş karakterle özdeşleştiririm.;kendimi;beni;özdeşleştiririm;binding
Özellikle kamp yaparken zorlansam da kendimi doğayla iç içe buluyorum.;Özellikle kamp yaparken zorlansam da beni doğayla iç içe buluyorum.;kendimi;beni;buluyorum;binding
Yani yeni bir dil öğrenmeye çalışırken kendimi başlarda biraz zorlarım.;Yani yeni bir dil öğrenmeye çalışırken beni başlarda biraz zorlarım.;kendimi;beni;zorlarım;binding
Çok i̇yi yemek yapmak için kendimi mutfakta geliştiriyorum.;Çok i̇yi yemek yapmak için beni mutfakta geliştiriyorum.;kendimi;beni;geliştiriyorum;binding
Ayrıca eğitimler sonunda kendimi çok daha yetkin hissediyorum.;Ayrıca eğitimler sonunda beni çok daha yetkin hissediyorum.;kendimi;beni;hissediyorum;binding
Sadece elimden geleni yaptığımı biliyorsam kendime daha fazla yüklenmem.;Sadece elimden geleni yaptığımı biliyorsam bana daha fazla yüklenmem.;kendime;bana;yüklenmem;binding
Ve değerimi bildiğim için kendime her ortamda güvenirim.;Ve değerimi bildiğim için bana her ortamda güvenirim.;kendime;bana;güvenirim;binding
Bu zorlu süreçlerden geçerken kendini ihmal etmemelisin.;Bu zorlu süreçlerden geçerken seni ihmal etmemelisin.;kendini;seni;etmemelisin;binding
İnşallah bunu başardığımda kendimi çok gururlu hissedeceğim.;İnşallah bunu başardığımda beni çok gururlu hissedeceğim.;kendimi;beni;hissedeceğim;binding
Kendi hedeflerine ulaşmak için kendine güvenmelisin.;Kendi hedeflerine ulaşmak için sana güvenmelisin.;kendine;sana;güvenmelisin;binding
Sonra aynaya bakınca kendimi tanıyamadım.;Sonra aynaya bakınca beni tanıyamadım.;kendimi;beni;tanıyamadım;binding
Ayrıca her sabah kendimi egzersiz yapmaya motive ediyorum.;Ayrıca her sabah beni egzersiz yapmaya motive ediyorum.;kendimi;beni;motive ediyorum;binding
Bütün kusurlarına kafayı taktığın için sürekli kendini aynada inceliyorsun.;Bütün kusurlarına kafayı taktığın için sürekli seni aynada inceliyorsun.;kendini;seni;inceliyorsun;binding
Belki gece sokakta yalnız yürürken kendimizi gergin hissedebiliriz.;Belki gece sokakta yalnız yürürken bizi gergin hissedebiliriz.;kendimizi;bizi;hissedebiliriz;binding
Erkek düzenli spor yapınca kendini daha iyi hissediyor.;Erkek düzenli spor yapınca seni daha iyi hissediyor.;kendini;seni;hissediyor;binding
Bu gün içinde bazen kendimi kötü şeyler düşünürken buluyorum.;Bu gün içinde bazen beni kötü şeyler düşünürken buluyorum.;kendimi;beni;buluyorum;binding
Sabırlı olmaya çalışsam da kendimi bir yerden sonra tutamadım.;Sabırlı olmaya çalışsam da beni bir yerden sonra tutamadım.;kendimi;beni;tutamadım;binding
Ve kendimi geliştirmek için her gün yeni bir şey öğrenmeye çalışıyorum.;Ve beni geliştirmek için her gün yeni bir şey öğrenmeye çalışıyorum.;kendimi;beni;çalışıyorum;binding
Ben yolda yürürken kendimi düşüncelere dalmış buluyorum.;Ben yolda yürürken beni düşüncelere dalmış buluyorum.;kendimi;beni;buluyorum;binding
O sahneye hazırlanırken kendini karakterin ruh haline sokuyorsun.;O sahneye hazırlanırken seni karakterin ruh haline sokuyorsun.;kendini;seni;sokuyorsun;binding
Küçük köpeğimi eğitirken kendimi sabırlı olmaya zorluyorum.;Küçük köpeğimi eğitirken beni sabırlı olmaya zorluyorum.;kendimi;beni;zorlıyorum;binding
Fakat ne kadar öfkelensek de kendimizi kontrol etmek zorundayız.;Fakat ne kadar öfkelensek de bizi kontrol etmek zorundayız.;kendimizi;bizi;zorundayız;binding
Ve köpeğimi eğitirken kendimi sabırlı olmaya zorluyorum.;Ve köpeğimi eğitirken beni sabırlı olmaya zorluyorum.;kendimi;beni;zorlıyorum;binding
Ayrıca köpeğimi parka götürdüğümde kendimi daha enerjik hissediyorum.;Ayrıca köpeğimi parka götürdüğümde beni daha enerjik hissediyorum.;kendimi;beni;hissediyorum;binding
Yani yanlış anlaşılmamak için kendimi daha iyi ifade etmeye çalışıyorum.;Yani yanlış anlaşılmamak için beni daha iyi ifade etmeye çalışıyorum.;kendimi;beni;çalışıyorum;binding
