good_sentence,bad_sentence,good_cue,bad_cue,critical_region,phenomenon,subtype
Bütün gece onu düşünürken gitti.,Bütün gece ondan düşünürken gitti.,onu,ondan,düşünürken,argument_structure,transitive
Bu türküye bayılırken gitti.,Bu türküyü bayılırken gitti.,türküye,türküyü,bayılırken,argument_structure,transitive
Kardeşimin mezuniyetini unuturken gitti.,Kardeşimin mezuniyetine unuturken gitti.,mezuniyetini,mezuniyetine,unuturken,argument_structure,transitive
Yarın onlara da uğrarken gitti.,Yarın onları da uğrarken gitti.,onlara,onları,uğrarken,argument_structure,transitive
Bu müjdeye çok sevinirken gitti.,Bu müjdeyi çok sevinirken gitti.,müjdeye,müjdeyi,sevinirken,argument_structure,transitive
Köpeğim merdivenlerden düşerken gitti.,Köpeğim merdivenleri düşerken gitti.,merdivenlerden,merdivenleri,düşerken,argument_structure,transitive
Babam her zaman bana destek olurken gitti.,Babam her zaman beni destek olurken gitti.,bana,beni,destek olurken,argument_structure,transitive
Müdürümüz bize çok kızarken gitti.,Müdürümüz bizi çok kızarken gitti.,bize,bizi,kızarken,argument_structure,transitive
Bu diziye bayılırken gitti.,Bu diziyi bayılırken gitti.,diziye,diziyi,bayılırken,argument_structure,transitive
Bu kasabayı çok severken gitti.,Bu kasabaya çok severken gitti.,kasabayı,kasabaya,severken,argument_structure,transitive
Bu saati çok beğenirken gitti.,Bu saate çok beğenirken gitti.,saati,saate,beğenirken,argument_structure,transitive
Yeni bir spora başlarken gitti.,Yeni bir sporu başlarken gitti.,spora,sporu,başlarken,argument_structure,transitive
Bu fikre sıcak bakarken gitti.,Bu fikri sıcak bakarken gitti.,fikre,fikri,bakarken,argument_structure,transitive
Akrabalarımla iyi geçinirken gitti.,Akrabalarımı iyi geçinirken gitti.,akrabalarımla,akrabalarımı,geçinirken,argument_structure,transitive
Bu film serisine bayılırken gitti.,Bu film serisini bayılırken gitti.,serisine,serisini,bayılırken,argument_structure,transitive
Onun doğruyu söylediğine inanırken gitti.,Onun doğruyu söylediğini inanırken gitti.,söylediğine,söylediğini,inanırken,argument_structure,transitive
Tatile çıkma planına çok ısınırken gitti.,Tatile çıkma planını çok ısınırken gitti.,planına,planını,ısınırken,argument_structure,transitive
Bu olaya çok üzülürken gitti.,Bu olayı çok üzülürken gitti.,olaya,olayı,üzülürken,argument_structure,transitive
Yeni projeye başlamaya karar verirken gitti.,Yeni projeye başlamayı karar verirken gitti.,başlamaya,başlamayı,karar verirken,argument_structure,transitive
Onun cevabına çok şaşırırken gitti.,Onun cevabını çok şaşırırken gitti.,cevabına,cevabını,şaşırırken,argument_structure,transitive
Bu heykellere hayran kalırken gitti.,Bu heykelleri hayran kalırken gitti.,heykellere,heykelleri,kalırken,argument_structure,transitive
Ona büyük saygı duyarken gitti.,Onu büyük saygı duyarken gitti.,ona,onu,duyarken,argument_structure,transitive
Yeni bir kursa girerken gitti.,Yeni bir kursu girerken gitti.,kursa,kursu,girerken,argument_structure,transitive
Ona koşulsuz destek olurken gitti.,Onu koşulsuz destek olurken gitti.,ona,onu,olurken,argument_structure,transitive
Bu fikre çok önem verirken gitti.,Bu fikri çok önem verirken gitti.,fikre,fikri,verirken,argument_structure,transitive
Son gelişmeye çok şaşırırken gitti.,Son gelişmeyi çok şaşırırken gitti.,gelişmeye,gelişmeyi,şaşırırken,argument_structure,transitive
Sana her zaman güvenirken gitti.,Seni her zaman güvenirken gitti.,sana,seni,güvenirken,argument_structure,transitive
Bu yarışmaya günlerce çalışırken gitti.,Bu yarışmayı günlerce çalışırken gitti.,yarışmaya,yarışmayı,çalışırken,argument_structure,transitive
Onun söylediklerine katılırken gitti.,Onun söylediklerini katılırken gitti.,söylediklerine,söylediklerini,katılırken,argument_structure,transitive
Şu yeniliklere oldum olası alışamazken gitti.,Şu yenilikleri oldum olası alışamazken gitti.,yeniliklere,yenilikleri,alışamazken,argument_structure,transitive
Babamın öğütlerine kulak verirken gitti.,Babamın öğütlerini kulak verirken gitti.,öğütlerine,öğütlerini,verirken,argument_structure,transitive
Seminere katılmaya karar verirken gitti.,Semineri katılmayı karar verirken gitti.,katılmaya,katılmayı,karar verirken,argument_structure,transitive
Kumara fazla kapılmazken gitti.,Kumarı fazla kapılmazken gitti.,kumara,kumarı,kapılmazken,argument_structure,transitive
Dün söylediklerinden sonra sana çok kırılırken gitti.,Dün söylediklerinden sonra seni çok kırılırken gitti.,sana,seni,kırılırken,argument_structure,transitive
Konsere katılmayı düşünürken gitti.,Konsere katılmaya düşünürken gitti.,katılmayı,katılmaya,düşünürken,argument_structure,transitive
Gözden kaçan detaya çok üzülürken gitti.,Gözden kaçan detayı çok üzülürken gitti.,detaya,detayı,üzülürken,argument_structure,transitive
Tartışmaya girmeyi sevmezken gitti.,Tartışmaya girmeye sevmezken gitti.,girmeyi,girmeye,sevmezken,argument_structure,transitive
Seni burada görmeye son zamanlarda iyice alışırken gitti.,Seni burada görmeyi son zamanlarda iyice alışırken gitti.,görmeye,görmeyi,alışırken,argument_structure,transitive
Zorlu bir maratondan sonra elde ettiğin bu zafere sevinirken gitti.,Zorlu bir maratondan sonra elde ettiğin bu zaferi sevinirken gitti.,zafere,zaferi,sevinirken,argument_structure,transitive
