good_sentence,bad_sentence,good_cue,bad_cue,critical_region,phenomenon,subtype
Evlerinin arka bahçesine elma ağacı dikince gitti.,Evlerinin arka bahçesinden elma ağacı dikince gitti.,arka bahçesine,arka bahçesinden,dikince,argument_structure,ditransitive
Belki size bu konudaki düşüncelerinden bahsedince gitti.,Belki sizi bu konudaki düşüncelerinden bahsedince gitti.,size,sizi,bahsedince,argument_structure,ditransitive
Yıllardır kendini sadece sanatına adayınca gitti.,Yıllardır kendinden sadece sanatına adayınca gitti.,kendini,kendinden,adayınca,argument_structure,ditransitive
Bu sergiyi neşesini kaybetmeyen kadınlara ithaf edince gitti.,Bu sergiye neşesini kaybetmeyen kadınlara ithaf edince gitti.,sergiyi,sergiye,ithaf edince,argument_structure,ditransitive
Ayakkabılarını çıkarıp şapkasını girişteki dolaba asınca gitti.,Ayakkabılarını çıkarıp şapkasına girişteki dolaba asınca gitti.,şapkasını,şapkasına,asınca,argument_structure,ditransitive
Küçükken ekmeğimi hep çorbaya banayınca gitti.,Küçükken ekmeğimde hep çorbaya banayınca gitti.,ekmeğimi,ekmeğimde,banayınca,argument_structure,ditransitive
Dileklerini yazdığı kartı bir ağacın dalına bağlayınca gitti.,Dileklerini yazdığı karta bir ağacın dalına bağlayınca gitti.,kartı,karta,bağlayınca,argument_structure,ditransitive
Kılçıklarını temizlediğiniz balığı pane ununa bulayınca gitti.,Kılçıklarını temizlediğiniz balığa pane ununa bulayınca gitti.,balığı,balığa,bulayınca,argument_structure,ditransitive
Öğretmen öğrencilere yeni şarkıyı öğretince gitti.,Öğretmen öğrencileri yeni şarkıyı öğretince gitti.,öğrencilere,öğrencileri,öğretince,argument_structure,ditransitive
Çocuk dedesine en sevdiği kitabı verince gitti.,Çocuk dedesini en sevdiği kitabı verince gitti.,dedesine,dedesini,verince,argument_structure,ditransitive
Arkadaşım bana yılbaşı hediyesi alınca gitti.,Arkadaşım beni yılbaşı hediyesi alınca gitti.,bana,beni,alınca,argument_structure,ditransitive
Garson misafirlere tatlıları servis edince gitti.,Garson misafirleri tatlıları servis edince gitti.,misafirlere,misafirleri,servis edince,argument_structure,ditransitive
Şirket personeline yeni projeler verince gitti.,Şirket personelini yeni projeler verince gitti.,personeline,personelini,verince,argument_structure,ditransitive
Yönetmen sanatçılara rollerini dağıtınca gitti.,Yönetmen sanatçıları rollerini dağıtınca gitti.,sanatçılara,sanatçıları,dağıtınca,argument_structure,ditransitive
Anne bebeğine mamasını kaşıkla verince gitti.,Anne bebeğini mamasını kaşıkla verince gitti.,bebeğine,bebeğini,verince,argument_structure,ditransitive
Dedem torunlarına fıkralar anlatınca gitti.,Dedem torunlarını fıkralar anlatınca gitti.,torunlarına,torunlarını,anlatınca,argument_structure,ditransitive
Şair dinleyicilerine yeni şiir kitabını tanıtınca gitti.,Şair dinleyicilerini yeni şiir kitabını tanıtınca gitti.,dinleyicilerine,dinleyicilerini,tanıtınca,argument_structure,ditransitive
Antrenör takıma farklı stratejiler öğretince gitti.,Antrenör takımı farklı stratejiler öğretince gitti.,takıma,takımı,öğretince,argument_structure,ditransitive
Çocuk babasına başka bir şiir okuyunca gitti.,Çocuk babasını başka bir şiir okuyunca gitti.,babasına,babasını,okuyunca,argument_structure,ditransitive
Arkadaşım bana son gelişmeleri anlatınca gitti.,Arkadaşım beni son gelişmeleri anlatınca gitti.,bana,beni,anlatınca,argument_structure,ditransitive
Yönetmen ekibine son direktifleri verince gitti.,Yönetmen ekibini son direktifleri verince gitti.,ekibine,ekibini,verince,argument_structure,ditransitive
Antrenör atletlere beslenme planı hazırlayınca gitti.,Antrenör atletleri beslenme planı hazırlayınca gitti.,atletlere,atletleri,hazırlayınca,argument_structure,ditransitive
Annem abime yeni bir defter alınca gitti.,Annem abimi yeni bir defter alınca gitti.,abime,abimi,alınca,argument_structure,ditransitive
Arkadaşım bana konser bileti alınca gitti.,Arkadaşım beni konser bileti alınca gitti.,bana,beni,alınca,argument_structure,ditransitive
Kız kardeşim köpeği komşuya götürünce gitti.,Kız kardeşim köpeğe komşuya götürünce gitti.,köpeği,köpeğe,götürünce,argument_structure,ditransitive
Babam yeni saatini bana verince gitti.,Babam yeni saatine bana verince gitti.,saatini,saatine,verince,argument_structure,ditransitive
Dedem bana devrimci anılarını anlatınca gitti.,Dedem beni devrimci anılarını anlatınca gitti.,bana,beni,anlatınca,argument_structure,ditransitive
Halam bana eldiven hediye edince gitti.,Halam beni eldiven hediye edince gitti.,bana,beni,hediye edince,argument_structure,ditransitive
Teyzem kitapları çocuklara dağıtınca gitti.,Teyzem kitaplara çocuklara dağıtınca gitti.,kitapları,kitaplara,dağıtınca,argument_structure,ditransitive
Arkadaşım bana yeni bir dizi önerince gitti.,Arkadaşım benle yeni bir dizi önerince gitti.,bana,benle,önerince,argument_structure,ditransitive
Kuzenim kediyi bahçeye götürünce gitti.,Kuzenim kediye bahçeye götürünce gitti.,kediyi,kediye,götürünce,argument_structure,ditransitive
Komşumuz bize taze sebze getirince gitti.,Komşumuz bizi taze sebze getirince gitti.,bize,bizi,getirince,argument_structure,ditransitive
Öğretmen öğrencilere ödevleri zamanında yapmalarını nasihat edince gitti.,Öğretmen öğrencileri ödevleri zamanında yapmalarını nasihat edince gitti.,öğrencilere,öğrencileri,nasihat edince,argument_structure,ditransitive
Gelin gerdanlığı kayınvalidesine hediye edince gitti.,Gelin gerdanlığa kayınvalidesine hediye edince gitti.,gerdanlığı,gerdanlığa,hediye edince,argument_structure,ditransitive
Oğlum bisikleti arkadaşına ödünç verince gitti.,Oğlum bisikletle arkadaşına ödünç verince gitti.,bisikleti,bisikletle,ödünç verince,argument_structure,ditransitive
Manav bize en lezzetli meyvelerden ayırınca gitti.,Manav bizi en lezzetli meyvelerden ayırınca gitti.,bize,bizi,ayırınca,argument_structure,ditransitive
Kasap bana en iyi biftekten ayırınca gitti.,Kasap beni en iyi biftekten ayırınca gitti.,bana,beni,ayırınca,argument_structure,ditransitive
Arkadaşım bana yeni bir kitap önerince gitti.,Arkadaşım beni yeni bir kitap önerince gitti.,bana,beni,önerince,argument_structure,ditransitive
