good_sentence,bad_sentence,good_cue,bad_cue,critical_region,phenomenon,subtype
Onun cevabına ben çok şaşırdım.,Onun cevabını ben çok şaşırdım.,cevabına,cevabını,şaşırdım,argument_structure,transitive
Bu heykellere ben hayran kaldım.,Bu heykelleri ben hayran kaldım.,heykellere,heykelleri,hayran kaldım,argument_structure,transitive
Ona ben büyük saygı duyuyorum.,Onu ben büyük saygı duyuyorum.,ona,onu,duyuyorum,argument_structure,transitive
Yeni bir kursa ben yazıldım.,Yeni bir kursu ben yazıldım.,kursa,kursu,yazıldım,argument_structure,transitive
Ona ben koşulsuz destek oluyorum.,Onu ben koşulsuz destek oluyorum.,ona,onu,oluyorum,argument_structure,transitive
Farklı fikirlere biz çok önem veriyoruz.,Farklı fikirleri biz çok önem veriyoruz.,fikirlere,fikirleri,veriyoruz,argument_structure,transitive
Son gelişmelere ben çok şaşırdım.,Son gelişmeleri ben çok şaşırdım.,gelişmelere,gelişmeleri,şaşırdım,argument_structure,transitive
Sana ben her zaman güveniyorum.,Seni ben her zaman güveniyorum.,sana,seni,güveniyorum,argument_structure,transitive
Bu yarışmaya ben günlerce çalıştım.,Bu yarışmayı ben günlerce çalıştım.,yarışmaya,yarışmayı,çalıştım,argument_structure,transitive
Onun söylediklerine ben katılıyorum.,Onun söylediklerini ben katılıyorum.,söylediklerine,söylediklerini,katılıyorum,argument_structure,transitive
Şu yeniliklere ben oldum olası alışamadım.,Şu yenilikleri ben oldum olası alışamadım.,yeniliklere,yenilikleri,alışamadım,argument_structure,transitive
Babamın öğütlerine ben kulak verdim.,Babamın öğütlerini ben kulak verdim.,öğütlerine,öğütlerini,verdim,argument_structure,transitive
Seminere katılmaya ben karar verdim.,Semineri katılmayı ben karar verdim.,katılmaya,katılmayı,karar verdim,argument_structure,transitive
Kumara sen hiç başlamamalısın.,Kumarı sen hiç başlamamalısın.,kumara,kumarı,başlamamalısın,argument_structure,transitive
Sana ben dün söylediklerinden sonra çok kırıldım.,Seni ben dün söylediklerinden sonra çok kırıldım.,sana,seni,kırıldım,argument_structure,transitive
Konsere katılmayı onlar düşünüyorlar.,Konsere katılmaya onlar düşünüyorlar.,katılmayı,katılmaya,düşünüyorlar,argument_structure,transitive
Gözden kaçan detaya ben çok üzüldüm.,Gözden kaçan detayı ben çok üzüldüm.,detaya,detayı,üzüldüm,argument_structure,transitive
Tartışmaya girmeyi ben sevmem.,Tartışmaya girmeye ben sevmem.,girmeyi,girmeye,sevmem,argument_structure,transitive
Seni burada görmeye ben son zamanlarda iyice alıştım.,Seni burada görmeyi ben son zamanlarda iyice alıştım.,görmeye,görmeyi,alıştım,argument_structure,transitive
Zorlu bir maratondan sonra elde ettiğin bu zafere ben sevindim.,Zorlu bir maratondan sonra elde ettiğin bu zaferi ben sevindim.,zafere,zaferi,sevindim,argument_structure,transitive
